,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,2203.00000,1414.00000,504.00000,92.00000,1753.00000,5966.00000,22836.00000,802.00000,1625.00000,1853.00000,28600.00000,34566.00000,5448.00000,19332.00000,3978.00000,24476.00000,29924.00000,8.00000,-665.00000,-2693.00000,4642.00000,34566.00000
2020-03-31,2298.00000,1446.00000,461.00000,106.00000,1440.00000,5751.00000,22570.00000,938.00000,1518.00000,1868.00000,28391.00000,34142.00000,5432.00000,18867.00000,4021.00000,23993.00000,29425.00000,8.00000,-583.00000,-2692.00000,4717.00000,34142.00000
2019-12-31,1765.00000,1479.00000,487.00000,80.00000,1420.00000,5231.00000,22574.00000,966.00000,1528.00000,1842.00000,28417.00000,33648.00000,5096.00000,18305.00000,3805.00000,23323.00000,28419.00000,8.00000,-692.00000,-2229.00000,5229.00000,33648.00000
2019-09-30,1934.00000,1503.00000,495.00000,72.00000,856.00000,5470.00000,21853.00000,1209.00000,1521.00000,1865.00000,27953.00000,33423.00000,4991.00000,17879.00000,3969.00000,23046.00000,28037.00000,8.00000,-614.00000,-2335.00000,5386.00000,33423.00000
2019-06-30,2017.00000,1538.00000,496.00000,98.00000,811.00000,5517.00000,21565.00000,1086.00000,1519.00000,2041.00000,27721.00000,33238.00000,4042.00000,18668.00000,3827.00000,23728.00000,27770.00000,8.00000,-824.00000,-2147.00000,5468.00000,33238.00000
2019-03-31,2323.00000,1564.00000,579.00000,111.00000,703.00000,5855.00000,21228.00000,1147.00000,1526.00000,2201.00000,27616.00000,33471.00000,4357.00000,18445.00000,3718.00000,23465.00000,27822.00000,8.00000,-839.00000,-2107.00000,5649.00000,33471.00000
2018-12-31,1849.00000,1595.00000,577.00000,130.00000,807.00000,5015.00000,21396.00000,1114.00000,1495.00000,1981.00000,27506.00000,32521.00000,4399.00000,17636.00000,3602.00000,22518.00000,26917.00000,8.00000,-1005.00000,-2071.00000,5604.00000,32521.00000
2018-09-30,2029.00000,1510.00000,562.00000,97.00000,706.00000,5015.00000,21108.00000,1277.00000,1459.00000,2101.00000,27474.00000,32489.00000,4047.00000,18088.00000,3431.00000,22733.00000,26780.00000,8.00000,-1133.00000,-2020.00000,5709.00000,32489.00000
2018-06-30,2375.00000,1423.00000,583.00000,116.00000,682.00000,5287.00000,20719.00000,1327.00000,1400.00000,2323.00000,27310.00000,32597.00000,3994.00000,18356.00000,3425.00000,22946.00000,26940.00000,8.00000,-1234.00000,-1988.00000,5657.00000,32597.00000
2018-03-31,2244.00000,1498.00000,569.00000,66.00000,703.00000,5438.00000,20688.00000,1282.00000,1421.00000,2176.00000,27135.00000,32573.00000,4876.00000,17661.00000,3115.00000,22172.00000,27048.00000,8.00000,-1525.00000,-1808.00000,5525.00000,32573.00000
2017-12-31,1647.00000,1463.00000,562.00000,62.00000,630.00000,6398.00000,20296.00000,1197.00000,1425.00000,3666.00000,26714.00000,33112.00000,6028.00000,17801.00000,3432.00000,22239.00000,28267.00000,8.00000,-2276.00000,-1876.00000,4845.00000,33112.00000
2017-09-30,2398.00000,2357.00000,660.00000,89.00000,1080.00000,6660.00000,24356.00000,1164.00000,1631.00000,4263.00000,32174.00000,38834.00000,6736.00000,19776.00000,4014.00000,25919.00000,32655.00000,8.00000,-934.00000,-2666.00000,6179.00000,38834.00000
2017-06-30,2266.00000,2173.00000,633.00000,83.00000,1061.00000,6318.00000,23192.00000,683.00000,1554.00000,3965.00000,30151.00000,36469.00000,6411.00000,18195.00000,3696.00000,23984.00000,30395.00000,8.00000,-1086.00000,-2741.00000,6074.00000,36469.00000
2017-03-31,2440.00000,2134.00000,645.00000,118.00000,1040.00000,6401.00000,23148.00000,674.00000,1510.00000,3997.00000,30107.00000,36508.00000,5243.00000,19197.00000,3770.00000,25136.00000,30379.00000,8.00000,-1139.00000,-2717.00000,6129.00000,36508.00000
2016-12-31,2051.00000,1421.00000,622.00000,72.00000,657.00000,6416.00000,20415.00000,621.00000,1444.00000,3658.00000,29708.00000,36124.00000,5277.00000,18402.00000,5704.00000,25147.00000,30424.00000,8.00000,-1146.00000,-2756.00000,5700.00000,36124.00000
2016-09-30,2212.00000,2081.00000,637.00000,92.00000,1266.00000,7294.00000,23283.00000,626.00000,1384.00000,4018.00000,29814.00000,37108.00000,5713.00000,19740.00000,3810.00000,25627.00000,31340.00000,8.00000,-114.00000,-3753.00000,5768.00000,37108.00000
2016-06-30,2059.00000,2087.00000,655.00000,91.00000,1441.00000,7381.00000,23035.00000,615.00000,1376.00000,4084.00000,29593.00000,36974.00000,6216.00000,19170.00000,3825.00000,25085.00000,31301.00000,8.00000,-284.00000,-3768.00000,5673.00000,36974.00000
2016-03-31,2107.00000,2581.00000,682.00000,116.00000,1461.00000,6947.00000,23416.00000,611.00000,1366.00000,3961.00000,29953.00000,36900.00000,6572.00000,18337.00000,3032.00000,24144.00000,30716.00000,8.00000,198.00000,-3807.00000,6184.00000,36900.00000
2015-12-31,2021.00000,2302.00000,671.00000,106.00000,1318.00000,6842.00000,22022.00000,610.00000,1497.00000,4207.00000,29628.00000,36470.00000,6926.00000,17909.00000,3455.00000,23373.00000,30299.00000,8.00000,143.00000,-3883.00000,6171.00000,36470.00000
2015-09-30,2231.00000,2477.00000,670.00000,121.00000,1514.00000,7220.00000,22463.00000,601.00000,1724.00000,4489.00000,29780.00000,37000.00000,6534.00000,18398.00000,2906.00000,24005.00000,30539.00000,8.00000,370.00000,-3758.00000,6461.00000,37000.00000
2015-06-30,1769.00000,2877.00000,734.00000,115.00000,1799.00000,7515.00000,23440.00000,562.00000,1714.00000,4632.00000,31069.00000,38584.00000,6563.00000,18764.00000,3171.00000,24937.00000,31500.00000,8.00000,258.00000,-3445.00000,7084.00000,38584.00000
2015-03-31,2237.00000,2807.00000,707.00000,129.00000,1562.00000,7642.00000,22848.00000,586.00000,1726.00000,4446.00000,30355.00000,37997.00000,6582.00000,18570.00000,3122.00000,24380.00000,30962.00000,8.00000,423.00000,-3549.00000,7035.00000,37997.00000
2014-12-31,2531.00000,2709.00000,702.00000,175.00000,1434.00000,7826.00000,25151.00000,537.00000,1739.00000,3051.00000,31140.00000,38966.00000,6997.00000,18725.00000,3222.00000,24644.00000,31641.00000,8.00000,512.00000,-3286.00000,7325.00000,38966.00000
2014-09-30,2843.00000,2755.00000,741.00000,208.00000,1192.00000,7887.00000,25067.00000,704.00000,1751.00000,2881.00000,31096.00000,38983.00000,7073.00000,18719.00000,3158.00000,24344.00000,31417.00000,8.00000,413.00000,-3176.00000,7566.00000,38983.00000
2014-06-30,2421.00000,2689.00000,710.00000,177.00000,1220.00000,7407.00000,25628.00000,1000.00000,1767.00000,2975.00000,32026.00000,39433.00000,6667.00000,19628.00000,3106.00000,25258.00000,31925.00000,8.00000,-75.00000,-3023.00000,7508.00000,39433.00000
2014-03-31,2623.00000,2586.00000,687.00000,199.00000,1252.00000,7989.00000,25353.00000,1030.00000,1761.00000,3031.00000,32984.00000,40973.00000,7840.00000,19410.00000,3191.00000,25492.00000,33332.00000,8.00000,-208.00000,-2967.00000,7641.00000,40973.00000
2013-12-31,2907.00000,2363.00000,684.00000,179.00000,976.00000,7739.00000,25112.00000,1010.00000,1919.00000,2711.00000,32672.00000,40411.00000,7653.00000,18869.00000,3299.00000,25107.00000,32760.00000,8.00000,-150.00000,-2882.00000,7651.00000,40411.00000
2013-09-30,3549.00000,2326.00000,711.00000,199.00000,836.00000,8251.00000,25082.00000,1025.00000,2266.00000,2654.00000,32999.00000,41250.00000,8009.00000,18533.00000,3042.00000,25275.00000,33284.00000,8.00000,56.00000,-2918.00000,7966.00000,41250.00000
2013-06-30,3079.00000,2417.00000,763.00000,187.00000,1157.00000,7810.00000,25868.00000,1177.00000,2407.00000,2678.00000,33026.00000,40836.00000,8273.00000,18029.00000,3251.00000,24756.00000,33029.00000,8.00000,-15.00000,-2939.00000,7807.00000,40836.00000
2013-03-31,3912.00000,2633.00000,755.00000,256.00000,1403.00000,9258.00000,26012.00000,1195.00000,2416.00000,2746.00000,33460.00000,42718.00000,9286.00000,18269.00000,3713.00000,25691.00000,34977.00000,8.00000,-182.00000,-2952.00000,7741.00000,42718.00000
2012-12-31,3327.00000,2539.00000,719.00000,222.00000,1072.00000,8465.00000,24635.00000,1196.00000,2323.00000,2698.00000,33365.00000,41830.00000,8319.00000,18216.00000,3523.00000,25997.00000,34316.00000,8.00000,-264.00000,-2920.00000,7514.00000,41830.00000
2012-09-30,3551.00000,2671.00000,796.00000,226.00000,1009.00000,8684.00000,25484.00000,1334.00000,2429.00000,2729.00000,32672.00000,41356.00000,7526.00000,19225.00000,3719.00000,25994.00000,33520.00000,8.00000,-439.00000,-2905.00000,7836.00000,41356.00000
2012-06-30,3184.00000,2628.00000,826.00000,159.00000,1087.00000,8317.00000,25097.00000,1392.00000,4308.00000,2977.00000,34432.00000,42749.00000,7039.00000,19428.00000,3756.00000,26209.00000,33248.00000,8.00000,1159.00000,-2865.00000,9501.00000,42749.00000
2012-03-31,3876.00000,2735.00000,799.00000,238.00000,1394.00000,9559.00000,25589.00000,1430.00000,4282.00000,3153.00000,35872.00000,45431.00000,7978.00000,20020.00000,3132.00000,26982.00000,34960.00000,8.00000,1019.00000,-2575.00000,10471.00000,45431.00000
2011-12-31,3528.00000,2522.00000,775.00000,157.00000,1560.00000,9229.00000,25001.00000,1422.00000,4365.00000,3222.00000,36117.00000,45346.00000,8438.00000,19592.00000,3111.00000,27179.00000,35617.00000,8.00000,678.00000,-2758.00000,9729.00000,45346.00000
2011-09-30,5240.00000,2392.00000,668.00000,190.00000,1128.00000,10067.00000,23813.00000,1401.00000,1739.00000,3042.00000,30816.00000,40883.00000,7241.00000,18704.00000,2978.00000,23785.00000,31026.00000,8.00000,887.00000,-2727.00000,9857.00000,40883.00000
2011-06-30,5385.00000,2639.00000,654.00000,180.00000,855.00000,10173.00000,25547.00000,1542.00000,1794.00000,2854.00000,32462.00000,42635.00000,7193.00000,19104.00000,2938.00000,24605.00000,31798.00000,8.00000,1018.00000,-2278.00000,10837.00000,42635.00000
2011-03-31,4233.00000,2496.00000,634.00000,203.00000,741.00000,8746.00000,25023.00000,1544.00000,1784.00000,2306.00000,31754.00000,40500.00000,7551.00000,16642.00000,2713.00000,21907.00000,29458.00000,8.00000,844.00000,-2248.00000,11042.00000,40500.00000
2010-12-31,4647.00000,2283.00000,552.00000,215.00000,1024.00000,9446.00000,23429.00000,1320.00000,1719.00000,2589.00000,31065.00000,40511.00000,8065.00000,15792.00000,2566.00000,22033.00000,30098.00000,8.00000,620.00000,-2383.00000,10413.00000,40511.00000
2010-09-30,5102.00000,2381.00000,611.00000,190.00000,1142.00000,9768.00000,24975.00000,1313.00000,1886.00000,2240.00000,32012.00000,41780.00000,7029.00000,17920.00000,3025.00000,23968.00000,30997.00000,8.00000,1056.00000,-2504.00000,10783.00000,41780.00000
2010-06-30,5179.00000,2200.00000,551.00000,172.00000,1086.00000,9564.00000,24086.00000,1227.00000,1867.00000,2136.00000,31137.00000,40701.00000,6364.00000,17768.00000,2742.00000,23683.00000,30047.00000,8.00000,942.00000,-2602.00000,10654.00000,40701.00000
2010-03-31,5688.00000,2259.00000,575.00000,221.00000,1215.00000,10460.00000,24827.00000,1175.00000,1805.00000,2251.00000,31422.00000,41882.00000,6894.00000,18306.00000,3253.00000,24452.00000,31346.00000,8.00000,791.00000,-2881.00000,10536.00000,41882.00000
2009-12-31,3837.00000,2142.00000,560.00000,161.00000,1557.00000,8787.00000,23796.00000,1157.00000,1809.00000,2146.00000,30748.00000,39535.00000,6621.00000,17605.00000,3146.00000,24034.00000,30655.00000,7.00000,650.00000,-2724.00000,8880.00000,39535.00000
2009-09-30,3887.00000,2415.00000,578.00000,274.00000,1416.00000,8728.00000,24226.00000,1109.00000,1910.00000,2223.00000,30533.00000,39261.00000,6238.00000,18089.00000,3835.00000,24458.00000,30696.00000,7.00000,698.00000,-2855.00000,8565.00000,39261.00000
2009-06-30,3331.00000,2314.00000,577.00000,350.00000,1249.00000,8022.00000,23054.00000,1043.00000,1916.00000,2358.00000,29396.00000,37418.00000,5397.00000,17836.00000,3547.00000,23790.00000,29187.00000,7.00000,513.00000,-2847.00000,8231.00000,37418.00000
2009-03-31,2836.00000,2202.00000,502.00000,347.00000,1152.00000,7213.00000,21705.00000,949.00000,1901.00000,2146.00000,27625.00000,34838.00000,4525.00000,17014.00000,3470.00000,22616.00000,27141.00000,7.00000,210.00000,-3009.00000,7697.00000,34838.00000
