,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,51.92700,1858.83900,40.60200,260.41000,,2211.77800,4979.81700,236.39000,358.59700,5574.80400,7786.58200,1568.23100,1261.73800,369.31400,2551.58300,4119.81400,1.67100,6423.73000,3666.76800,7786.58200
2022-09-30,84.33400,1726.15500,,341.92700,,2152.41600,4708.00700,241.44300,329.69300,5279.14300,7431.55900,1500.72400,1243.81400,346.00700,2425.72600,3926.45000,,,3505.10900,7431.55900
2022-06-30,123.84100,1776.77300,,381.30400,,2281.91800,4447.69500,236.48900,286.46000,4970.64400,7252.56200,1870.06500,945.99900,301.00300,2057.63300,3927.69800,,,3324.86400,7252.56200
2022-03-31,144.52900,1745.64700,,379.62100,,2269.79700,4234.26600,241.63300,286.24500,4762.14400,7031.94100,1784.73000,945.62800,294.31400,1993.66900,3778.39900,,,3253.54200,7031.94100
2021-12-31,355.54900,1723.23400,25.03200,209.55400,,2313.36900,4067.65500,191.09300,222.23100,4480.97900,6794.34800,1729.60000,945.25700,256.23300,1946.93200,3676.53200,1.67100,5621.10300,3117.81600,6794.34800
2021-09-30,529.59500,1442.94800,,292.60400,,2265.14700,3854.58400,201.70600,191.75300,4248.04300,6513.19000,1644.62700,944.88700,270.86000,1946.33500,3590.96200,,,2922.22800,6513.19000
2021-06-30,570.91800,1293.92400,,344.45700,,2209.29900,3717.72800,204.88600,191.48100,4114.09500,6323.39400,1228.35500,1303.46700,263.57600,2296.01100,3524.36600,,,2799.02800,6323.39400
2021-03-31,552.97000,1219.16200,,359.86700,,2131.99900,3650.92100,208.39900,171.28700,4030.60700,6162.60600,1166.40000,1301.43000,249.69200,2274.14000,3440.54000,,,2722.06600,6162.60600
2020-12-31,313.30200,1310.25200,23.80400,194.75900,,1842.11700,3688.89400,212.12200,185.21500,4086.23100,5928.34800,1084.80300,1305.42400,245.96100,2243.40700,3328.21000,1.67100,4984.73900,2600.13800,5928.34800
2020-09-30,318.54900,1121.82500,,288.22400,,1728.59800,3682.40400,192.64800,175.41200,4050.46400,5779.06200,1095.42300,1303.35300,181.56100,2196.21500,3291.63800,,,2487.42400,5779.06200
