,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,398.31900,174.44600,132.78200,705.54700,172.19200,,2629.15600,138.77900,3209.00200,3914.54900,601.73600,3834.12500,121.55400,4011.28100,4613.01700,0.28600,-7867.14300,-566.60100,-698.46800,3914.54900
2022-06-30,472.92600,182.32000,149.56700,804.81300,168.76100,,2760.99500,149.13600,3388.96500,4193.77800,627.68600,3832.53400,122.08700,4018.19300,4645.87900,0.28600,-7995.83900,-407.83700,-452.10100,4193.77800
2022-03-31,921.09700,180.57700,132.13600,1233.81000,167.67600,,3127.64800,168.66600,3809.58300,5043.39300,1074.02700,3830.96500,136.15300,4091.14000,5165.16700,0.28600,-7963.98100,-269.21700,-121.77400,5043.39300
2021-12-31,827.20200,188.48200,202.56800,1218.25200,163.25600,,3183.69300,163.15000,3845.03600,5063.28800,1168.29500,3829.42100,129.89300,4090.83500,5259.13000,0.28300,-8144.51400,-223.75400,-195.84200,5063.28800
2021-09-30,523.18500,382.89700,145.97700,1052.05900,145.65200,,3220.45200,165.42900,3841.56700,4893.62600,747.95400,3933.89800,133.53800,4206.48800,4954.44200,0.27700,-7975.88200,-203.39700,-60.81600,4893.62600
2021-06-30,248.91300,259.32500,126.23800,634.47600,129.91600,,3200.16600,155.34600,3799.45700,4433.93300,577.96700,3845.55500,127.84400,3991.05400,4569.02100,0.27700,-8107.09200,-104.08900,-135.08800,4433.93300
2021-03-31,845.69600,210.67900,147.86300,1204.23800,106.95700,,1480.92100,119.86400,2010.43000,3214.66800,469.92400,3843.24400,97.63300,3958.31800,4428.24200,0.27000,-8248.65400,-102.03000,-1213.57400,3214.66800
2020-12-31,739.16400,137.02300,144.02500,1020.21200,107.79900,,1501.43200,123.52400,2026.24200,3046.45400,500.03600,3840.93000,101.01000,3959.79300,4459.82900,0.26700,-8422.23700,-81.45400,-1413.37500,3046.45400
2020-09-30,398.88400,199.68200,139.59300,738.15900,106.00600,,1478.84100,110.58600,1931.93300,2670.09200,488.19500,3521.09200,83.40500,3624.45800,4112.65300,0.26400,-8631.70500,-108.11100,-1442.56100,2670.09200
2020-06-30,129.29400,186.44700,136.00700,451.74800,101.64700,,1463.09400,66.22200,1882.98400,2334.73200,459.04200,3527.66000,38.39000,3583.52800,4042.57000,0.24200,-8764.28600,-124.31200,-1707.83800,2334.73200
2020-03-31,2892.64100,375.85400,267.81400,3536.30900,373.56100,301.59200,3713.60600,318.83200,4898.44000,8434.74900,1064.41600,3625.00800,228.67200,3915.50900,4979.92500,0.28000,1478.88500,-157.28500,3454.82400,8434.74900
2019-12-31,465.67600,116.45900,97.85000,3708.06400,101.06500,,1468.16300,64.23200,4656.73900,8364.80300,1010.18000,2889.62600,56.45300,3456.30500,4466.48500,0.27900,1689.92500,-136.34900,3898.31800,8364.80300
