,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1442.00000,5852.00000,1005.00000,8299.00000,871.00000,18788.00000,1449.00000,23593.00000,33454.00000,7172.00000,11227.00000,1718.00000,15533.00000,22705.00000,561.00000,20301.00000,-5314.00000,10749.00000,33454.00000
2022-09-30,802.00000,5819.00000,953.00000,7574.00000,865.00000,17979.00000,1383.00000,22834.00000,32023.00000,7292.00000,10399.00000,1612.00000,14940.00000,22232.00000,561.00000,19837.00000,-6048.00000,9791.00000,32023.00000
2022-06-30,909.00000,6286.00000,974.00000,8169.00000,863.00000,18501.00000,1466.00000,23527.00000,33440.00000,7016.00000,10487.00000,1861.00000,15507.00000,22523.00000,561.00000,19880.00000,-5363.00000,10917.00000,33440.00000
2022-03-31,772.00000,5963.00000,1053.00000,7788.00000,865.00000,18974.00000,1460.00000,24075.00000,33688.00000,6587.00000,10552.00000,2047.00000,15945.00000,22532.00000,561.00000,18916.00000,-4679.00000,11156.00000,33688.00000
2021-12-31,1752.00000,5586.00000,926.00000,8264.00000,847.00000,19127.00000,1461.00000,24256.00000,34388.00000,6654.00000,10933.00000,2067.00000,16512.00000,23166.00000,561.00000,18389.00000,-4575.00000,11222.00000,34388.00000
2021-09-30,1398.00000,5624.00000,855.00000,7877.00000,824.00000,18235.00000,1520.00000,23206.00000,32982.00000,6659.00000,10228.00000,1920.00000,16435.00000,23094.00000,561.00000,17589.00000,-5345.00000,9888.00000,32982.00000
2021-06-30,888.00000,5839.00000,846.00000,7573.00000,816.00000,18492.00000,1509.00000,23397.00000,32953.00000,5816.00000,10257.00000,2085.00000,16873.00000,22689.00000,561.00000,17597.00000,-5153.00000,10264.00000,32953.00000
2021-03-31,1120.00000,5597.00000,832.00000,7549.00000,830.00000,18061.00000,1482.00000,22900.00000,32273.00000,6123.00000,10242.00000,1868.00000,16554.00000,22677.00000,561.00000,16780.00000,-5197.00000,9596.00000,32273.00000
2020-12-31,2089.00000,5326.00000,740.00000,8155.00000,856.00000,18216.00000,1458.00000,23000.00000,33049.00000,6556.00000,10796.00000,1851.00000,17233.00000,23789.00000,561.00000,16272.00000,-5110.00000,9260.00000,33049.00000
2020-09-30,2388.00000,5236.00000,688.00000,8312.00000,864.00000,17745.00000,1428.00000,22485.00000,32681.00000,6530.00000,11532.00000,1802.00000,17399.00000,23929.00000,561.00000,15902.00000,-5148.00000,8752.00000,32681.00000
