,cash-on-hand,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,53.56900,251.11200,12092.82000,,213.86500,12306.69000,12624.33000,222.32800,6167.00100,256.52300,6452.76200,6743.13300,0.00600,-1123.21500,50.76900,5881.19700,12624.33000
2022-06-30,48.46300,223.80800,12044.59000,,222.26400,12266.86000,12558.01000,171.61600,6010.25000,267.42300,6310.88600,6551.42600,0.00700,-1073.57700,25.55400,6006.58500,12558.01000
2022-03-31,108.55300,313.97300,12161.88000,,226.29300,12388.17000,12770.30000,221.92500,6044.61900,256.01100,6340.36700,6632.09400,0.00700,-987.33300,14.23700,6138.20700,12770.30000
2021-12-31,58.63800,399.67100,12272.44000,,256.79300,12529.23000,12997.87000,180.75100,6287.41000,247.86300,6569.93900,6821.36500,0.00700,-916.83300,-5.55200,6176.50800,12997.87000
2021-09-30,60.95200,274.93700,12197.72000,,246.23000,12443.95000,12788.64000,220.42800,6088.30000,243.79600,6364.79400,6656.74100,0.00700,-917.31500,-8.96800,6131.89900,12788.64000
2021-06-30,58.17600,297.03100,12150.35000,,229.26600,12379.62000,12747.20000,160.12100,6130.14800,212.83800,6378.01200,6610.49600,0.00700,-899.66300,-9.76800,6136.70300,12747.20000
2021-03-31,113.36000,380.25600,12085.89000,,252.70900,12338.60000,12790.20000,158.67300,6096.70900,214.36800,6347.39900,6579.26900,0.00600,-828.62500,-10.39000,6210.93100,12790.20000
2020-12-31,84.04100,279.14500,12389.78000,,195.10800,12584.89000,12936.18000,152.85500,6251.53500,242.31900,6526.09200,6752.98500,0.00600,-861.19300,-14.72900,6183.19200,12936.18000
2020-09-30,569.07500,644.50700,12501.97000,,181.65500,12683.63000,13401.04000,205.52000,6610.18400,212.29300,6853.19600,7133.56000,0.00700,-821.84100,-16.80000,6267.48200,13401.04000
2020-06-30,256.47500,301.22300,12595.19000,,207.32700,12802.52000,13177.41000,164.34000,6319.41200,231.91100,6584.56400,6824.52900,0.00700,-760.02800,-18.71000,6352.88100,13177.41000
2020-03-31,282.34700,317.21400,12861.12000,,198.07900,13059.20000,13450.84000,193.56400,6495.65200,234.62800,6762.92300,7032.89200,0.00700,-708.69700,-22.66800,6417.94900,13450.84000
2019-12-31,81.09400,215.45900,12230.07000,,185.12800,12415.20000,12705.41000,158.01700,5808.87300,220.86100,6067.14400,6301.90600,0.00700,-887.61900,-13.88800,6403.50400,12705.41000
2019-09-30,91.72600,308.26700,12355.72000,,258.43000,12614.15000,12997.89000,193.34100,6048.14100,224.83400,6312.05200,6582.88800,0.00700,-887.52100,-19.02800,6415.00400,12997.89000
2019-06-30,54.97100,129.38700,12204.59000,,260.96700,12465.55000,12671.14000,140.18800,5841.25100,229.53400,6107.61500,6326.02900,0.00700,-857.99400,-18.99200,6345.11600,12671.14000
2019-03-31,124.12600,195.28000,12047.81000,,257.91300,12305.72000,12578.00000,180.57100,5735.80100,228.25500,6001.22500,6260.80600,0.00700,-822.08700,-14.81700,6317.19500,12578.00000
2018-12-31,151.39500,223.29000,11911.32000,,248.98400,12160.31000,12383.60000,127.08600,5605.94200,221.24900,5862.66600,5989.75600,0.00700,-812.79600,-13.21700,6393.84400,12383.60000
2018-09-30,174.62600,243.79200,12012.83000,,261.52000,12274.35000,12518.14000,185.42600,5633.67200,226.35200,5896.68900,6082.11500,0.00700,-808.08500,-8.54800,6436.02800,12518.14000
2018-06-30,177.57600,245.96200,12046.16000,,263.52900,12309.69000,12555.65000,132.79600,5691.09300,220.82500,5948.17500,6080.96700,0.00700,-766.19300,-11.43800,6474.68300,12555.65000
2018-03-31,139.07800,209.60300,12175.27000,,257.79200,12433.06000,12642.67000,179.64100,5718.97000,210.73800,5970.86700,6150.50800,0.00700,-743.77300,-14.70900,6492.15900,12642.67000
2017-12-31,61.12600,162.05200,12104.50000,,229.15900,12333.65000,12495.71000,127.50100,5689.12600,243.04800,5971.38000,6098.88500,0.00700,-833.72600,-18.44600,6396.82500,12495.71000
2017-09-30,63.27300,184.83000,12091.67000,,236.02700,12327.69000,12512.52000,222.12200,5615.22200,251.24100,5906.50700,6128.62900,0.00600,-821.73200,-24.63200,6383.89400,12512.52000
2017-06-30,199.87600,254.53600,12068.44000,,201.97500,12270.42000,12524.95000,139.04200,5663.39500,239.40600,5947.88200,6086.92400,0.00600,-785.93900,-28.34100,6438.02700,12524.95000
2017-03-31,100.25200,151.10700,12103.63000,,192.69300,12296.32000,12447.43000,184.77800,5602.50700,225.72400,5873.64600,6058.42400,0.00600,-741.20400,-29.95900,6389.00300,12447.43000
2016-12-31,170.30200,211.27200,11818.50000,,187.63900,12006.14000,12217.41000,138.22600,5563.26000,179.00100,5786.94500,5925.17100,0.00600,-805.40900,-32.09800,6292.23700,12217.41000
2016-09-30,211.05500,233.99600,11737.80000,,205.40300,11943.20000,12177.20000,185.18500,5584.68700,179.31300,5808.10900,5993.29800,0.00600,-896.12000,-40.09500,6183.90200,12177.20000
2016-06-30,215.37600,235.82400,11771.50000,,199.36900,11970.87000,12206.69000,145.21700,5618.28600,183.58100,5846.39800,5991.61500,0.00600,-856.81500,-43.00700,6215.07600,12206.69000
2016-03-31,80.48300,98.68100,11790.27000,,178.53300,11968.80000,12067.48000,170.44400,5352.80200,183.04500,5655.80000,5826.24400,0.00600,-824.04600,-44.14900,6241.24000,12067.48000
2015-12-31,123.05500,142.34000,11686.83000,,179.21500,11866.04000,12008.38000,131.41500,5318.75700,175.73700,5539.94600,5671.36100,0.00600,-797.32900,-42.01100,6337.02300,12008.38000
2015-09-30,72.30600,94.97400,11733.91000,12.67500,171.15900,11917.74000,12012.72000,177.80700,5317.42000,161.07800,5503.08700,5680.89700,0.00600,-782.80100,-50.35700,6331.82300,12012.72000
2015-06-30,65.15200,90.82800,11776.02000,25.90700,152.24800,11954.18000,12045.00000,146.25100,5369.33100,160.95200,5554.11300,5700.36400,0.00600,-731.18100,-50.15200,6344.64000,12045.00000
2015-03-31,255.23000,284.18400,11575.72000,37.96700,154.33800,11800.97000,12085.16000,162.10000,5436.05300,161.23400,5622.20300,5784.30300,0.00600,-684.43600,-50.86800,6300.85600,12085.16000
2014-12-31,95.74900,120.67200,11207.69000,47.74800,150.61800,11406.06000,11526.73000,135.16200,5080.68900,151.55700,5255.50200,5390.66400,0.00600,-650.79700,-51.45200,6136.06800,11526.73000
