,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,384.60000,5035.80000,914.50000,560.30000,,6895.20000,188.00000,,5853.00000,385.60000,6580.40000,13475.60000,5358.80000,6100.00000,302.50000,6790.80000,12149.60000,1.40000,-1969.30000,-187.60000,,1326.00000,13475.60000
2022-06-30,541.60000,4938.50000,1020.10000,539.60000,,7039.80000,194.70000,,5926.20000,337.90000,6613.30000,13653.10000,5415.60000,6481.40000,255.70000,7131.30000,12546.90000,1.40000,-2197.70000,-139.30000,,1106.20000,13653.10000
2022-03-31,386.90000,5063.30000,1054.60000,366.00000,,6870.80000,195.60000,,5961.10000,322.30000,6643.00000,13513.80000,5464.60000,6514.80000,231.40000,7156.10000,12620.70000,1.40000,-2408.90000,-103.10000,,893.10000,13513.80000
2021-12-31,258.10000,4934.90000,927.60000,357.50000,,6478.10000,195.80000,,6011.00000,358.90000,6721.30000,13199.40000,5096.00000,6755.80000,235.40000,7397.70000,12493.70000,1.30000,-2570.70000,-94.40000,,705.70000,13199.40000
2021-09-30,245.10000,3955.30000,844.40000,247.40000,,5292.20000,179.30000,,3307.90000,110.00000,3719.40000,9011.60000,3833.20000,4037.70000,114.70000,4341.40000,8174.60000,1.40000,-2402.60000,-97.50000,,837.00000,9011.60000
2021-06-30,501.20000,3801.40000,888.70000,230.30000,,5421.60000,176.10000,,3219.20000,49.30000,3569.30000,8990.90000,3770.10000,3909.20000,68.20000,4172.00000,7942.10000,1.40000,-2163.50000,-83.20000,,1048.80000,8990.90000
2021-03-31,878.60000,3630.70000,745.10000,215.40000,,5469.80000,175.50000,,3231.60000,48.30000,3583.70000,9053.50000,3709.30000,3911.10000,68.50000,4173.90000,7883.20000,1.40000,-2004.60000,-89.10000,,1170.30000,9053.50000
2020-12-31,1410.20000,3592.10000,760.00000,191.20000,,5953.50000,175.50000,,3041.00000,43.90000,3391.20000,9344.70000,3898.30000,3856.30000,68.70000,4149.30000,8047.60000,1.40000,-1813.40000,-95.80000,,1297.10000,9344.70000
2020-09-30,1249.50000,3671.80000,648.10000,190.20000,,5759.60000,268.00000,,3035.20000,27.40000,3464.10000,9223.70000,3836.60000,3858.60000,75.40000,4148.60000,7985.20000,1.40000,-1794.00000,-130.70000,,1238.50000,9223.70000
2020-06-30,958.40000,3382.90000,694.80000,199.70000,,5235.80000,326.50000,,3025.00000,24.90000,3513.70000,8749.50000,3561.50000,3861.60000,65.20000,4132.40000,7693.90000,1.40000,-1932.50000,-151.60000,,1055.60000,8749.50000
2020-03-31,214.40000,3591.90000,672.10000,187.40000,,4665.80000,331.90000,,3069.70000,25.50000,3556.60000,8222.40000,3647.20000,3438.50000,55.00000,3685.50000,7332.70000,1.40000,-2067.30000,-159.30000,,889.70000,8222.40000
2019-12-31,154.00000,3397.30000,611.20000,171.60000,,4334.10000,363.10000,,3147.10000,23.30000,3665.30000,7999.40000,3491.40000,3283.20000,71.00000,3547.70000,7039.10000,1.40000,-2018.60000,-117.80000,,960.30000,7999.40000
2019-09-30,166.90000,3331.70000,603.60000,193.10000,,4295.30000,171.10000,,3132.00000,20.50000,3407.80000,7703.10000,3241.00000,3259.00000,75.00000,3527.00000,6768.00000,1.40000,-1985.40000,-154.10000,,935.10000,7703.10000
2019-06-30,194.50000,3373.30000,652.20000,205.30000,,4425.30000,163.40000,,3185.20000,30.70000,3496.60000,7921.90000,3460.30000,3253.30000,62.50000,3525.50000,6985.80000,1.50000,-1973.60000,-139.40000,,936.10000,7921.90000
2019-03-31,285.00000,3078.50000,590.70000,178.30000,,4132.50000,155.20000,,3224.20000,35.50000,3547.00000,7679.50000,3215.00000,3257.70000,53.80000,3537.20000,6752.20000,1.50000,-1972.00000,-127.50000,,927.30000,7679.50000
2018-12-31,205.80000,2987.60000,454.30000,149.10000,,3796.80000,156.10000,,3175.00000,39.80000,3370.90000,7167.70000,2803.10000,3183.30000,64.20000,3389.40000,6192.50000,1.50000,-1892.60000,-130.60000,,975.20000,7167.70000
2018-09-30,255.10000,3020.90000,481.10000,192.40000,,3949.50000,147.80000,,3227.70000,50.40000,3425.90000,7375.40000,2803.90000,3187.40000,65.00000,3410.80000,6214.70000,1.50000,-1703.50000,-108.20000,,1160.70000,7375.40000
2018-06-30,100.70000,2986.00000,576.90000,181.10000,,3844.70000,150.30000,,3274.80000,60.30000,3485.40000,7330.10000,2820.00000,3201.70000,66.60000,3441.20000,6261.20000,1.50000,-1780.80000,-105.10000,,1068.90000,7330.10000
2018-03-31,221.00000,2584.20000,485.80000,188.90000,,3479.90000,153.10000,,3347.80000,47.10000,3548.00000,7027.90000,2582.50000,3209.70000,49.90000,3448.50000,6031.00000,1.50000,-1854.60000,-78.50000,,996.90000,7027.90000
2017-12-31,144.20000,2672.30000,411.50000,168.30000,,3396.30000,161.10000,,3376.60000,32.70000,3570.40000,6966.70000,2522.10000,3210.00000,52.70000,3459.00000,5981.10000,1.50000,-1831.60000,-95.90000,,985.60000,6966.70000
2017-09-30,97.90000,2692.10000,549.00000,153.50000,,3492.50000,162.50000,,3414.70000,32.10000,3609.30000,7101.80000,2558.70000,3388.40000,32.30000,3736.60000,6295.30000,1.50000,-1997.20000,-101.70000,,806.50000,7101.80000
2017-06-30,79.00000,2673.10000,513.60000,131.00000,,3396.70000,160.70000,,3445.90000,38.30000,3644.90000,7041.60000,2555.20000,3277.80000,30.00000,3637.30000,6192.50000,1.50000,-1927.10000,-115.80000,,849.10000,7041.60000
2017-03-31,251.70000,2225.20000,493.40000,127.30000,,3097.60000,162.40000,,3474.20000,40.50000,3677.10000,6774.70000,2222.80000,3262.00000,32.20000,3644.60000,5867.40000,1.60000,-1835.40000,-133.50000,,907.30000,6774.70000
2016-12-31,263.70000,2403.50000,452.00000,118.90000,,3238.10000,163.70000,,3510.60000,36.00000,3710.30000,6948.40000,2280.70000,3215.90000,37.10000,3622.20000,5902.90000,1.60000,-1673.80000,-139.60000,,1045.50000,6948.40000
2016-09-30,118.30000,2289.20000,451.60000,138.70000,,2997.80000,162.50000,,3578.50000,34.00000,3775.00000,6772.80000,2126.80000,3222.90000,39.40000,3655.50000,5782.30000,1.60000,-1738.90000,-115.80000,,990.50000,6772.80000
2016-06-30,129.40000,2342.80000,487.30000,115.80000,,3075.30000,163.80000,,3637.00000,11.80000,3812.60000,6887.90000,2177.70000,3214.40000,61.60000,3696.80000,5874.50000,1.60000,-1715.30000,-104.00000,,1013.40000,6887.90000
2016-03-31,248.20000,1992.90000,460.40000,114.80000,,2816.30000,168.40000,,3720.60000,12.60000,3901.60000,6717.90000,1943.40000,3225.00000,61.10000,3734.60000,5678.00000,1.70000,-1710.00000,-68.90000,,1039.90000,6717.90000
2015-12-31,37.60000,2215.80000,393.10000,144.30000,,2790.80000,175.40000,,3776.80000,12.30000,3964.50000,6755.30000,1887.30000,3232.50000,70.00000,3772.10000,5659.40000,1.70000,-1651.60000,-61.10000,,1095.90000,6755.30000
2015-09-30,97.50000,2090.60000,411.40000,135.40000,,2734.90000,154.40000,,3842.80000,9.40000,4006.60000,6741.50000,1871.90000,3240.30000,57.70000,3793.90000,5665.80000,1.70000,-1674.60000,-45.30000,,1075.70000,6741.50000
2015-06-30,335.70000,1901.20000,436.20000,41.30000,,2714.40000,134.20000,95.40000,3305.00000,2.20000,3536.80000,6251.20000,1625.60000,3154.20000,47.40000,3629.80000,5255.40000,1.70000,-1712.50000,-22.90000,,995.80000,6251.20000
2015-03-31,447.40000,1623.00000,357.00000,58.50000,,2485.90000,135.10000,86.70000,3344.00000,2.60000,3602.70000,6088.60000,1425.60000,3190.80000,46.70000,3687.50000,5113.10000,1.70000,-1717.50000,-27.60000,,975.50000,6088.60000
2014-12-31,344.50000,1716.70000,337.50000,54.70000,,2453.40000,137.20000,86.70000,3386.40000,12.20000,3622.50000,6075.90000,1468.00000,3150.60000,45.80000,3671.40000,5139.40000,1.70000,-1760.50000,-16.60000,,936.50000,6075.90000
2014-09-30,357.80000,1648.60000,423.50000,86.30000,,2516.20000,131.70000,,3425.60000,2.10000,3591.20000,6107.40000,1527.60000,3146.30000,44.10000,3685.80000,5213.40000,1.70000,-1800.60000,-11.70000,,894.00000,6107.40000
2014-06-30,227.60000,1685.70000,449.60000,52.40000,,2415.30000,129.80000,,3467.10000,1.60000,3630.00000,6045.30000,1529.40000,3110.60000,42.60000,3671.10000,5200.50000,1.70000,-1848.90000,-6.50000,,844.80000,6045.30000
2014-03-31,306.70000,1723.40000,164.50000,53.30000,,2247.90000,129.90000,,3505.70000,1.50000,3664.60000,5912.50000,1418.50000,3157.00000,41.40000,3739.20000,5157.70000,1.70000,-1928.20000,-10.20000,,754.80000,5912.50000
2013-12-31,188.10000,1597.30000,382.00000,46.10000,,2213.50000,131.10000,,3548.30000,1.60000,3711.10000,5924.60000,1402.60000,3205.80000,41.00000,3810.30000,5212.90000,1.70000,-1971.80000,-6.30000,,711.70000,5924.60000
2013-09-30,350.20000,1507.70000,353.80000,63.10000,,2285.70000,129.60000,,3588.40000,1.40000,3753.10000,6038.80000,1496.50000,3239.70000,43.40000,3882.50000,5379.00000,1.70000,-2024.40000,-3.30000,,659.80000,6038.80000
2013-06-30,179.30000,1555.60000,378.50000,108.20000,,2233.70000,132.70000,,3611.10000,1.60000,3786.80000,6020.50000,1445.20000,3710.90000,57.10000,4366.30000,5811.50000,1.40000,-1998.10000,-5.30000,,209.00000,6020.50000
