,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,34.00000,786.00000,59.00000,54.00000,98.00000,1031.00000,21903.00000,761.00000,74.00000,22812.00000,23843.00000,1678.00000,5347.00000,198.00000,7607.00000,9285.00000,2.00000,195.00000,14558.00000,23843.00000
2022-06-30,59.00000,1037.00000,65.00000,23.00000,17.00000,1201.00000,21369.00000,747.00000,98.00000,22247.00000,23448.00000,1640.00000,5401.00000,157.00000,7418.00000,9058.00000,2.00000,-458.00000,14390.00000,23448.00000
2022-03-31,167.00000,1079.00000,62.00000,33.00000,6.00000,1347.00000,21108.00000,731.00000,108.00000,21984.00000,23331.00000,1872.00000,5803.00000,129.00000,7607.00000,9479.00000,2.00000,-1326.00000,13852.00000,23331.00000
2021-12-31,672.00000,671.00000,62.00000,28.00000,13.00000,1446.00000,20619.00000,701.00000,92.00000,21452.00000,22898.00000,1438.00000,6642.00000,69.00000,8215.00000,9653.00000,2.00000,-1998.00000,13245.00000,22898.00000
2021-09-30,475.00000,811.00000,53.00000,28.00000,97.00000,1464.00000,20406.00000,598.00000,146.00000,21175.00000,22639.00000,1996.00000,6925.00000,50.00000,8221.00000,10217.00000,2.00000,-2908.00000,12422.00000,22639.00000
2021-06-30,362.00000,690.00000,52.00000,25.00000,13.00000,1142.00000,20419.00000,607.00000,139.00000,21193.00000,22335.00000,1972.00000,7360.00000,49.00000,8473.00000,10445.00000,2.00000,-3475.00000,11890.00000,22335.00000
2021-03-31,140.00000,632.00000,52.00000,27.00000,,851.00000,20352.00000,626.00000,135.00000,21145.00000,21996.00000,1868.00000,7465.00000,31.00000,8476.00000,10344.00000,2.00000,-3713.00000,11652.00000,21996.00000
2020-12-31,108.00000,437.00000,33.00000,23.00000,1.00000,602.00000,16214.00000,634.00000,96.00000,17017.00000,17619.00000,1236.00000,5624.00000,64.00000,6579.00000,7815.00000,2.00000,-3864.00000,9804.00000,17619.00000
2020-09-30,99.00000,391.00000,33.00000,20.00000,15.00000,558.00000,17435.00000,636.00000,56.00000,18202.00000,18760.00000,1229.00000,5656.00000,116.00000,6862.00000,8091.00000,2.00000,-3065.00000,10669.00000,18760.00000
2020-06-30,59.00000,442.00000,34.00000,33.00000,86.00000,654.00000,18927.00000,620.00000,58.00000,19683.00000,20337.00000,1061.00000,5952.00000,99.00000,7441.00000,8502.00000,2.00000,-1893.00000,11835.00000,20337.00000
