,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7742.30000,5328.70000,2401.90000,411.20000,15884.10000,3763.00000,6591.80000,915.50000,336.40000,13330.40000,29214.50000,3141.30000,2701.40000,638.00000,3409.20000,6550.50000,0.10000,23306.70000,-238.80000,22664.00000,29214.50000
2022-09-30,7021.70000,5548.30000,2412.20000,446.40000,15428.60000,3704.20000,5968.60000,804.10000,320.20000,12249.20000,27677.80000,2879.20000,2701.10000,598.60000,3359.80000,6239.00000,0.10000,22109.60000,-275.10000,21438.80000,27677.80000
2022-06-30,7566.40000,5161.40000,2218.50000,583.60000,15529.90000,3637.70000,6415.90000,,269.90000,11675.90000,27205.80000,3033.90000,2700.70000,724.70000,3484.10000,6518.00000,0.10000,20793.90000,-223.80000,20687.80000,27205.80000
2022-03-31,7050.60000,4839.00000,1991.50000,424.90000,14306.00000,3556.40000,7084.00000,,262.00000,12042.70000,26348.70000,3007.60000,2700.40000,692.50000,3426.40000,6434.00000,0.10000,19941.80000,-170.10000,19914.70000,26348.70000
2021-12-31,5694.70000,6036.50000,1951.30000,332.40000,14014.90000,3482.20000,6838.00000,6.70000,216.10000,11419.90000,25434.80000,3932.50000,1980.00000,680.20000,2733.50000,6666.00000,0.10000,18968.30000,-26.20000,18768.80000,25434.80000
2021-09-30,5787.60000,5452.00000,2053.80000,482.00000,13775.40000,3395.70000,5631.30000,,145.90000,9896.10100,23671.50000,3714.80000,1979.60000,662.60000,2698.70000,6413.50000,0.10000,16739.30000,9.50000,17258.00000,23671.50000
2021-06-30,3910.80000,6998.60000,1983.90000,444.30000,13337.60000,3358.50000,3900.30000,,142.90000,8148.30000,21485.90000,3732.40000,1979.20000,596.30000,2626.20000,6358.60000,0.10000,15107.10000,15.70000,15127.30000,21485.90000
2021-03-31,3503.80000,4173.00000,2164.70000,213.60000,10055.10000,3262.60000,3543.70000,,145.70000,7717.10000,17772.20000,3217.80000,1978.90000,571.50000,2577.40000,5795.20000,0.10000,12008.20000,16.20000,11977.00000,17772.20000
2020-12-31,3587.00000,4114.70000,1916.60000,160.80000,9779.10000,3221.60000,3135.60000,,168.10000,7384.20000,17163.30000,2697.40000,2695.70000,687.10000,3440.60000,6138.00000,0.10000,10893.00000,29.30000,11025.30000,17163.30000
2020-09-30,3025.90000,4039.50000,1801.60000,230.60000,9097.60000,3138.30000,2875.10000,,168.80000,6986.40000,16084.00000,2337.80000,2694.80000,821.00000,3620.70000,5958.50000,0.10000,9743.80000,30.80000,10125.50000,16084.00000
2020-06-30,3144.20000,2811.30000,1640.90000,263.80000,7860.20000,3031.40000,2587.60000,,175.50000,6568.50000,14428.70000,3702.40000,715.90000,848.20000,1668.90000,5371.30000,0.10000,8901.70000,35.50000,9057.40000,14428.70000
2020-03-31,4003.40000,2933.20000,1480.90000,226.60000,8644.10000,2944.60000,3236.40000,,161.20000,7113.40000,15757.50000,2055.20000,715.20000,772.00000,1569.30000,3624.50000,0.10000,8004.40000,-9.10000,12133.00000,15757.50000
2019-12-31,3214.30000,2785.60000,1415.50000,273.70000,7689.10000,2890.40000,3256.80000,,144.70000,7116.10100,14805.20000,2096.60000,713.90000,799.70000,1618.90000,3715.50000,0.10000,7379.80000,21.10000,11089.70000,14805.20000
2019-09-30,2877.90000,2660.00000,1344.30000,226.90000,7109.10000,2771.40000,3112.60000,,137.90000,6830.20000,13939.30000,1765.40000,712.70000,273.00000,1669.50000,3434.90000,0.10000,6587.80000,16.50000,10504.40000,13939.30000
2019-06-30,2669.70000,2455.90000,1317.20000,208.20000,6651.00000,2676.60000,2884.60000,,139.80000,6522.60000,13173.60000,1713.10000,711.30000,267.90000,1704.60000,3417.70000,0.10000,5918.20000,15.80000,9755.90000,13173.60000
2019-03-31,3232.40000,2305.20000,1208.80000,182.20000,6928.60000,2612.80000,2339.80000,,144.30000,5926.20000,12854.80000,1511.40000,709.90000,376.30000,1898.70000,3410.10000,0.10000,5725.10000,2.80000,9444.70000,12854.80000
2018-12-31,2809.90000,2243.20000,1151.20000,243.30000,6447.60000,2575.80000,1755.00000,,127.40000,5286.90000,11734.50000,1442.80000,708.50000,361.70000,1534.40000,2977.20000,0.10000,5254.30000,-12.30000,8757.30000,11734.50000
2018-09-30,2192.15200,2202.94500,1039.67900,284.80700,5719.58300,2524.44600,1873.56900,,125.19700,5086.03000,10805.61000,1417.23000,707.20300,194.03300,1520.08300,2937.31300,0.11200,4433.90400,-10.51900,7868.30000,10805.61000
2018-06-30,1683.51800,2039.24700,928.55300,163.59900,4814.91700,2461.61400,2044.70300,,85.66900,5137.06300,9951.98000,1331.19000,705.90300,190.02000,1434.36400,2765.55400,0.11200,3839.17900,-11.61200,7186.42600,9951.98000
2018-03-31,1624.95200,1943.93200,820.39700,155.45100,4544.73200,2394.72700,1821.98500,,78.98400,4827.96400,9372.69600,1265.74000,704.64500,169.92200,1539.31200,2805.05200,0.11200,3287.76700,-15.59400,6567.64400,9372.69600
