,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,26234.33000,724.90400,252.44800,,27211.68000,161.38500,,41.87200,1803.42700,2184.25400,29395.93000,12009.87000,2214.04400,,2325.98600,14335.86000,0.02300,807.52600,651.01200,,15060.08000,29395.93000
2022-06-30,25258.89000,705.85500,228.69500,,26193.44000,216.60900,,65.06900,2054.30600,2471.31300,28664.76000,12796.83000,2220.72400,0.01200,2295.54400,15092.37000,0.02400,-723.22500,128.99600,,13572.39000,28664.76000
2022-03-31,22076.55000,660.62100,319.78800,,23056.96000,275.54200,,87.82700,3059.51500,3557.75200,26614.71000,12228.86000,2217.44100,0.08500,2294.14200,14523.00000,0.02600,-2167.52300,-418.23500,,12091.71000,26614.71000
2021-12-31,23940.09000,772.66600,537.40800,,25250.16000,345.74900,,110.03700,2577.59300,3185.60000,28435.76000,14708.24000,1849.93700,0.15600,1940.41000,16648.65000,0.02500,-2778.54100,-395.42700,,11787.11000,28435.76000
2021-09-30,23147.41000,708.38000,524.71000,,24380.49000,344.53800,,133.56500,868.09300,1464.36300,25844.86000,13393.07000,1813.42100,0.23100,1881.60200,15274.67000,0.02500,-3775.34800,-219.46400,,10570.19000,25844.86000
2021-06-30,21744.47000,670.81600,441.00600,,22856.29000,38.27300,,155.59000,1118.87900,1419.60500,24275.90000,12401.88000,1756.70100,0.30300,1822.61100,14224.49000,0.02500,-4021.62700,-258.04800,,10051.41000,24275.90000
2021-03-31,19941.63000,737.26000,633.84500,,21312.73000,34.78700,,178.50000,1790.95800,2103.71400,23416.44000,12078.86000,1755.62000,0.37700,1819.84700,13898.71000,0.02500,-4331.72900,-81.15300,,9517.73800,23416.44000
2020-12-31,21363.18000,761.62700,790.73300,,22915.54000,31.08900,,195.67100,1114.98900,1438.27400,24353.81000,12855.49000,2211.92200,0.44700,2275.96100,15131.45000,0.02400,-3904.24600,-160.57100,,9222.35800,24353.81000
2020-09-30,12428.99000,586.21000,265.49200,,13280.69000,6.85000,,219.00500,1056.44100,1360.95700,14641.64000,9584.59100,810.78000,5.30800,873.64700,10458.24000,0.02300,-3549.37700,78.54700,,4183.40700,14641.64000
2020-06-30,11532.60000,404.45900,176.28200,,12113.34000,6.72700,,241.51000,431.69400,752.81400,12866.15000,7839.34400,788.72900,5.38900,852.22500,8691.56900,0.02200,-3299.90200,254.02700,,4174.58500,12866.15000
2020-03-31,9821.99700,371.13300,129.16700,,10322.30000,5.84000,,263.60500,97.72800,435.93600,10758.23000,6868.26200,766.93100,0.99600,824.01200,7692.27400,0.02100,-3165.57300,257.14100,,3065.95900,10758.23000
2019-12-31,9858.75600,490.75000,136.49900,,10486.00000,5.92800,,286.46200,72.26900,438.94800,10924.95000,6574.13500,747.89300,1.06100,810.51800,7384.65300,0.02100,-2627.97900,208.02500,,3540.30000,10924.95000
2019-09-30,8244.17000,248.74100,123.76200,,8616.67300,5.33800,,305.31400,62.95600,417.85100,9034.52400,4647.23300,719.15500,1.11200,755.87400,5403.10700,0.02100,-2314.56600,252.48300,,3631.41700,9034.52400
2019-06-30,7079.32800,217.84800,176.34900,,7473.52500,4.86700,,331.68400,63.64700,445.02500,7918.55000,4224.08800,,1.19000,37.23200,4261.32000,0.02100,-2069.74700,162.65100,,3657.23000,7918.55000
2019-03-31,6576.88500,208.47900,189.06400,,6974.42800,5.37700,,354.81700,50.78400,443.58600,7418.01400,3662.89500,,1.25700,25.66200,3688.55700,0.02300,-1967.69100,93.51000,,3729.45700,7418.01400
2018-12-31,5551.65100,184.22200,138.75200,,5874.62500,4.22900,,375.14900,26.56800,405.94600,6280.57100,3542.94000,,,,3542.94000,0.02000,-1647.56900,150.64800,,2737.63100,6280.57100
2018-09-30,4752.20000,119.44900,114.29100,,4985.94000,2.78200,,399.14400,,401.92600,5387.86600,2365.06500,,,,2365.06500,0.02000,-1296.44200,143.68200,,3022.80100,5387.86600
2018-06-30,2888.88100,103.14500,101.76600,,3093.79200,2.24800,,421.13500,,423.38300,3517.17500,2098.07200,,,1654.87900,3752.95100,0.00900,-1179.61700,59.92600,,-235.77600,3517.17500
2018-03-31,2796.71700,100.28100,33.61500,,2930.61300,1.57700,26.17700,444.68900,,472.44300,3403.05600,1873.77600,,,1745.76700,3619.54300,0.00800,-209.12400,-19.31800,,-216.48700,3403.05600
2017-12-31,1989.44600,84.66800,,20.36500,2094.47900,,26.68100,0.00000,,26.68100,2122.63900,1930.54000,,350.24100,350.24100,2280.78100,0.00800,-164.24400,,-3.68300,-158.14200,2122.63900
