,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3023.72900,923.09600,1289.70600,314.21700,,5550.74800,95.00900,39.46800,388.12900,73.75400,1224.66200,6775.41000,1293.53100,,58.40000,596.05900,1889.59000,0.03100,3138.98300,-33.90800,,4885.82000,6775.41000
2022-09-30,2980.07100,651.51200,1100.55000,299.54500,,5031.67800,96.44900,39.67700,402.53800,59.65500,1130.33200,6162.01000,1254.91200,,58.79100,521.88000,1776.79200,0.03100,2714.71100,-47.12900,,4385.21800,6162.01000
2022-06-30,2901.90200,585.78600,852.81000,388.69700,,4729.19500,91.82300,38.26300,414.33000,46.61000,1095.35000,5824.54500,1278.02600,,60.33700,540.72700,1818.75300,0.03000,2408.29400,-41.31900,,4005.79200,5824.54500
2022-03-31,3423.91400,648.60600,694.21700,338.43700,,5105.17400,87.39100,38.62500,322.15900,41.81900,1003.01200,6108.18600,1369.00500,,57.67200,586.00400,1955.00900,0.03100,2592.85400,-30.50100,,4153.17700,6108.18600
2021-12-31,3408.31500,516.50900,650.11700,237.73500,,4812.67600,78.63400,20.24700,281.95200,33.44300,921.75310,5734.42900,1109.82900,,54.74900,646.00000,1755.82900,0.03100,2456.82300,-8.30000,,3978.60000,5734.42900
2021-09-30,3386.48100,395.59000,575.66500,166.22200,,4523.95800,75.37300,18.24700,289.11000,32.52400,913.39200,5437.35000,893.38700,,51.16500,678.70300,1572.09000,0.00800,2393.66100,-2.00400,,3865.26000,5437.35000
2021-06-30,3281.70300,364.21400,543.19900,139.27900,,4328.39500,32.36200,13.64700,296.27200,33.43300,879.88500,5208.28000,859.93500,,47.50800,650.50400,1510.43900,0.00800,2303.51300,-1.13900,,3697.84100,5208.28000
2021-03-31,3027.66600,380.46600,483.16800,111.59500,,4002.89500,32.46200,10.31400,303.63600,33.19000,890.83500,4893.73000,786.53200,,44.62000,655.86000,1442.39200,0.00800,2106.62500,-0.86400,,3451.33800,4893.73000
2020-12-31,2872.86800,389.54000,479.66800,94.92200,,3836.99800,32.23100,8.31400,312.48600,30.07100,901.92100,4738.91900,768.24300,,42.43100,650.38500,1418.62800,0.03000,2027.61400,0.23800,,3320.29100,4738.91900
2020-09-30,2845.90100,300.21700,438.10200,69.64700,,3653.86700,32.67000,4.15000,162.72000,22.80700,745.50510,4399.37200,664.78300,,39.16500,650.71200,1315.49500,0.00800,1844.65600,-0.93400,,3083.87700,4399.37200
