,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,5924.00000,21961.00000,27885.00000,3774.00000,17193.00000,78303.00000,16777.00000,116047.00000,143932.00000,41229.00000,28100.00000,21901.00000,57818.00000,99047.00000,4.00000,37874.00000,-1395.00000,44885.00000,143932.00000
2022-09-30,7079.00000,22101.00000,29180.00000,3744.00000,17056.00000,78692.00000,14773.00000,115029.00000,144209.00000,41115.00000,28090.00000,22094.00000,58011.00000,99126.00000,4.00000,37041.00000,-2009.00000,45083.00000,144209.00000
2022-06-30,4421.00000,23164.00000,27585.00000,3659.00000,17478.00000,79086.00000,24080.00000,125045.00000,152630.00000,39367.00000,30984.00000,28298.00000,67341.00000,106708.00000,4.00000,34626.00000,-2080.00000,45922.00000,152630.00000
2022-03-31,4424.00000,20940.00000,25364.00000,3661.00000,18424.00000,79518.00000,24924.00000,127246.00000,152610.00000,37546.00000,31013.00000,29777.00000,68955.00000,106501.00000,4.00000,33420.00000,-1492.00000,46109.00000,152610.00000
2021-12-31,5081.00000,20041.00000,25122.00000,3692.00000,19358.00000,79913.00000,26804.00000,129767.00000,154889.00000,37149.00000,31125.00000,31085.00000,70610.00000,107759.00000,4.00000,32593.00000,-884.00000,47130.00000,154889.00000
2021-09-30,3483.00000,21285.00000,24768.00000,4070.00000,25130.00000,80671.00000,16245.00000,129483.00000,154251.00000,52916.00000,31609.00000,13411.00000,53908.00000,106824.00000,4.00000,31803.00000,-1153.00000,47427.00000,154251.00000
2021-06-30,3821.00000,20576.00000,24397.00000,4078.00000,24927.00000,81070.00000,16338.00000,129810.00000,154207.00000,51376.00000,31606.00000,13591.00000,54115.00000,105491.00000,4.00000,30513.00000,-1077.00000,48716.00000,154207.00000
2021-03-31,6505.00000,18763.00000,25268.00000,4114.00000,24298.00000,79427.00000,15623.00000,126813.00000,152081.00000,33470.00000,31568.00000,29997.00000,70456.00000,103926.00000,4.00000,29389.00000,-1231.00000,48155.00000,152081.00000
2020-12-31,10182.00000,17391.00000,27573.00000,4205.00000,24593.00000,79827.00000,15868.00000,127878.00000,155451.00000,36022.00000,29545.00000,30559.00000,69101.00000,105123.00000,4.00000,28575.00000,-861.00000,50328.00000,155451.00000
2020-09-30,5344.00000,18386.00000,23730.00000,4203.00000,23276.00000,80177.00000,15475.00000,136314.00000,160044.00000,36691.00000,29537.00000,29381.00000,75314.00000,112005.00000,4.00000,24440.00000,-541.00000,48039.00000,160044.00000
2020-06-30,7185.00000,17636.00000,24821.00000,4255.00000,22528.00000,80381.00000,14813.00000,134807.00000,159628.00000,35070.00000,31774.00000,29100.00000,77187.00000,112257.00000,4.00000,23052.00000,-788.00000,47371.00000,159628.00000
2020-03-31,4452.00000,16782.00000,21234.00000,4317.00000,21581.00000,80746.00000,14455.00000,133477.00000,154711.00000,33337.00000,32147.00000,27997.00000,76288.00000,109625.00000,4.00000,21298.00000,-1527.00000,45086.00000,154711.00000
2019-12-31,4619.00000,15816.00000,20435.00000,4417.00000,22479.00000,81164.00000,14809.00000,135339.00000,155774.00000,33326.00000,31893.00000,28977.00000,77104.00000,110430.00000,4.00000,20162.00000,-941.00000,45344.00000,155774.00000
2019-09-30,4577.00000,16993.00000,21570.00000,4448.00000,30275.00000,81546.00000,14213.00000,133277.00000,154847.00000,34447.00000,34041.00000,32342.00000,75701.00000,110148.00000,4.00000,19185.00000,-858.00000,44699.00000,154847.00000
2019-06-30,3610.00000,17024.00000,20634.00000,4538.00000,29845.00000,82166.00000,14397.00000,133767.00000,154401.00000,31867.00000,36885.00000,32393.00000,78716.00000,110583.00000,4.00000,17834.00000,-965.00000,43818.00000,154401.00000
2019-03-31,4976.00000,16326.00000,21302.00000,4523.00000,28919.00000,82875.00000,13912.00000,133046.00000,154348.00000,32969.00000,37571.00000,31954.00000,78966.00000,111935.00000,4.00000,16426.00000,-1282.00000,42413.00000,154348.00000
2018-12-31,3855.00000,15980.00000,19835.00000,4562.00000,28974.00000,83508.00000,13526.00000,133391.00000,153226.00000,31895.00000,39523.00000,31283.00000,80296.00000,112191.00000,4.00000,15088.00000,-1711.00000,41035.00000,153226.00000
2018-09-30,24032.00000,9389.00000,33421.00000,1559.00000,28976.00000,6129.00000,10389.00000,49535.00000,82956.00000,34168.00000,25041.00000,8162.00000,33233.00000,67401.00000,74.00000,18474.00000,-1857.00000,15555.00000,82956.00000
2018-06-30,3634.00000,9289.00000,12923.00000,1554.00000,29339.00000,6147.00000,10699.00000,50179.00000,63102.00000,34838.00000,5195.00000,8287.00000,13521.00000,48359.00000,74.00000,17722.00000,-1843.00000,14743.00000,63102.00000
2018-03-31,2771.00000,9400.00000,12171.00000,1552.00000,29864.00000,6170.00000,10973.00000,50970.00000,63141.00000,35453.00000,5191.00000,8253.00000,13493.00000,48946.00000,74.00000,16933.00000,-1547.00000,14195.00000,63141.00000
2017-12-31,2972.00000,8918.00000,11890.00000,1563.00000,28619.00000,6509.00000,10902.00000,49869.00000,61759.00000,31539.00000,5199.00000,11261.00000,16509.00000,48048.00000,74.00000,15800.00000,-1082.00000,13711.00000,61759.00000
2017-09-30,3656.00000,9469.00000,13125.00000,1526.00000,28245.00000,6001.00000,10794.00000,48811.00000,61936.00000,34100.00000,5207.00000,8432.00000,13691.00000,47791.00000,74.00000,15590.00000,-1124.00000,14145.00000,61936.00000
2017-06-30,3611.00000,9721.00000,13332.00000,1509.00000,27932.00000,6000.00000,10755.00000,48406.00000,61738.00000,34043.00000,4622.00000,8468.00000,13148.00000,47191.00000,74.00000,15102.00000,-1146.00000,14547.00000,61738.00000
2017-03-31,4155.00000,9540.00000,13695.00000,1519.00000,27259.00000,5982.00000,10447.00000,47452.00000,61147.00000,34044.00000,4621.00000,8197.00000,12874.00000,46918.00000,74.00000,14356.00000,-1252.00000,14229.00000,61147.00000
2016-12-31,3185.00000,9555.00000,12740.00000,1536.00000,26815.00000,5980.00000,10167.00000,46620.00000,59360.00000,32879.00000,4756.00000,7940.00000,12754.00000,45633.00000,74.00000,13855.00000,-1382.00000,13727.00000,59360.00000
2016-09-30,3224.00000,10116.00000,13340.00000,1561.00000,27101.00000,6007.00000,10767.00000,47422.00000,60762.00000,33776.00000,4780.00000,8156.00000,13004.00000,46780.00000,74.00000,13487.00000,-715.00000,13982.00000,60762.00000
2016-06-30,2454.00000,11034.00000,13488.00000,1556.00000,25863.00000,6017.00000,10587.00000,46018.00000,59506.00000,33312.00000,4789.00000,7970.00000,12830.00000,46142.00000,74.00000,13046.00000,-844.00000,13364.00000,59506.00000
2016-03-31,2401.00000,10681.00000,13082.00000,1534.00000,25447.00000,6029.00000,10773.00000,45802.00000,58884.00000,33351.00000,4791.00000,7985.00000,12849.00000,46200.00000,74.00000,12541.00000,-988.00000,12684.00000,58884.00000
2015-12-31,1968.00000,10507.00000,12475.00000,1534.00000,24713.00000,6019.00000,10309.00000,44613.00000,57088.00000,32122.00000,5020.00000,7833.00000,12922.00000,45044.00000,74.00000,12121.00000,-1250.00000,12044.00000,57088.00000
2015-09-30,2381.00000,10650.00000,13031.00000,1483.00000,23899.00000,6040.00000,10581.00000,43878.00000,56909.00000,32091.00000,5056.00000,7908.00000,13031.00000,45122.00000,74.00000,11706.00000,-1215.00000,11787.00000,56909.00000
2015-06-30,1969.00000,10811.00000,12780.00000,1502.00000,23819.00000,6041.00000,11033.00000,44352.00000,57132.00000,32396.00000,5046.00000,8311.00000,13433.00000,45829.00000,74.00000,11178.00000,-1125.00000,11303.00000,57132.00000
2015-03-31,2620.00000,10407.00000,13027.00000,1486.00000,24408.00000,6029.00000,11377.00000,45095.00000,58122.00000,33627.00000,5062.00000,8392.00000,13537.00000,47164.00000,74.00000,10635.00000,-934.00000,10958.00000,58122.00000
2014-12-31,1420.00000,9837.00000,11257.00000,1502.00000,24342.00000,5989.00000,10985.00000,44613.00000,55870.00000,31684.00000,4979.00000,8328.00000,13397.00000,45081.00000,74.00000,10289.00000,-936.00000,10789.00000,55870.00000
2014-09-30,1621.00000,9660.00000,11281.00000,1494.00000,24333.00000,6003.00000,11022.00000,44372.00000,55653.00000,30779.00000,5024.00000,8582.00000,13699.00000,44478.00000,92.00000,15196.00000,-419.00000,11175.00000,55653.00000
2014-06-30,1967.00000,9789.00000,11756.00000,1498.00000,23997.00000,6033.00000,11135.00000,44173.00000,55929.00000,31179.00000,5022.00000,8643.00000,13798.00000,44977.00000,92.00000,14677.00000,-273.00000,10952.00000,55929.00000
2014-03-31,2276.00000,9645.00000,11921.00000,1450.00000,23389.00000,6030.00000,10918.00000,43252.00000,55173.00000,31098.00000,5022.00000,8388.00000,13506.00000,44604.00000,92.00000,14136.00000,-433.00000,10569.00000,55173.00000
2013-12-31,2795.00000,9290.00000,12085.00000,1464.00000,22365.00000,6029.00000,10906.00000,42251.00000,54336.00000,30393.00000,5014.00000,8252.00000,13362.00000,43755.00000,92.00000,13676.00000,-520.00000,10581.00000,54336.00000
2013-09-30,3055.00000,9240.00000,12295.00000,1451.00000,22053.00000,6035.00000,10581.00000,41748.00000,54043.00000,30884.00000,5034.00000,8156.00000,13285.00000,44169.00000,92.00000,13327.00000,-959.00000,9874.00000,54043.00000
2013-06-30,3209.00000,9384.00000,12593.00000,1191.00000,21864.00000,5986.00000,10598.00000,41236.00000,53829.00000,30958.00000,5030.00000,7965.00000,13096.00000,44054.00000,92.00000,12806.00000,-1014.00000,9775.00000,53829.00000
2013-03-31,3306.00000,9457.00000,12763.00000,1109.00000,22776.00000,5990.00000,10796.00000,42176.00000,54939.00000,32221.00000,4995.00000,7950.00000,13058.00000,45279.00000,92.00000,12328.00000,-756.00000,9660.00000,54939.00000
2012-12-31,2978.00000,8033.00000,11011.00000,1120.00000,23918.00000,6001.00000,10112.00000,42723.00000,53734.00000,31108.00000,4986.00000,7757.00000,12857.00000,43965.00000,92.00000,12330.00000,-671.00000,9769.00000,53734.00000
2012-09-30,2236.00000,8105.00000,10341.00000,1136.00000,24156.00000,5878.00000,10591.00000,43190.00000,53531.00000,30653.00000,4986.00000,8362.00000,13348.00000,44001.00000,92.00000,11962.00000,-553.00000,9530.00000,53531.00000
