,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3581.00000,1215.00000,2345.00000,365.00000,7506.00000,2753.00000,4126.00000,147.00000,7419.00000,14925.00000,3167.00000,6552.00000,475.00000,7355.00000,10522.00000,5.00000,8668.00000,-817.00000,,4403.00000,14925.00000
2022-09-30,2507.00000,1189.00000,2303.00000,552.00000,6551.00000,2623.00000,4011.00000,161.00000,7123.00000,13674.00000,2880.00000,5210.00000,480.00000,6132.00000,9012.00000,5.00000,8533.00000,-809.00000,,4662.00000,13674.00000
2022-06-30,2652.00000,1291.00000,2205.00000,503.00000,6651.00000,2559.00000,4110.00000,147.00000,7119.00000,13770.00000,3051.00000,5221.00000,483.00000,6139.00000,9190.00000,5.00000,8004.00000,-722.00000,,4580.00000,13770.00000
2022-03-31,3135.00000,1222.00000,2057.00000,423.00000,6837.00000,2487.00000,4115.00000,129.00000,7023.00000,13860.00000,3034.00000,5228.00000,495.00000,6168.00000,9202.00000,5.00000,7628.00000,-704.00000,,4658.00000,13860.00000
2021-12-31,3485.00000,1133.00000,1923.00000,389.00000,6930.00000,2422.00000,4156.00000,111.00000,6970.00000,13900.00000,1797.00000,6592.00000,496.00000,7559.00000,9356.00000,5.00000,7186.00000,-764.00000,,4544.00000,13900.00000
2021-09-30,3274.00000,1152.00000,1875.00000,381.00000,6682.00000,2338.00000,4275.00000,112.00000,7023.00000,13705.00000,1471.00000,6592.00000,510.00000,7553.00000,9024.00000,5.00000,7044.00000,-667.00000,,4681.00000,13705.00000
2021-06-30,3658.00000,1170.00000,1802.00000,418.00000,7048.00000,2286.00000,4358.00000,97.00000,7021.00000,14069.00000,2091.00000,6592.00000,506.00000,7626.00000,9717.00000,5.00000,6492.00000,-623.00000,,4352.00000,14069.00000
2021-03-31,3602.00000,1125.00000,1700.00000,367.00000,6794.00000,2227.00000,4378.00000,108.00000,7002.00000,13796.00000,2066.00000,6587.00000,499.00000,7638.00000,9704.00000,5.00000,6099.00000,-633.00000,,4092.00000,13796.00000
2020-12-31,3604.00000,1013.00000,1628.00000,366.00000,6611.00000,2202.00000,4404.00000,106.00000,6998.00000,13609.00000,2170.00000,6595.00000,530.00000,7666.00000,9836.00000,5.00000,5659.00000,-730.00000,,3773.00000,13609.00000
2020-09-30,3654.00000,1012.00000,1626.00000,465.00000,6757.00000,2099.00000,4484.00000,94.00000,6968.00000,13725.00000,2400.00000,6595.00000,546.00000,7718.00000,10118.00000,5.00000,5526.00000,-735.00000,,3607.00000,13725.00000
2020-06-30,3353.00000,984.00000,1584.00000,364.00000,6285.00000,2011.00000,4412.00000,92.00000,6784.00000,13069.00000,1811.00000,7194.00000,527.00000,8271.00000,10082.00000,5.00000,5048.00000,-856.00000,,2987.00000,13069.00000
2020-03-31,1951.00000,965.00000,1481.00000,375.00000,4772.00000,1977.00000,4404.00000,105.00000,6756.00000,11528.00000,1721.00000,5963.00000,511.00000,7054.00000,8775.00000,5.00000,4764.00000,-781.00000,,2753.00000,11528.00000
2019-12-31,1934.00000,1086.00000,1410.00000,318.00000,4748.00000,1940.00000,4482.00000,98.00000,6797.00000,11545.00000,1806.00000,5947.00000,486.00000,7031.00000,8837.00000,5.00000,4427.00000,-726.00000,,2708.00000,11545.00000
2019-09-30,1827.00000,1030.00000,1439.00000,322.00000,4618.00000,1813.00000,4485.00000,91.00000,6654.00000,11272.00000,1052.00000,6447.00000,453.00000,7542.00000,8594.00000,5.00000,4217.00000,-699.00000,,2678.00000,11272.00000
2019-06-30,1780.00000,994.00000,1404.00000,306.00000,4484.00000,1739.00000,4421.00000,87.00000,6502.00000,10986.00000,1075.00000,6446.00000,439.00000,7500.00000,8575.00000,5.00000,3788.00000,-669.00000,,2411.00000,10986.00000
2019-03-31,1793.00000,970.00000,1361.00000,255.00000,4379.00000,1683.00000,4511.00000,87.00000,6504.00000,10883.00000,1082.00000,6444.00000,442.00000,7484.00000,8566.00000,5.00000,3495.00000,-598.00000,,2317.00000,10883.00000
2018-12-31,1701.00000,1036.00000,1391.00000,271.00000,4399.00000,1658.00000,4565.00000,94.00000,6378.00000,10777.00000,1223.00000,6443.00000,452.00000,7369.00000,8592.00000,5.00000,3270.00000,-629.00000,,2185.00000,10777.00000
2018-09-30,1391.00000,929.00000,1441.00000,315.00000,4076.00000,1556.00000,4657.00000,97.00000,6383.00000,10459.00000,1003.00000,6441.00000,451.00000,7338.00000,8341.00000,5.00000,3067.00000,-619.00000,,2118.00000,10459.00000
2018-06-30,1558.00000,973.00000,1420.00000,288.00000,4239.00000,1470.00000,2739.00000,75.00000,4364.00000,8603.00000,967.00000,4955.00000,470.00000,5654.00000,6621.00000,5.00000,2722.00000,-543.00000,,1982.00000,8603.00000
2018-03-31,1654.00000,943.00000,1441.00000,229.00000,4267.00000,1453.00000,2812.00000,78.00000,4423.00000,8690.00000,1000.00000,4954.00000,515.00000,5715.00000,6715.00000,5.00000,2399.00000,-429.00000,,1975.00000,8690.00000
2017-12-31,1564.00000,998.00000,1427.00000,228.00000,4217.00000,1435.00000,2779.00000,75.00000,4369.00000,8586.00000,1094.00000,4953.00000,373.00000,5706.00000,6800.00000,5.00000,2109.00000,-505.00000,,1786.00000,8586.00000
2017-09-30,1981.00000,1009.00000,1490.00000,357.00000,4894.00000,1388.00000,2848.00000,64.00000,4394.00000,9288.00000,1746.00000,4952.00000,302.00000,5523.00000,7269.00000,5.00000,2140.00000,-455.00000,,2019.00000,9288.00000
2017-06-30,705.00000,975.00000,1498.00000,353.00000,3584.00000,1355.00000,2705.00000,65.00000,4218.00000,7802.00000,1784.00000,3719.00000,292.00000,4272.00000,6056.00000,5.00000,1843.00000,-542.00000,,1746.00000,7802.00000
2017-03-31,629.00000,954.00000,1535.00000,265.00000,3383.00000,1368.00000,2729.00000,72.00000,4266.00000,7649.00000,1730.00000,3718.00000,294.00000,4284.00000,6014.00000,5.00000,1651.00000,-552.00000,,1635.00000,7649.00000
2016-12-31,727.00000,913.00000,1502.00000,248.00000,3390.00000,1381.00000,2709.00000,73.00000,4259.00000,7649.00000,1117.00000,4468.00000,321.00000,5033.00000,6150.00000,5.00000,1477.00000,-598.00000,,1499.00000,7649.00000
2016-09-30,651.00000,915.00000,1563.00000,235.00000,3364.00000,1382.00000,2779.00000,71.00000,4351.00000,7715.00000,1039.00000,4467.00000,345.00000,5078.00000,6117.00000,5.00000,1423.00000,-506.00000,,1598.00000,7715.00000
2016-06-30,658.00000,888.00000,1525.00000,257.00000,3328.00000,1341.00000,2692.00000,66.00000,4190.00000,7518.00000,1039.00000,4465.00000,351.00000,5108.00000,6147.00000,5.00000,1190.00000,-554.00000,,1371.00000,7518.00000
2016-03-31,675.00000,908.00000,1461.00000,236.00000,3307.00000,1317.00000,2669.00000,48.00000,4146.00000,7453.00000,1163.00000,4464.00000,369.00000,5103.00000,6266.00000,5.00000,1016.00000,-618.00000,,1187.00000,7453.00000
2015-12-31,1154.00000,937.00000,1467.00000,201.00000,3830.00000,1307.00000,2645.00000,49.00000,4083.00000,7913.00000,1781.00000,4463.00000,314.00000,5041.00000,6822.00000,5.00000,876.00000,-622.00000,,1091.00000,7913.00000
2015-09-30,592.00000,1038.00000,1403.00000,264.00000,3450.00000,1293.00000,1842.00000,43.00000,3236.00000,6686.00000,1658.00000,3226.00000,321.00000,3774.00000,5432.00000,5.00000,943.00000,-562.00000,,1254.00000,6686.00000
2015-06-30,544.00000,993.00000,1417.00000,235.00000,3316.00000,1295.00000,1864.00000,58.00000,3282.00000,6598.00000,1572.00000,3243.00000,347.00000,3824.00000,5396.00000,5.00000,795.00000,-504.00000,,1202.00000,6598.00000
2015-03-31,559.00000,905.00000,1346.00000,213.00000,3110.00000,1301.00000,1904.00000,58.00000,3320.00000,6430.00000,1370.00000,3243.00000,256.00000,3755.00000,5125.00000,5.00000,832.00000,-479.00000,,1305.00000,6430.00000
2014-12-31,882.00000,980.00000,1289.00000,205.00000,3465.00000,1318.00000,1703.00000,48.00000,3123.00000,6588.00000,1086.00000,3624.00000,264.00000,4165.00000,5251.00000,5.00000,709.00000,-361.00000,,1337.00000,6588.00000
2014-09-30,598.00000,1057.00000,1388.00000,204.00000,3353.00000,1313.00000,1739.00000,67.00000,3174.00000,6527.00000,998.00000,3642.00000,233.00000,4140.00000,5138.00000,5.00000,661.00000,-240.00000,,1389.00000,6527.00000
2014-06-30,578.00000,1098.00000,1336.00000,207.00000,3327.00000,1309.00000,1758.00000,71.00000,3195.00000,6522.00000,1061.00000,3642.00000,222.00000,4178.00000,5239.00000,5.00000,531.00000,-199.00000,,1283.00000,6522.00000
2014-03-31,506.00000,1100.00000,1316.00000,205.00000,3222.00000,1292.00000,1769.00000,63.00000,3181.00000,6403.00000,1127.00000,3642.00000,216.00000,4177.00000,5304.00000,5.00000,395.00000,-229.00000,,1099.00000,6403.00000
2013-12-31,610.00000,1138.00000,1293.00000,219.00000,3357.00000,1295.00000,1785.00000,58.00000,3201.00000,6558.00000,1415.00000,3642.00000,217.00000,4181.00000,5596.00000,5.00000,276.00000,-219.00000,,962.00000,6558.00000
