,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,33914.00000,200872.00000,5215.00000,4578.00000,17689.00000,27482.00000,228354.00000,123720.00000,42573.00000,37350.00000,79923.00000,203643.00000,149.00000,16279.00000,-3210.00000,24711.00000,228354.00000
2022-09-30,31182.00000,186814.00000,5095.00000,4539.00000,18467.00000,28101.00000,214915.00000,115999.00000,42393.00000,32583.00000,74976.00000,190975.00000,150.00000,15685.00000,-3377.00000,23940.00000,214915.00000
2022-06-30,26277.00000,178600.00000,5093.00000,4065.00000,17540.00000,26698.00000,205298.00000,109766.00000,40495.00000,31802.00000,72297.00000,182063.00000,151.00000,14751.00000,-3143.00000,23235.00000,205298.00000
2022-03-31,27678.00000,169881.00000,5046.00000,4058.00000,16877.00000,25981.00000,195862.00000,104235.00000,38337.00000,30907.00000,69244.00000,173479.00000,151.00000,13754.00000,-2973.00000,22383.00000,195862.00000
2021-12-31,22028.00000,163725.00000,4988.00000,2591.00000,17244.00000,24823.00000,188548.00000,97199.00000,38675.00000,30497.00000,69172.00000,166371.00000,153.00000,13474.00000,-2945.00000,22177.00000,188548.00000
2021-09-30,27916.00000,152530.00000,4960.00000,9589.00000,17182.00000,31731.00000,184261.00000,96220.00000,34483.00000,29132.00000,63615.00000,159835.00000,156.00000,14832.00000,-2963.00000,24426.00000,184261.00000
2021-06-30,30796.00000,152237.00000,4891.00000,12443.00000,17402.00000,34736.00000,186973.00000,96477.00000,37363.00000,27594.00000,64957.00000,161434.00000,160.00000,16402.00000,-2881.00000,25539.00000,186973.00000
2021-03-31,40280.00000,149846.00000,4943.00000,21270.00000,17008.00000,43221.00000,193067.00000,99356.00000,42019.00000,27243.00000,69262.00000,168618.00000,161.00000,15308.00000,-2898.00000,24449.00000,193067.00000
2020-12-31,32965.00000,147042.00000,5015.00000,21631.00000,17679.00000,44325.00000,191367.00000,98197.00000,42952.00000,27234.00000,70186.00000,168383.00000,161.00000,13837.00000,-2895.00000,22984.00000,191367.00000
2020-09-30,33030.00000,140481.00000,4835.00000,22443.00000,19500.00000,46778.00000,187259.00000,95409.00000,44777.00000,25204.00000,69981.00000,165390.00000,161.00000,12762.00000,-2872.00000,21869.00000,187259.00000
2020-06-30,41497.00000,147091.00000,4829.00000,19942.00000,16746.00000,41517.00000,188608.00000,94103.00000,48797.00000,24646.00000,73443.00000,167546.00000,161.00000,12052.00000,-2911.00000,21062.00000,188608.00000
2020-03-31,36095.00000,157782.00000,4798.00000,5032.00000,18448.00000,28278.00000,186060.00000,89436.00000,52588.00000,23030.00000,75618.00000,165054.00000,161.00000,12161.00000,-2996.00000,21006.00000,186060.00000
2019-12-31,24446.00000,170864.00000,4834.00000,8406.00000,14217.00000,27457.00000,198321.00000,92467.00000,57835.00000,24948.00000,82783.00000,175250.00000,163.00000,13871.00000,-2737.00000,23071.00000,198321.00000
2019-09-30,24266.00000,168885.00000,4715.00000,8445.00000,12139.00000,25299.00000,194184.00000,90846.00000,58474.00000,21839.00000,80313.00000,171159.00000,165.00000,13652.00000,-2661.00000,23025.00000,194184.00000
2019-06-30,26869.00000,173255.00000,4658.00000,8542.00000,11148.00000,24348.00000,197603.00000,93949.00000,57736.00000,22826.00000,80562.00000,174511.00000,167.00000,13551.00000,-2606.00000,23092.00000,197603.00000
2019-03-31,33177.00000,175371.00000,4479.00000,6457.00000,10886.00000,21822.00000,197193.00000,93270.00000,58418.00000,23287.00000,81705.00000,174975.00000,168.00000,12686.00000,-2599.00000,22218.00000,197193.00000
2018-12-31,27445.00000,166161.00000,4416.00000,4647.00000,13378.00000,22441.00000,188602.00000,85315.00000,58423.00000,22574.00000,80997.00000,166312.00000,170.00000,12499.00000,-2597.00000,22290.00000,188602.00000
2018-09-30,30231.00000,167460.00000,4295.00000,6071.00000,11266.00000,21632.00000,189092.00000,89268.00000,55300.00000,23064.00000,78364.00000,167632.00000,171.00000,11521.00000,-2504.00000,21460.00000,189092.00000
2018-06-30,29743.00000,164095.00000,4251.00000,4753.00000,11762.00000,20766.00000,184861.00000,85385.00000,55883.00000,22701.00000,78584.00000,163969.00000,173.00000,10896.00000,-2483.00000,20892.00000,184861.00000
