,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,313348.00000,1263338.00000,8350.00000,475067.00000,35653.00000,98608.00000,617678.00000,1881016.00000,1504186.00000,174870.00000,20085.00000,194955.00000,1699141.00000,9136.00000,187649.00000,-13381.00000,181875.00000,1881016.00000
2022-09-30,307061.00000,1249830.00000,8493.00000,475829.00000,36199.00000,107394.00000,627915.00000,1877745.00000,1519524.00000,156412.00000,23400.00000,179812.00000,1699336.00000,9136.00000,186551.00000,-14344.00000,178409.00000,1877745.00000
2022-06-30,299843.00000,1241465.00000,8444.00000,489389.00000,35564.00000,106280.00000,639677.00000,1881142.00000,1533890.00000,150291.00000,17168.00000,167459.00000,1701349.00000,9136.00000,184475.00000,-10608.00000,179793.00000,1881142.00000
2022-03-31,356331.00000,1276458.00000,8473.00000,519999.00000,34934.00000,99845.00000,663251.00000,1939709.00000,1589184.00000,153337.00000,15499.00000,168836.00000,1758020.00000,9136.00000,182623.00000,-6767.00000,181689.00000,1939709.00000
2021-12-31,388718.00000,1295239.00000,8571.00000,522152.00000,33369.00000,88737.00000,652829.00000,1948068.00000,1587845.00000,160689.00000,9424.00000,170113.00000,1757958.00000,9136.00000,180322.00000,-1702.00000,190110.00000,1948068.00000
2021-09-30,429437.00000,1303558.00000,8599.00000,514576.00000,34339.00000,93829.00000,651343.00000,1954901.00000,1587872.00000,162982.00000,12976.00000,175958.00000,1763830.00000,9136.00000,175709.00000,-1177.00000,191071.00000,1954901.00000
2021-06-30,427049.00000,1289795.00000,8745.00000,515385.00000,34203.00000,97868.00000,656201.00000,1945996.00000,1558662.00000,179656.00000,14551.00000,194207.00000,1752869.00000,9136.00000,171765.00000,-564.00000,193127.00000,1945996.00000
2021-03-31,439019.00000,1319097.00000,8760.00000,493023.00000,35122.00000,103541.00000,640446.00000,1959543.00000,1572953.00000,183312.00000,14930.00000,198242.00000,1771195.00000,9136.00000,166772.00000,-1250.00000,188348.00000,1959543.00000
2020-12-31,405379.00000,1310884.00000,8895.00000,486120.00000,33829.00000,113183.00000,642027.00000,1952911.00000,1537740.00000,212950.00000,16509.00000,229459.00000,1767199.00000,9136.00000,162683.00000,194.00000,185712.00000,1952911.00000
2020-09-30,389327.00000,1314950.00000,8977.00000,454337.00000,34067.00000,109889.00000,607270.00000,1922220.00000,1510710.00000,215711.00000,13767.00000,229478.00000,1740188.00000,9136.00000,160913.00000,-750.00000,182032.00000,1922220.00000
