,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2366.30000,741.40000,3107.70000,752.80000,3764.50000,3484.40000,601.00000,8602.69900,11993.20000,1122.20000,855.70000,1756.50000,2878.70000,44.80000,8419.90000,-56.50000,207.00000,9114.50000,11993.20000
2022-06-30,2116.00000,773.20000,2889.20000,747.30000,3870.90000,3511.50000,591.70000,8721.39900,11768.70000,890.00000,936.40000,1705.70000,2595.70000,45.10000,8311.90000,-47.40000,208.80000,9173.00000,11768.70000
2022-03-31,1997.50000,919.50000,2917.00000,736.30000,4537.50000,3530.20000,462.50000,9266.50000,12348.00000,925.50000,1093.70000,2095.90000,3021.40000,45.50000,8372.20000,-31.50000,272.20000,9326.60000,12348.00000
2021-12-31,1523.10000,1058.30000,2581.40000,736.20000,4938.30000,3606.60000,445.30000,9726.39900,12509.00000,765.70000,1240.40000,2471.90000,3237.60000,45.80000,8083.60000,-26.50000,248.70000,9271.40000,12509.00000
2021-09-30,3418.50000,941.60000,4360.10000,719.10000,5357.00000,665.70000,242.60000,6984.40000,11450.70000,1068.00000,891.90000,2120.60000,3188.60000,45.20000,7591.70000,-29.40000,,8262.10000,11450.70000
2021-06-30,3514.90000,918.20000,4433.10000,716.70000,5141.80000,665.70000,220.20000,6744.40000,11279.20000,1528.40000,838.90000,1857.80000,3386.20000,45.40000,7202.60000,-28.70000,,7893.00000,11279.20000
2021-03-31,2830.10000,885.90000,3716.00000,703.90000,5350.40000,665.70000,218.20000,6938.20000,10764.40000,773.70000,823.60000,1982.50000,2756.20000,45.40000,7338.70000,-30.50000,,8008.20000,10764.40000
2020-12-31,2151.70000,863.10000,3014.80000,695.40000,5946.30000,665.70000,219.20000,7526.60000,10659.00000,406.30000,829.90000,2545.70000,2952.00000,45.60000,7029.80000,-23.00000,,7707.00000,10659.00000
2020-09-30,2228.20000,714.80000,2943.00000,681.90000,5473.10000,665.70000,231.70000,7052.40000,10134.60000,836.90000,653.70000,2169.20000,3006.10000,45.30000,6471.30000,-42.70000,,7128.50000,10134.60000
2020-06-30,2058.10000,655.70000,2713.80000,685.40000,5061.50000,665.70000,219.40000,6632.00000,9477.30000,838.30000,631.80000,1888.30000,2726.60000,45.40000,6102.90000,-52.20000,,6750.70000,9477.30000
