,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,5532.00000,163539.00000,483.00000,36311.00000,219.00000,4557.00000,41570.00000,205109.00000,177482.00000,7179.00000,3329.00000,10508.00000,187990.00000,2.00000,7591.00000,-337.00000,,17119.00000,205109.00000
2022-06-30,6237.00000,157027.00000,474.00000,35815.00000,220.00000,4372.00000,40881.00000,197908.00000,171947.00000,5978.00000,3557.00000,9535.00000,181482.00000,2.00000,7236.00000,-227.00000,,16426.00000,197908.00000
2022-03-31,7756.00000,148368.00000,467.00000,34215.00000,221.00000,3850.00000,38753.00000,187121.00000,162060.00000,5478.00000,3429.00000,8907.00000,170967.00000,2.00000,6893.00000,-137.00000,,16154.00000,187121.00000
2021-12-31,12947.00000,147209.00000,454.00000,29571.00000,222.00000,3631.00000,33878.00000,181087.00000,156321.00000,5477.00000,3391.00000,8868.00000,165189.00000,2.00000,6569.00000,-31.00000,,15898.00000,181087.00000
2021-09-30,12279.45000,139990.10000,430.67500,27993.42000,223.18300,3933.08800,32580.37000,172570.50000,145326.30000,9476.37000,2965.99400,12442.36000,157768.70000,1.79300,6241.96300,-19.84600,,14801.79000,172570.50000
2021-06-30,7876.95200,130360.40000,418.72500,26722.58000,224.49700,3920.54100,31286.34000,161646.70000,134656.80000,10775.73000,2939.44400,13715.17000,148372.00000,1.76700,5936.66900,-10.37500,,13274.73000,161646.70000
2021-03-31,8889.49200,126352.10000,412.33100,25138.70000,225.92500,3668.92200,29445.88000,155798.00000,127907.00000,12280.09000,2669.18600,14949.28000,142856.20000,1.76300,5626.95800,-21.42300,,12941.73000,155798.00000
2020-12-31,5095.00000,117047.00000,403.00000,21723.00000,228.00000,3101.00000,25455.00000,142502.00000,114929.00000,13529.00000,2293.00000,15822.00000,130751.00000,2.00000,5346.00000,23.00000,,11751.00000,142502.00000
2020-09-30,3691.14900,107881.70000,390.24100,21704.46000,229.18500,3020.17800,25344.06000,133225.80000,104408.40000,15278.83000,2193.95600,17472.79000,121881.20000,1.72200,5102.22900,24.15900,,11344.61000,133225.80000
2020-06-30,3099.17000,102844.10000,388.25600,21680.45000,230.97500,3160.14000,25459.82000,128303.90000,98538.96000,17178.21000,2010.79300,19189.00000,117728.00000,1.72100,4858.96500,27.19100,,10575.93000,128303.90000
2020-03-31,3949.37800,99047.41000,392.95300,21360.81000,232.98500,2880.77600,24867.52000,123914.90000,93692.34000,18022.73000,1840.09300,19862.83000,113555.20000,1.71400,4652.08900,17.31200,,10359.76000,123914.90000
2019-12-31,1699.55700,92023.59000,386.84100,20984.54000,235.26900,2633.39700,24240.04000,116263.60000,90933.24000,13475.60000,2003.67700,15479.28000,106412.50000,1.68600,4484.37500,5.13100,,9851.10700,116263.60000
2019-09-30,2181.60000,88032.64000,373.69300,19887.68000,310.34000,2424.38300,22996.10000,111028.70000,86495.52000,12175.28000,2926.73500,15102.01000,101597.50000,1.68500,4281.24900,9.83000,,9431.20600,111028.70000
2019-06-30,2220.07300,83997.09000,348.60900,18646.23000,317.04400,2390.64900,21702.54000,105699.60000,83431.09000,11074.95000,1973.96300,13048.91000,96479.99000,1.68200,4091.63600,0.02100,,9219.64300,105699.60000
2019-03-31,3693.39600,80515.25000,339.74500,18532.24000,323.31900,2136.67500,21331.98000,101847.20000,81612.12000,9674.44200,1514.68500,11189.13000,92801.24000,1.67400,3914.29400,-13.45700,,9045.98400,101847.20000
2018-12-31,2811.15900,78336.38000,332.48300,18668.93000,273.97400,1593.44100,20868.83000,99205.20000,79163.23000,10373.91000,990.28400,11364.19000,90527.43000,1.64900,3731.20500,-19.38300,,8677.77700,99205.20000
2018-09-30,3013.64500,75200.50000,324.05200,18750.47000,335.31200,1483.89200,20893.72000,96094.22000,74859.25000,11273.38000,1294.90600,12568.28000,87427.53000,1.64800,3546.29800,-21.40500,,8666.68700,96094.22000
2018-06-30,3993.22600,72789.49000,312.27800,18872.20000,343.64600,1533.84000,21061.96000,93851.46000,73371.95000,11322.85000,880.68700,12203.54000,85575.48000,1.62600,3379.72500,-17.70100,,8275.97300,93851.46000
2018-03-31,3839.93100,69339.48000,299.58700,18969.79000,348.84200,1265.80600,20884.03000,90223.51000,71255.07000,10172.33000,959.57100,11131.90000,82386.97000,1.61900,3211.80400,-14.30400,,7836.53800,90223.51000
2017-12-31,2297.02100,64859.00000,296.19700,21014.23000,356.36000,1254.72000,22921.51000,87780.51000,69018.71000,9971.80700,971.69100,10943.50000,79962.20000,1.61700,3051.61100,-3.84000,,7818.30100,87780.51000
2017-09-30,2681.59900,62522.83000,277.80900,19978.26000,358.15800,1183.04400,21797.27000,84320.09000,65886.33000,9971.29300,1034.53400,11005.83000,76892.15000,1.57900,2899.41700,0.55000,,7427.94600,84320.09000
2017-06-30,2295.12500,59919.24000,260.30800,19283.94000,366.09900,1148.64200,21058.99000,80978.23000,63443.71000,9243.27800,1031.16300,10274.44000,73718.15000,1.57700,2741.04100,2.18200,,7260.08300,80978.23000
2017-03-31,2756.48500,56551.93000,236.77400,18388.69000,371.99700,954.95500,19952.42000,76504.35000,61307.25000,7100.28700,1008.07200,8108.35800,69415.61000,1.57100,2595.97800,3.74900,,7088.74500,76504.35000
2016-12-31,2107.72200,54216.87000,207.59200,17552.00000,377.98600,923.32400,19060.91000,73277.77000,58702.38000,6711.30800,955.43100,7666.73900,66369.12000,1.54300,2459.54000,6.33900,,6908.65200,73277.77000
