,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-06-30,6281.00000,18177.00000,5373.00000,64013.00000,251353.00000,35110.00000,8110.00000,294573.00000,358586.00000,69529.00000,11817.00000,27948.00000,100926.00000,170455.00000,10487.00000,399614.00000,-9311.00000,188131.00000,358586.00000
2014-03-31,5805.00000,18568.00000,5011.00000,61864.00000,245897.00000,37169.00000,8103.00000,291169.00000,353033.00000,70108.00000,12144.00000,26892.00000,100034.00000,170142.00000,10276.00000,393800.00000,-11040.00000,182891.00000,353033.00000
2013-12-31,4913.00000,16135.00000,5108.00000,59308.00000,243650.00000,36328.00000,7522.00000,287500.00000,346808.00000,71724.00000,6891.00000,26522.00000,94589.00000,166313.00000,10077.00000,387432.00000,-10725.00000,180495.00000,346808.00000
2013-09-30,5749.00000,16867.00000,5457.00000,61303.00000,240981.00000,37048.00000,8232.00000,286261.00000,347564.00000,72749.00000,7404.00000,27108.00000,99337.00000,172086.00000,10062.00000,381832.00000,-13051.00000,175478.00000,347564.00000
2013-06-30,5012.00000,17197.00000,5295.00000,62844.00000,235240.00000,35643.00000,7888.00000,278771.00000,341615.00000,72688.00000,7496.00000,25615.00000,97339.00000,170027.00000,9882.00000,376732.00000,-14381.00000,171588.00000,341615.00000
2013-03-31,6590.00000,16231.00000,5482.00000,62594.00000,233728.00000,35641.00000,7676.00000,277045.00000,339639.00000,70084.00000,7475.00000,25005.00000,96478.00000,166562.00000,9665.00000,372666.00000,-12767.00000,173077.00000,339639.00000
2012-12-31,9923.00000,14542.00000,5008.00000,64460.00000,226949.00000,34718.00000,7668.00000,269335.00000,333795.00000,64139.00000,7928.00000,27231.00000,97996.00000,162135.00000,9653.00000,365727.00000,-12184.00000,171660.00000,333795.00000
2012-09-30,13261.00000,16575.00000,5667.00000,72138.00000,220330.00000,35105.00000,7618.00000,263053.00000,335191.00000,70061.00000,8928.00000,24553.00000,92775.00000,162836.00000,9645.00000,358369.00000,-9113.00000,172355.00000,335191.00000
2012-06-30,18017.00000,15158.00000,5881.00000,72797.00000,214940.00000,33921.00000,7987.00000,256848.00000,329645.00000,70136.00000,8877.00000,23679.00000,91524.00000,161660.00000,9221.00000,351421.00000,-10659.00000,167985.00000,329645.00000
2012-03-31,19147.00000,14749.00000,6420.00000,76160.00000,214602.00000,34527.00000,19863.00000,268992.00000,345152.00000,79994.00000,9231.00000,31965.00000,101041.00000,181035.00000,9007.00000,338168.00000,-7998.00000,164117.00000,345152.00000
2011-12-31,13068.00000,15024.00000,6229.00000,72963.00000,214664.00000,34333.00000,9092.00000,258089.00000,331052.00000,77505.00000,9322.00000,21869.00000,92803.00000,170308.00000,9512.00000,330939.00000,-9123.00000,160744.00000,331052.00000
2011-09-30,11255.00000,16730.00000,7023.00000,69376.00000,209194.00000,35342.00000,9315.00000,253851.00000,323227.00000,74971.00000,9331.00000,20265.00000,86044.00000,161015.00000,9506.00000,323786.00000,-5328.00000,162212.00000,323227.00000
2011-06-30,10287.00000,19048.00000,7639.00000,72305.00000,209807.00000,35241.00000,8851.00000,253899.00000,326204.00000,74533.00000,12123.00000,20263.00000,89836.00000,164369.00000,9352.00000,315733.00000,-2799.00000,161835.00000,326204.00000
2011-03-31,13234.00000,16262.00000,7380.00000,72022.00000,203726.00000,35207.00000,8578.00000,247511.00000,319533.00000,73576.00000,12316.00000,19913.00000,88426.00000,162002.00000,9156.00000,307361.00000,-3656.00000,157531.00000,319533.00000
2010-12-31,8453.00000,12976.00000,5271.00000,58984.00000,199548.00000,35338.00000,8640.00000,243526.00000,302510.00000,62633.00000,12227.00000,20454.00000,87198.00000,149831.00000,9371.00000,298899.00000,-4823.00000,152679.00000,302510.00000
2010-09-30,12259.00000,14302.00000,5828.00000,62633.00000,195440.00000,33173.00000,8748.00000,237361.00000,299994.00000,61740.00000,15248.00000,19090.00000,87654.00000,149394.00000,9341.00000,291861.00000,-4339.00000,150600.00000,299994.00000
2010-06-30,13267.00000,13439.00000,6304.00000,62216.00000,188069.00000,32642.00000,8141.00000,228852.00000,291068.00000,57821.00000,17486.00000,18968.00000,87880.00000,145701.00000,9002.00000,286745.00000,-6755.00000,145367.00000,291068.00000
2010-03-31,13827.00000,13488.00000,5329.00000,61696.00000,140819.00000,32541.00000,7692.00000,181052.00000,242748.00000,57744.00000,7054.00000,19035.00000,67338.00000,125082.00000,5300.00000,281251.00000,-5537.00000,117666.00000,242748.00000
2009-12-31,10862.00000,11553.00000,5175.00000,55235.00000,139116.00000,31665.00000,7307.00000,178088.00000,233323.00000,52061.00000,7129.00000,17651.00000,65870.00000,117931.00000,5503.00000,276937.00000,-5461.00000,115392.00000,233323.00000
2009-09-30,12623.00000,12585.00000,5179.00000,57324.00000,132874.00000,32064.00000,7045.00000,171983.00000,229307.00000,52933.00000,7185.00000,15214.00000,64269.00000,117202.00000,5445.00000,272879.00000,-6380.00000,112105.00000,229307.00000
2009-06-30,15729.00000,12441.00000,4464.00000,59496.00000,127861.00000,30358.00000,6946.00000,165165.00000,224661.00000,51614.00000,7117.00000,14610.00000,61894.00000,113508.00000,5260.00000,270160.00000,-8249.00000,111153.00000,224661.00000
2009-03-31,25140.00000,12717.00000,4019.00000,64818.00000,122224.00000,29105.00000,6344.00000,157673.00000,222491.00000,49505.00000,7041.00000,14053.00000,61608.00000,111113.00000,5066.00000,268249.00000,-10900.00000,111378.00000,222491.00000
