,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,16739.96000,732.13200,131.14600,895.67900,,18498.91000,866.68300,628.92200,581.22000,3508.12700,5779.94500,24278.86000,8016.95200,499.03700,158.18200,867.83000,8884.78200,,,,,15394.08000,24278.86000
2022-06-30,17114.49000,778.30300,125.97100,1092.49500,,19111.26000,899.11500,667.92700,620.57500,3622.35600,5997.28600,25108.55000,8576.26500,500.99300,152.86100,891.35800,9467.62300,,,,,15640.93000,25108.55000
2022-03-31,16695.38000,832.48400,135.86900,1119.67100,,18783.40000,921.57900,705.73100,654.63700,3877.60600,6337.37300,25120.77000,8165.63100,500.70200,164.82600,923.78400,9089.41500,,,,,16031.36000,25120.77000
2021-12-31,15756.71000,864.32400,151.38800,978.54100,0.07800,17751.04000,852.69100,3864.78700,644.64900,629.39400,6359.04800,24110.08000,7924.76000,200.09700,57.36800,606.33900,8531.09900,0.43800,12160.57000,-129.94100,195.38700,15578.99000,24110.08000
2021-09-30,14711.86000,841.53200,161.18900,1193.19400,,16907.78000,769.28800,1079.08900,638.29100,3370.66100,6028.60900,22936.38000,7605.96700,,115.97300,2122.39700,9728.36400,,,,,13208.02000,22936.38000
2021-06-30,16123.89000,689.60500,136.96200,1009.33700,,17959.79000,727.06300,1099.65000,640.36900,3386.30600,6024.50800,23984.30000,8416.46200,,113.63000,2027.69200,10444.15000,,,,,13540.14000,23984.30000
2021-03-31,15682.07000,771.80100,133.50600,1045.72100,,17633.10000,709.95900,1028.72500,634.39800,2806.08200,5338.27600,22971.38000,7730.36200,,112.63000,1935.03200,9665.39400,,,,,13305.98000,22971.38000
2020-12-31,14792.48000,701.37100,95.20400,936.77100,,16525.83000,698.14700,2810.92100,640.34600,782.94000,5217.40100,21743.23000,7163.75300,,22.81200,1859.50700,9023.26000,0.42800,9833.36200,-99.68700,188.26800,12719.97000,21743.23000
2020-09-30,14917.81000,728.90900,77.23000,1031.84300,,16755.79000,653.83400,625.95700,618.60800,2530.97000,4560.87300,21316.67000,6911.88100,,75.81600,1724.54200,8636.42300,,,,,12680.24000,21316.67000
2020-06-30,14086.40000,710.31000,79.09100,851.22900,,15727.03000,625.07900,965.78800,597.57700,2378.67600,4678.94400,20405.97000,6397.00500,,67.46400,1697.90000,8094.90500,,,,,12311.07000,20405.97000
