,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,44.78800,44.78800,19168.48000,586.31800,19754.80000,20265.40000,225.49500,7498.19100,599.89700,8468.62600,9003.66800,3.76200,1737.10700,-0.87200,11261.74000,20265.40000
2022-06-30,45.01000,45.01000,19560.65000,499.84800,20060.50000,20574.35000,188.43900,7968.04200,604.48100,8970.71200,9469.66400,3.76100,1649.96000,-30.65000,11104.68000,20574.35000
2022-03-31,41.14000,41.14000,19858.82000,458.60500,20317.43000,20830.24000,214.55700,8160.15100,613.74300,9269.65400,9795.50400,3.76000,1661.70500,-31.84700,11034.73000,20830.24000
2021-12-31,123.83200,123.83200,19918.62000,652.07200,20570.70000,21169.24000,176.52300,8341.45300,652.74500,9493.17500,9982.03000,3.75500,1827.06300,-34.27200,11187.21000,21169.24000
2021-09-30,39.70700,39.70700,19604.87000,540.74600,20145.62000,20663.02000,223.29900,8144.64800,648.12400,9252.70500,9789.36500,3.75000,1527.11500,-36.66600,10873.65000,20663.02000
2021-06-30,39.49200,39.49200,19241.09000,703.09200,19944.18000,20464.35000,180.10200,8250.69100,637.00300,9327.81700,9822.29900,3.74400,1321.87500,-39.02900,10642.05000,20464.35000
2021-03-31,35.45300,35.45300,19242.19000,406.37800,19648.56000,20169.02000,223.51700,8037.55600,629.34000,9076.41900,9616.77400,3.72900,1231.80800,-41.36300,10552.24000,20169.02000
2020-12-31,42.59100,42.59100,19343.67000,401.34500,19745.01000,20286.89000,173.26200,8044.25600,637.80600,9021.01300,9523.40000,3.72300,1399.71500,-43.66600,10763.49000,20286.89000
2020-09-30,178.33300,178.33300,19574.27000,369.19000,19943.46000,20623.98000,224.28000,8396.72900,625.21200,9315.64700,9869.61000,3.72200,1371.93800,-61.47800,10754.37000,20623.98000
2020-06-30,187.41600,187.41600,19626.68000,395.77500,20022.46000,20714.95000,177.36500,8421.85900,611.42100,9369.97600,9877.47500,3.72200,1505.69400,-67.35500,10837.48000,20714.95000
2020-03-31,82.33500,82.33500,19988.67000,340.34700,20329.02000,20919.32000,231.62100,8632.70400,600.25200,9586.29800,10148.63000,3.72100,1469.82100,-72.89600,10770.69000,20919.32000
2019-12-31,45.75300,45.75300,20256.82000,357.42100,20614.24000,21172.77000,161.20200,9036.95600,635.35100,10135.71000,10628.24000,3.71700,1386.49500,-77.56300,10544.53000,21172.77000
2019-09-30,28.77700,28.77700,20185.95000,358.28400,20544.23000,21054.06000,225.42700,8991.93600,601.38300,10088.32000,10647.06000,3.71300,1308.42300,-84.09200,10407.00000,21054.06000
2019-06-30,251.27300,251.27300,19969.15000,338.53200,20307.68000,20990.71000,172.73200,9130.42100,590.35200,10156.81000,10611.16000,3.70800,1252.80900,-89.84900,10379.55000,20990.71000
2019-03-31,29.39100,29.39100,19936.64000,368.09700,20304.74000,20768.81000,226.85900,8952.67000,607.97800,9993.21100,10502.31000,3.70500,1155.03200,-75.01300,10266.50000,20768.81000
2018-12-31,47.44200,47.44200,19814.74000,532.02600,20346.77000,20394.21000,165.09300,8817.93800,632.42200,9829.46700,9994.56000,3.69400,1261.76300,-64.98600,10399.65000,20394.21000
2018-09-30,32.99500,32.99500,19930.73000,578.42500,20509.16000,20542.15000,251.57800,8823.79300,618.44900,9823.48100,10075.06000,3.68400,1344.82500,-50.68900,10467.09000,20542.15000
2018-06-30,34.50700,34.50700,19826.55000,545.52100,20372.08000,20406.58000,209.75600,8772.76900,617.78800,9757.04000,9966.79000,3.68300,1329.60000,-67.31000,10439.79000,20406.58000
2018-03-31,44.45300,44.45300,19785.57000,553.84700,20339.42000,20383.87000,237.23400,8659.47800,607.49900,9621.54400,9858.77700,3.68200,1415.63800,-77.73400,10525.09000,20383.87000
2017-12-31,50.64700,50.64700,19986.52000,533.43400,20519.95000,20570.60000,172.80100,8957.29100,599.68900,9923.93600,10096.74000,3.68000,1403.53000,-88.61200,10473.86000,20570.60000
2017-09-30,46.56500,57.53700,20099.43000,540.86300,20640.30000,20697.83000,240.79500,8992.27100,590.44900,9963.26200,10204.06000,3.67500,1464.24900,-94.67400,10493.78000,20697.83000
2017-06-30,37.71900,58.73500,19818.31000,759.53300,20577.84000,20636.57000,186.74300,8964.09000,579.36700,9923.97600,10110.72000,3.67300,1511.89900,-101.15100,10525.86000,20636.57000
2017-03-31,42.13900,110.17000,19949.52000,548.65000,20498.17000,20608.34000,240.02300,8929.92500,563.23100,9852.89000,10092.91000,3.67100,1501.65400,-109.32600,10515.43000,20608.34000
2016-12-31,77.20700,77.20700,20026.04000,600.90500,20626.94000,20704.15000,208.42800,8987.25800,605.38600,10034.74000,10243.17000,3.65900,1543.62600,-113.90900,10460.98000,20704.15000
2016-09-30,517.58600,580.58000,20105.28000,611.88600,20717.16000,21297.74000,269.23600,8498.78700,1749.02800,10689.71000,10958.94000,3.65700,1451.45200,-118.73000,10338.80000,21297.74000
2016-06-30,497.84300,559.55400,20128.41000,541.95600,20670.37000,21229.92000,244.80400,8510.99400,589.19600,9578.51500,9823.32000,3.65600,2524.78800,-123.51100,11406.60000,21229.92000
