,cash-on-hand,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,11962.00000,88872.00000,5082.00000,2138.00000,4674.00000,11894.00000,100766.00000,73433.00000,14321.00000,14321.00000,87754.00000,1.00000,16252.00000,-187.00000,,13012.00000,100766.00000
2022-06-30,10682.00000,84548.00000,5012.00000,2223.00000,3417.00000,10652.00000,95200.00000,69650.00000,12157.00000,12157.00000,81807.00000,1.00000,15679.00000,-149.00000,,13393.00000,95200.00000
2022-03-31,10541.00000,84852.00000,4677.00000,2254.00000,3484.00000,10415.00000,95267.00000,68489.00000,13360.00000,13360.00000,81849.00000,1.00000,15003.00000,-121.00000,,13418.00000,95267.00000
2021-12-31,8337.00000,84750.00000,5283.00000,2273.00000,3442.00000,10998.00000,95748.00000,67586.00000,14507.00000,14507.00000,82093.00000,1.00000,14245.00000,-69.00000,,13655.00000,95748.00000
2021-09-30,9806.00000,81028.00000,5444.00000,2195.00000,3270.00000,10909.00000,91937.00000,65241.00000,12760.00000,12760.00000,78001.00000,1.00000,13562.00000,-64.00000,,13936.00000,91937.00000
2021-06-30,11117.00000,80468.00000,5728.00000,2203.00000,3618.00000,11549.00000,92017.00000,64363.00000,13457.00000,13457.00000,77820.00000,1.00000,12560.00000,-56.00000,,14197.00000,92017.00000
2021-03-31,16620.00000,83600.00000,6550.00000,2273.00000,3431.00000,12254.00000,95854.00000,67255.00000,15160.00000,15160.00000,82415.00000,1.00000,11470.00000,-56.00000,,13439.00000,95854.00000
2020-12-31,11524.00000,83131.00000,7469.00000,2203.00000,3145.00000,12817.00000,95948.00000,67472.00000,15775.00000,15775.00000,83247.00000,1.00000,10621.00000,-51.00000,,12701.00000,95948.00000
2020-09-30,13552.00000,81931.00000,8432.00000,2169.00000,3126.00000,13727.00000,95658.00000,67788.00000,15771.00000,15771.00000,83559.00000,1.00000,10024.00000,-31.00000,,12099.00000,95658.00000
2020-06-30,16344.00000,84859.00000,6623.00000,2244.00000,2818.00000,11685.00000,96544.00000,68576.00000,16069.00000,16069.00000,84645.00000,1.00000,9852.00000,-37.00000,,11899.00000,96544.00000
2020-03-31,13704.00000,87003.00000,6146.00000,2286.00000,2603.00000,11035.00000,98038.00000,68820.00000,17248.00000,17248.00000,86068.00000,1.00000,9960.00000,-49.00000,,11970.00000,98038.00000
2019-12-31,12147.00000,94485.00000,5911.00000,2343.00000,2087.00000,10341.00000,104826.00000,69872.00000,19866.00000,19866.00000,89738.00000,1.00000,12117.00000,-58.00000,,15088.00000,104826.00000
2019-09-30,11461.00000,97243.00000,4584.00000,2255.00000,1861.00000,8700.00000,105943.00000,70460.00000,20363.00000,20363.00000,90823.00000,1.00000,11533.00000,-44.00000,,15120.00000,105943.00000
2019-06-30,11755.00000,95838.00000,6147.00000,2293.00000,2110.00000,10550.00000,106388.00000,70410.00000,21244.00000,21244.00000,91654.00000,1.00000,10627.00000,-43.00000,,14734.00000,106388.00000
2019-03-31,12963.00000,95478.00000,5506.00000,2335.00000,2065.00000,9906.00000,105384.00000,68784.00000,21891.00000,21891.00000,90675.00000,1.00000,9939.00000,-56.00000,,14709.00000,105384.00000
2018-12-31,9396.00000,96108.00000,6062.00000,2161.00000,2461.00000,10684.00000,106792.00000,68118.00000,23996.00000,23996.00000,92114.00000,1.00000,8986.00000,-62.00000,,14678.00000,106792.00000
2018-09-30,12068.00000,93366.00000,7281.00000,2129.00000,1769.00000,11179.00000,104545.00000,66808.00000,23741.00000,23741.00000,90549.00000,1.00000,8355.00000,-99.00000,,13996.00000,104545.00000
2018-06-30,15675.00000,88695.00000,6779.00000,1887.00000,1761.00000,10427.00000,99122.00000,84664.00000,,,84664.00000,1.00000,7906.00000,-93.00000,,14458.00000,99122.00000
2018-03-31,13044.00000,85159.00000,6259.00000,1771.00000,2370.00000,10400.00000,95559.00000,60188.00000,21015.00000,21015.00000,81203.00000,1.00000,7334.00000,-86.00000,,14356.00000,95559.00000
2017-12-31,11602.00000,87975.00000,4473.00000,1740.00000,1620.00000,7833.00000,95808.00000,60775.00000,20799.00000,20799.00000,81574.00000,1.00000,6809.00000,-64.00000,,14234.00000,95808.00000
2017-09-30,13915.00000,85482.00000,3317.00000,1763.00000,1986.00000,7066.00000,92548.00000,58247.00000,19899.00000,19899.00000,78146.00000,1.00000,6543.00000,-40.00000,,14402.00000,92548.00000
2017-06-30,12020.00000,82477.00000,3997.00000,1778.00000,2888.00000,8663.00000,91140.00000,56099.00000,20709.00000,20709.00000,76808.00000,1.00000,6109.00000,-49.00000,,14332.00000,91140.00000
2017-03-31,11392.00000,80066.00000,5328.00000,1818.00000,1838.00000,8984.00000,89050.00000,54493.00000,20194.00000,20194.00000,74687.00000,1.00000,5724.00000,-55.00000,,14363.00000,89050.00000
2016-12-31,9321.00000,81314.00000,5110.00000,1661.00000,2122.00000,8893.00000,90207.00000,55864.00000,20147.00000,20147.00000,76011.00000,1.00000,5330.00000,-53.00000,,14196.00000,90207.00000
2016-09-30,13588.00000,80117.00000,3356.00000,1682.00000,2004.00000,7042.00000,87159.00000,53011.00000,20167.00000,20167.00000,73178.00000,1.00000,4861.00000,-24.00000,,13981.00000,87159.00000
2016-06-30,11787.00000,76175.00000,2723.00000,1653.00000,1833.00000,6209.00000,82384.00000,49374.00000,19295.00000,19295.00000,68669.00000,1.00000,4364.00000,-20.00000,,13715.00000,82384.00000
2016-03-31,12500.00000,74729.00000,2949.00000,1651.00000,2327.00000,6927.00000,81656.00000,47976.00000,20476.00000,20476.00000,68452.00000,1.00000,3875.00000,-31.00000,,13204.00000,81656.00000
2015-12-31,12325.00000,77118.00000,3142.00000,1650.00000,2080.00000,6872.00000,83990.00000,47107.00000,24279.00000,24279.00000,71386.00000,1.00000,3293.00000,-41.00000,,12604.00000,83990.00000
2015-09-30,12271.00000,72420.00000,3596.00000,1595.00000,1831.00000,7022.00000,79442.00000,43403.00000,23881.00000,23881.00000,67284.00000,1.00000,2746.00000,-20.00000,,12158.00000,79442.00000
2015-06-30,10621.00000,68750.00000,3682.00000,1524.00000,1794.00000,7000.00000,75750.00000,40480.00000,23692.00000,23692.00000,64172.00000,1.00000,2172.00000,-17.00000,,11578.00000,75750.00000
2015-03-31,11218.00000,66570.00000,3121.00000,1506.00000,1524.00000,6151.00000,72721.00000,37625.00000,24060.00000,24060.00000,61685.00000,1.00000,1631.00000,-14.00000,,11036.00000,72721.00000
2014-12-31,11828.00000,70210.00000,1598.00000,1468.00000,2431.00000,5497.00000,75707.00000,37769.00000,27460.00000,27460.00000,65229.00000,1.00000,1079.00000,-10.00000,,10478.00000,75707.00000
2014-09-30,14808.00000,69966.00000,325.00000,1398.00000,1780.00000,3503.00000,73469.00000,47032.00000,16496.00000,16496.00000,63528.00000,1.00000,548.00000,-9.00000,,9941.00000,73469.00000
2014-06-30,6782.00000,60107.00000,298.00000,1412.00000,1358.00000,3068.00000,63175.00000,33809.00000,22973.00000,22973.00000,56782.00000,1.00000,,-7.00000,,6393.00000,63175.00000
