,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,170.74500,537.07500,707.82000,21160.45000,1044.41500,1234.66500,23450.02000,24157.84000,1142.23100,12296.78000,271.14200,12603.49000,13936.16000,99.91200,-5449.38500,-36.80000,10221.68000,24157.84000
2022-09-30,195.63800,529.31700,724.95500,21277.93000,1043.28900,1240.62000,23575.46000,24300.41000,1156.63200,12210.98000,268.28600,12519.99000,13868.50000,99.91400,-5223.90200,-47.30900,10431.91000,24300.41000
2022-06-30,176.03100,529.63000,705.66100,21725.78000,1044.50900,1141.05000,23922.50000,24628.15000,1167.35400,12328.14000,288.41300,12663.17000,14024.76000,99.91300,-5044.56900,-56.35500,10603.39000,24628.15000
2022-03-31,199.44700,530.38800,729.83500,21982.22000,1045.66300,1181.23600,24220.27000,24950.11000,1173.16000,12413.74000,322.09600,12788.59000,14157.42000,99.88800,-4821.65300,-59.29600,10792.69000,24950.11000
2021-12-31,196.59700,530.12600,726.72300,21816.84000,1046.14000,1116.93300,23991.06000,24717.79000,1196.85600,12027.54000,291.13300,12377.94000,13772.03000,99.83800,-4679.88900,-64.52000,10945.76000,24717.79000
2021-09-30,196.52200,,726.96110,21791.99000,1046.07000,1467.90200,24317.46000,25044.42000,1232.83500,12078.83000,300.86200,12444.89000,13877.28000,99.77700,-4459.63000,-67.60100,11167.14000,25044.42000
2021-06-30,274.76800,,870.93900,20130.03000,1051.83200,1440.02700,22633.38000,23504.31000,1228.05400,11761.54000,257.23000,12086.87000,13520.41000,93.78400,-4340.05200,-58.29000,9983.90400,23504.31000
2021-03-31,210.21200,615.03700,825.24900,20321.76000,1051.78000,1341.86300,22727.01000,23552.26000,1200.66900,11759.30000,248.47200,12073.55000,13480.64000,93.75000,-4257.00100,-52.49700,10071.62000,23552.26000
2020-12-31,451.64000,605.56700,1057.20700,20550.04000,1051.65000,1260.52500,22872.20000,23929.40000,1244.51000,11895.41000,238.73600,12196.79000,13651.21000,93.63500,-4030.37600,-54.35400,10278.19000,23929.40000
2020-09-30,628.49000,,1232.94200,20978.41000,1050.74200,958.08300,22987.54000,24220.48000,1332.76100,12047.92000,251.13000,12352.76000,13932.77000,93.46700,-3972.64700,-65.04200,10287.71000,24220.48000
2020-06-30,1029.13600,,1710.96700,20892.74000,1050.11500,935.26000,22878.42000,24589.39000,1115.87300,12530.04000,237.69300,12824.69000,14189.48000,93.26100,-3816.46000,-82.76100,10399.91000,24589.39000
2020-03-31,2886.25900,,3509.97600,20967.28000,1050.13700,1042.94400,23107.85000,26617.83000,1228.55400,14172.28000,202.70800,14422.52000,15901.43000,93.25600,-3491.69600,-103.40800,10716.40000,26617.83000
2019-12-31,146.10200,,850.71400,21734.57000,1051.16100,1008.26500,23841.49000,24692.21000,1257.05400,12158.77000,278.90200,12638.51000,14146.76000,93.18500,-3669.05000,-34.56400,10545.45000,24692.21000
2019-09-30,208.59600,709.71400,918.31000,21932.04000,1049.98500,903.22000,23885.24000,24803.55000,1279.37600,12053.18000,238.32300,12439.03000,13967.64000,93.16400,-3384.42100,-59.85700,10835.91000,24803.55000
2019-06-30,138.29600,,831.94700,20235.78000,1050.47000,870.71000,22156.96000,22988.91000,1249.36800,10256.09000,223.87800,10629.42000,12112.55000,92.85200,-3173.28700,-39.67100,10876.36000,22988.91000
2019-03-31,140.23100,,636.57500,20129.60000,1050.87600,851.04900,22031.52000,22668.10000,1145.47300,10690.18000,207.33300,11102.56000,12462.09000,89.57900,-3088.40100,-12.06500,10206.01000,22668.10000
2018-12-31,131.46400,495.86900,627.33300,20093.66000,1050.54800,813.01700,21957.22000,22584.55000,1185.69700,10733.70000,188.34600,11127.26000,12312.96000,89.12500,-2930.21400,-19.58200,10271.59000,22584.55000
2018-09-30,148.54700,527.85100,676.39800,20020.63000,1045.87700,855.04400,21921.56000,22597.95000,1211.78100,10478.46000,158.03200,10873.10000,12084.88000,89.10000,-2709.29300,-7.94700,10513.07000,22597.95000
2018-06-30,158.10300,526.55300,684.65600,20135.67000,1034.27400,844.53400,22014.48000,22699.13000,1227.01400,10402.90000,150.71300,10794.55000,12021.57000,89.08500,-2529.10200,-10.86100,10677.57000,22699.13000
2018-03-31,163.58200,1212.51900,1376.10100,20336.98000,1035.24800,745.18000,22117.41000,23493.51000,1212.33400,11039.81000,192.57800,11477.13000,12689.47000,89.06200,-2413.44000,-14.47400,10804.04000,23493.51000
2017-12-31,188.25300,,1534.61200,20622.45000,1034.64400,762.83100,22419.93000,23954.54000,1277.44700,11276.06000,218.75500,11744.91000,13022.36000,89.02900,-2240.69800,-35.12000,10932.18000,23954.54000
2017-09-30,161.58500,1352.43400,1514.01900,20464.87000,1034.49700,726.40600,22225.78000,23739.79000,1039.48400,11424.14000,181.65000,11902.07000,12941.55000,89.02300,-2351.43000,-40.78000,10798.24000,23739.79000
2017-06-30,171.69600,1395.40400,1567.10000,20539.77000,1034.05400,714.83800,22288.66000,23855.76000,1016.82100,11908.00000,191.96600,12396.79000,13413.61000,89.01600,-2688.94600,-45.03500,10442.15000,23855.76000
2017-03-31,183.45900,1398.41700,1581.87600,20615.73000,1033.48400,688.24200,22337.46000,23919.33000,1024.89300,11943.73000,172.77300,12410.56000,13435.45000,88.69800,-2564.93600,-53.65700,10483.88000,23919.33000
