,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7948.00000,1169.00000,458.00000,147372.00000,156947.00000,1767.00000,,34201.00000,1423.00000,37391.00000,194338.00000,149171.00000,18118.00000,541.00000,22406.00000,171577.00000,6.00000,14943.00000,-331.00000,22761.00000,194338.00000
2022-09-30,7215.00000,1248.00000,558.00000,164691.00000,173712.00000,1720.00000,,34285.00000,1575.00000,37580.00000,211292.00000,166321.00000,18113.00000,606.00000,22551.00000,188872.00000,6.00000,14731.00000,-403.00000,22420.00000,211292.00000
2022-06-30,6875.00000,1371.00000,457.00000,167672.00000,176375.00000,1703.00000,,34503.00000,2626.00000,38832.00000,215207.00000,169422.00000,18109.00000,603.00000,22924.00000,192346.00000,6.00000,15135.00000,-305.00000,22861.00000,215207.00000
2022-03-31,1739.00000,1696.00000,1020.00000,164923.00000,169378.00000,1733.00000,,34717.00000,2660.00000,39110.00000,208488.00000,168479.00000,12401.00000,606.00000,17306.00000,185785.00000,6.00000,14793.00000,-221.00000,22703.00000,208488.00000
2021-12-31,1642.00000,1208.00000,1021.00000,150429.00000,154300.00000,1699.00000,,34859.00000,2644.00000,39202.00000,193502.00000,153411.00000,12397.00000,594.00000,17343.00000,170754.00000,6.00000,14350.00000,-196.00000,22748.00000,193502.00000
2021-09-30,1663.00000,1327.00000,1032.00000,108698.00000,112720.00000,1723.00000,,35237.00000,982.00000,37942.00000,150662.00000,112032.00000,12394.00000,594.00000,17038.00000,129070.00000,6.00000,13009.00000,-206.00000,21592.00000,150662.00000
2021-06-30,1648.00000,1300.00000,1038.00000,92080.00000,96066.00000,1745.00000,,35413.00000,966.00000,38124.00000,134190.00000,94250.00000,14135.00000,602.00000,18824.00000,113074.00000,6.00000,12563.00000,-174.00000,21116.00000,134190.00000
2021-03-31,1627.00000,1530.00000,410.00000,85608.00000,89175.00000,1731.00000,,35546.00000,1593.00000,38870.00000,128045.00000,89402.00000,14131.00000,594.00000,18649.00000,108051.00000,6.00000,11498.00000,-184.00000,19994.00000,128045.00000
2020-12-31,1583.00000,1230.00000,323.00000,84083.00000,87219.00000,1713.00000,,35699.00000,1569.00000,38981.00000,126200.00000,87999.00000,14126.00000,565.00000,18667.00000,106666.00000,6.00000,11039.00000,-192.00000,19534.00000,126200.00000
2020-09-30,1603.00000,1310.00000,324.00000,85900.00000,89137.00000,1693.00000,,35750.00000,1500.00000,38943.00000,128080.00000,89686.00000,14869.00000,497.00000,19342.00000,109028.00000,6.00000,10682.00000,-273.00000,19052.00000,128080.00000
2020-06-30,1873.00000,1279.00000,323.00000,93960.00000,97435.00000,1510.00000,,23683.00000,1432.00000,26625.00000,124060.00000,96193.00000,7703.00000,484.00000,10873.00000,107066.00000,6.00000,10462.00000,-321.00000,16994.00000,124060.00000
2020-03-31,1582.00000,1569.00000,239.00000,108863.00000,112253.00000,1503.00000,404.00000,23739.00000,1002.00000,26648.00000,138901.00000,113526.00000,5252.00000,477.00000,8410.00000,121936.00000,6.00000,10103.00000,-333.00000,16965.00000,138901.00000
2019-12-31,1784.00000,988.00000,220.00000,64987.00000,67979.00000,1536.00000,,23600.00000,1378.00000,26514.00000,94493.00000,68816.00000,5250.00000,468.00000,8391.00000,77207.00000,6.00000,9629.00000,-243.00000,17286.00000,94493.00000
2019-09-30,1600.00000,1056.00000,227.00000,65988.00000,68871.00000,1505.00000,,23640.00000,1323.00000,26468.00000,95339.00000,68534.00000,6496.00000,484.00000,9620.00000,78154.00000,6.00000,9335.00000,-348.00000,17185.00000,95339.00000
2019-06-30,1717.00000,1062.00000,240.00000,61353.00000,64372.00000,1525.00000,,23754.00000,1279.00000,26558.00000,90930.00000,64131.00000,6494.00000,493.00000,9653.00000,73784.00000,6.00000,8961.00000,-309.00000,17146.00000,90930.00000
2019-03-31,1521.00000,1181.00000,219.00000,64564.00000,67485.00000,1538.00000,,23504.00000,1330.00000,26372.00000,93857.00000,67035.00000,6492.00000,515.00000,9692.00000,76727.00000,6.00000,8644.00000,-290.00000,17130.00000,93857.00000
