,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,425.18400,1701.04700,3042.87000,32596.82000,68.32100,1383.24600,34048.39000,37414.49000,1445.47900,15100.94000,15501.91000,17357.80000,473.93000,-6407.01700,-75.26700,,20056.69000,37414.49000
2022-06-30,442.25100,1348.01100,2746.54700,32133.11000,68.32100,1300.97500,33502.40000,36573.67000,1254.49700,15034.54000,15454.56000,17119.78000,464.77800,-6116.75200,-145.19600,,19453.89000,36573.67000
2022-03-31,367.04300,1189.95500,2560.13400,31300.78000,68.32100,1138.52600,32507.63000,35472.45000,1203.75500,14541.67000,14987.63000,16740.39000,455.37600,-5928.92200,-138.47200,,18732.07000,35472.45000
2021-12-31,346.75500,1169.09600,2584.53200,30695.63000,68.32100,1039.04300,31803.00000,34910.32000,1235.55400,14130.95000,14532.25000,16313.74000,448.60500,-5717.17900,-121.31600,,18596.58000,34910.32000
2021-09-30,362.64500,1121.04300,2599.33300,29307.80000,68.32100,977.95500,30354.08000,33480.02000,1093.95900,13669.41000,14058.60000,15697.11000,436.64000,-5510.64100,-103.17700,,17782.92000,33480.02000
2021-06-30,808.70400,1002.44300,2908.44600,27725.62000,68.32100,1020.11200,28814.05000,32176.12000,1061.37000,13461.91000,13854.29000,15325.29000,423.93300,-5428.74300,-127.94800,,16850.83000,32176.12000
2021-03-31,2558.82200,937.63900,3984.13500,27465.00000,68.32100,1020.01000,28553.33000,32992.25000,1023.21900,14513.18000,14869.10000,16301.23000,418.86600,-5199.52900,-128.13600,,16691.02000,32992.25000
2020-12-31,2021.04300,973.09700,3437.51200,27565.71000,68.32100,946.23400,28580.26000,32483.64000,1041.59400,13798.72000,14142.21000,15602.07000,418.69100,-5016.12300,-148.50400,,16881.57000,32483.64000
2020-09-30,2155.33300,1147.25000,3717.28900,27452.54000,68.32100,822.58600,28343.45000,32541.60000,1041.36800,13781.23000,14111.29000,15580.50000,418.36100,-4925.02100,-126.46900,0.00400,16961.10000,32541.60000
2020-06-30,1826.24300,1325.97300,3377.08700,28427.72000,68.32100,786.92100,29282.96000,33162.65000,1015.90600,14435.65000,14762.79000,16226.13000,418.34300,-4996.09700,-116.85600,0.00400,16936.53000,33162.65000
