,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,9067.00000,1895.00000,2757.00000,302.00000,14021.00000,6876.00000,,4362.00000,1135.00000,13186.00000,27207.00000,2985.00000,8235.00000,1226.00000,9645.00000,12630.00000,1741.00000,50353.00000,-254.00000,14577.00000,27207.00000
2022-09-30,9090.00000,2040.00000,2404.00000,238.00000,13772.00000,6485.00000,,4362.00000,799.00000,12285.00000,26057.00000,2798.00000,7438.00000,1153.00000,8752.00000,11550.00000,1741.00000,49519.00000,-154.00000,14507.00000,26057.00000
2022-06-30,8387.00000,2190.00000,2199.00000,267.00000,13043.00000,5931.00000,,4362.00000,716.00000,11680.00000,24723.00000,2560.00000,6745.00000,1165.00000,8071.00000,10631.00000,1741.00000,48280.00000,-180.00000,14092.00000,24723.00000
2022-03-31,9825.00000,1795.00000,2060.00000,330.00000,14010.00000,5439.00000,,4362.00000,718.00000,11266.00000,25276.00000,2528.00000,7242.00000,1314.00000,8731.00000,11259.00000,1741.00000,47053.00000,-153.00000,14017.00000,25276.00000
2021-12-31,9739.00000,1701.00000,1910.00000,335.00000,13685.00000,5141.00000,,4362.00000,748.00000,10991.00000,24676.00000,2569.00000,7241.00000,1367.00000,8774.00000,11343.00000,1741.00000,45919.00000,-157.00000,13333.00000,24676.00000
2021-09-30,9782.00000,1653.00000,1863.00000,287.00000,13585.00000,4021.00000,,4371.00000,647.00000,9688.00000,23273.00000,2413.00000,7239.00000,1255.00000,8709.00000,11122.00000,1741.00000,44847.00000,-313.00000,12151.00000,23273.00000
2021-06-30,7390.00000,1591.00000,1856.00000,340.00000,11177.00000,3678.00000,,4419.00000,650.00000,9426.00000,20603.00000,2201.00000,5752.00000,1279.00000,7249.00000,9450.00000,1741.00000,43846.00000,-323.00000,11153.00000,20603.00000
2021-03-31,6686.00000,1584.00000,1890.00000,245.00000,10405.00000,3431.00000,,4467.00000,657.00000,9234.00000,19639.00000,1700.00000,6250.00000,1305.00000,7773.00000,9473.00000,1741.00000,42860.00000,-347.00000,10166.00000,19639.00000
2020-12-31,6568.00000,1414.00000,1955.00000,302.00000,10239.00000,3269.00000,,4362.00000,770.00000,9112.00000,19351.00000,2390.00000,6248.00000,1305.00000,7774.00000,10164.00000,1741.00000,42051.00000,-360.00000,9187.00000,19351.00000
2020-09-30,5518.00000,1392.00000,2072.00000,277.00000,9259.00000,3190.00000,47.00000,4551.00000,501.00000,8948.00000,18207.00000,2185.00000,6247.00000,1278.00000,7697.00000,9882.00000,1741.00000,41305.00000,-335.00000,8325.00000,18207.00000
2020-06-30,4960.00000,1176.00000,2136.00000,216.00000,8488.00000,3201.00000,36.00000,4602.00000,518.00000,8957.00000,17445.00000,2163.00000,6245.00000,1234.00000,7638.00000,9801.00000,1741.00000,40780.00000,-334.00000,7644.00000,17445.00000
2020-03-31,4742.00000,1316.00000,2003.00000,249.00000,8310.00000,3233.00000,34.00000,4652.00000,493.00000,8973.00000,17283.00000,2381.00000,5499.00000,1510.00000,7168.00000,9549.00000,1741.00000,40227.00000,-328.00000,7734.00000,17283.00000
2019-12-31,5387.00000,1074.00000,2001.00000,299.00000,8761.00000,3303.00000,300.00000,4702.00000,468.00000,9257.00000,18018.00000,2123.00000,5303.00000,1514.00000,6988.00000,9111.00000,1741.00000,39898.00000,-347.00000,8907.00000,18018.00000
2019-09-30,5067.00000,1342.00000,2040.00000,264.00000,8713.00000,3318.00000,298.00000,4752.00000,471.00000,9279.00000,17992.00000,2007.00000,5302.00000,1526.00000,7000.00000,9007.00000,1741.00000,39674.00000,-443.00000,8985.00000,17992.00000
2019-06-30,4218.00000,1419.00000,2079.00000,240.00000,7956.00000,3365.00000,300.00000,4831.00000,479.00000,9428.00000,17384.00000,2646.00000,4558.00000,1524.00000,6252.00000,8898.00000,1741.00000,38974.00000,-457.00000,8486.00000,17384.00000
2019-03-31,4086.00000,1440.00000,2131.00000,294.00000,7951.00000,3318.00000,281.00000,4911.00000,498.00000,9492.00000,17443.00000,2159.00000,5057.00000,1545.00000,6765.00000,8924.00000,1741.00000,38396.00000,-465.00000,8519.00000,17443.00000
2018-12-31,4233.00000,1207.00000,2217.00000,440.00000,8097.00000,3183.00000,251.00000,4990.00000,140.00000,9040.00000,17137.00000,2474.00000,4319.00000,1190.00000,5669.00000,8143.00000,1741.00000,37906.00000,-473.00000,8994.00000,17137.00000
2018-09-30,5113.00000,1585.00000,2116.00000,654.00000,9468.00000,3051.00000,278.00000,5069.00000,150.00000,9105.00000,18573.00000,2382.00000,4318.00000,1228.00000,5675.00000,8057.00000,1741.00000,37378.00000,-354.00000,10516.00000,18573.00000
2018-06-30,5130.00000,1551.00000,2090.00000,821.00000,9592.00000,2855.00000,271.00000,5149.00000,149.00000,8935.00000,18527.00000,1466.00000,5066.00000,1229.00000,6427.00000,7893.00000,1741.00000,36413.00000,-371.00000,10634.00000,18527.00000
2018-03-31,4079.00000,1454.00000,2032.00000,1025.00000,8590.00000,2736.00000,271.00000,5228.00000,147.00000,8917.00000,17507.00000,1860.00000,3578.00000,1282.00000,5005.00000,6865.00000,1741.00000,35619.00000,-392.00000,10642.00000,17507.00000
2017-12-31,4469.00000,1278.00000,1957.00000,1030.00000,8734.00000,2664.00000,268.00000,5308.00000,86.00000,8908.00000,17642.00000,2258.00000,3577.00000,1303.00000,5047.00000,7305.00000,1741.00000,34662.00000,-384.00000,10337.00000,17642.00000
2017-09-30,3444.00000,1576.00000,1908.00000,1063.00000,7991.00000,2567.00000,258.00000,5387.00000,89.00000,8938.00000,16929.00000,2055.00000,3084.00000,,3886.00000,5941.00000,1741.00000,34935.00000,-505.00000,10988.00000,16929.00000
2017-06-30,2984.00000,1469.00000,1947.00000,1111.00000,7511.00000,2514.00000,250.00000,5467.00000,71.00000,8927.00000,16438.00000,1877.00000,3084.00000,,3853.00000,5730.00000,1741.00000,34149.00000,-520.00000,10708.00000,16438.00000
2017-03-31,3049.00000,1337.00000,1843.00000,811.00000,7040.00000,2501.00000,241.00000,5546.00000,71.00000,8938.00000,15978.00000,1602.00000,2980.00000,,3737.00000,5339.00000,1741.00000,33595.00000,-527.00000,10639.00000,15978.00000
2016-12-31,3490.00000,1267.00000,1790.00000,910.00000,7457.00000,2512.00000,235.00000,5626.00000,79.00000,8974.00000,16431.00000,2264.00000,2978.00000,,3694.00000,5958.00000,1741.00000,33107.00000,-526.00000,10473.00000,16431.00000
2016-09-30,3137.00000,1447.00000,1808.00000,789.00000,7181.00000,2545.00000,233.00000,5706.00000,82.00000,9035.00000,16216.00000,2170.00000,2977.00000,,3760.00000,5930.00000,1741.00000,32432.00000,-542.00000,10286.00000,16216.00000
2016-06-30,2539.00000,1348.00000,1876.00000,926.00000,6689.00000,2557.00000,224.00000,5786.00000,69.00000,9004.00000,15693.00000,1991.00000,2975.00000,,3740.00000,5731.00000,1741.00000,31850.00000,-536.00000,9962.00000,15693.00000
2016-03-31,2800.00000,1269.00000,1805.00000,785.00000,6659.00000,2554.00000,220.00000,5865.00000,76.00000,9027.00000,15686.00000,2420.00000,2869.00000,,3484.00000,5904.00000,1741.00000,31457.00000,-531.00000,9782.00000,15686.00000
2015-12-31,3218.00000,1165.00000,1691.00000,1000.00000,7074.00000,2596.00000,221.00000,5945.00000,62.00000,9156.00000,16230.00000,2555.00000,3120.00000,,3729.00000,6284.00000,1741.00000,31176.00000,-532.00000,9946.00000,16230.00000
2015-09-30,2735.00000,1481.00000,1771.00000,945.00000,7289.00000,2629.00000,216.00000,6024.00000,92.00000,9251.00000,16540.00000,2500.00000,3132.00000,,4070.00000,6570.00000,1741.00000,30731.00000,-513.00000,9970.00000,16540.00000
2015-06-30,3306.00000,1434.00000,1885.00000,1088.00000,8060.00000,2685.00000,228.00000,6104.00000,96.00000,9472.00000,17532.00000,3193.00000,3134.00000,,4134.00000,7327.00000,1741.00000,30286.00000,-514.00000,10205.00000,17532.00000
2015-03-31,3304.00000,1394.00000,1844.00000,810.00000,7692.00000,2758.00000,232.00000,6184.00000,105.00000,9654.00000,17346.00000,2286.00000,3638.00000,,4691.00000,6977.00000,1741.00000,29948.00000,-531.00000,10369.00000,17346.00000
