,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2456.20000,713.30000,306.70000,192.60000,3668.80000,1055.60000,199.00000,47.10000,1722.90000,5391.70000,1839.30000,1197.70000,128.30000,1420.60000,3259.90000,0.40000,479.90000,-11.60000,2131.80000,5391.70000
2022-09-30,2371.90000,564.10000,311.00000,151.50000,3398.50000,1002.50000,49.10000,33.70000,1500.70000,4899.20000,900.50000,1968.80000,123.30000,2174.20000,3074.70000,0.40000,388.10000,-41.10000,1824.50000,4899.20000
2022-06-30,2754.80000,560.80000,339.50000,153.60000,3808.70000,942.90000,53.60000,24.80000,1408.70000,5217.40000,807.00000,1967.30000,99.50000,2154.50000,2961.50000,0.40000,286.90000,-23.00000,2255.90000,5217.40000
2022-03-31,2688.20000,544.50000,342.20000,171.70000,3746.60000,856.50000,58.00000,22.80000,1310.40000,5057.00000,711.40000,1965.90000,97.10000,2156.30000,2867.70000,0.10000,236.00000,-6.10000,2189.30000,5057.00000
2021-12-31,2731.20000,514.30000,357.30000,81.60000,3684.40000,801.80000,58.00000,10.50000,1248.90000,4933.30000,720.80000,1981.80000,90.00000,2170.40000,2891.20000,0.40000,138.70000,0.50000,2042.10000,4933.30000
2021-09-30,2697.90000,529.10000,351.30000,77.90000,3656.20000,742.20000,23.90000,46.00000,1119.70000,4775.90000,734.90000,1703.50000,98.50000,1904.90000,2639.80000,0.10000,-28.00000,1.40000,2136.10000,4775.90000
2021-06-30,2584.90000,483.50000,319.30000,86.50000,3474.20000,676.00000,19.10000,23.30000,1029.60000,4503.80000,600.70000,1710.70000,87.70000,1905.50000,2506.20000,0.10000,-98.90000,2.80000,1997.60000,4503.80000
2021-03-31,2632.60000,443.40000,289.70000,79.40000,3445.10000,589.90000,18.90000,20.40000,944.70010,4389.80000,604.10000,1688.80000,82.40000,1882.50000,2486.60000,0.10000,-161.80000,2.90000,1903.20000,4389.80000
2020-12-31,2707.70000,428.50000,234.70000,53.90000,3424.80000,515.30000,40.70000,,865.70000,4290.50000,614.10000,1667.20000,80.90000,1849.90000,2464.00000,0.10000,-202.10000,3.20000,1826.50000,4290.50000
2020-09-30,2603.80000,370.00000,200.70000,62.60000,3237.10000,461.80000,19.00000,21.00000,596.10000,3833.20000,506.40000,1645.80000,78.50000,1827.50000,2333.90000,0.10000,-557.30000,2.80000,1499.30000,3833.20000
2020-06-30,2508.80000,296.50000,165.30000,62.40000,3033.00000,384.30000,18.70000,14.20000,488.80000,3521.80000,400.10000,1658.80000,35.30000,1767.80000,2167.90000,0.10000,-629.50000,3.50000,1353.90000,3521.80000
2020-03-31,1510.50000,300.70000,141.90000,42.60000,1995.70000,346.10000,18.60000,13.70000,452.20000,2447.90000,342.80000,1072.40000,20.90000,1170.60000,1513.40000,0.10000,-675.80000,3.70000,934.50000,2447.90000
