,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3310.40000,1162.90000,2088.10000,373.50000,6934.90000,6699.50000,614.10000,3534.40000,527.60000,21321.20000,28256.10000,9246.20000,13176.70000,600.50000,27675.80000,36922.00000,1.10000,-8203.20000,-538.90000,-8665.90000,28256.10000
2022-09-30,3182.90000,1175.50000,2176.60000,483.70000,7018.70000,6560.50000,590.30000,3439.40000,554.20000,20959.70000,27978.40000,9151.80000,13119.90000,610.50000,27525.30000,36677.10000,1.10000,-8449.80000,-463.20000,-8698.70000,27978.40000
2022-06-30,3254.40000,1146.10000,2132.90000,534.10000,7067.50000,6408.20000,595.20000,3654.60000,640.70000,21088.70000,28156.20000,8402.40000,13930.80000,594.40000,28412.70000,36815.10000,1.10000,-8719.70000,-65.00000,-8658.90000,28156.20000
2022-03-31,3995.50000,1001.90000,1920.00000,623.70000,7541.10000,6460.80000,556.40000,3900.80000,582.80000,21480.40000,29021.50000,9104.30000,14014.40000,613.60000,28678.40000,37782.70000,1.10000,-9070.50000,260.30000,-8761.20000,29021.50000
2021-12-31,4056.80000,1031.10000,1637.10000,530.10000,7255.10000,6398.00000,551.50000,3978.20000,588.00000,21578.80000,28833.90000,8921.10000,13586.30000,621.10000,28363.10000,37284.20000,1.20000,-8753.00000,253.50000,-8450.30000,28833.90000
2021-09-30,6617.90000,940.00000,1603.90000,594.60000,9756.40000,6369.50000,550.20000,4027.20000,578.50000,21636.20000,31392.60000,8151.40000,13616.90000,737.80000,28555.70000,36707.10000,1.20000,-6315.70000,147.20000,-5314.50000,31392.60000
2021-06-30,4906.70000,911.20000,1548.20000,565.60000,7931.70000,6151.40000,821.20000,4070.00000,586.30000,21545.10000,29476.80000,7799.80000,13619.20000,762.90000,28471.30000,36271.10000,1.20000,-7501.60000,-29.70000,-6794.30000,29476.80000
2021-03-31,4003.70000,880.20000,1503.60000,592.00000,6979.50000,6123.10000,784.20000,4103.20000,574.90000,21392.20000,28371.70000,6505.10000,14630.30000,774.80000,29514.90000,36020.00000,1.20000,-8124.30000,-126.30000,-7648.30000,28371.70000
2020-12-31,5263.60000,888.00000,1471.50000,734.40000,8357.50000,6177.90000,686.90000,4213.20000,541.10000,21610.90000,29968.40000,7883.90000,14673.50000,962.80000,29988.50000,37872.40000,1.20000,-8253.60000,-145.90000,-7904.00000,29968.40000
2020-09-30,4632.10000,883.40000,1551.40000,739.50000,7806.40000,6241.40000,684.80000,4149.30000,568.60000,21568.10000,29374.50000,7346.80000,14659.60000,907.30000,29827.10000,37173.90000,1.20000,-7815.60000,-364.60000,-7799.40000,29374.50000
