,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,4239.60000,27229.60000,31469.20000,1006.10000,94605.40000,3072.90000,147593.00000,251111.40000,282580.60000,108939.10000,3981.00000,158819.30000,164153.20000,273092.30000,4.90000,17210.90000,-8070.60000,9488.30000,282580.60000
2022-06-30,3173.10000,28285.00000,31458.10000,993.30000,98554.10000,3134.50000,154739.90000,261762.10000,293220.20000,110728.30000,4280.70000,165420.00000,171413.30000,282141.60000,4.90000,15985.60000,-5630.10000,11078.60000,293220.20000
2022-03-31,2741.20000,2374.40000,5115.60000,1020.20000,103921.30000,3262.30000,174116.40000,286422.90000,291538.50000,89020.80000,4280.40000,184569.20000,190565.00000,279585.80000,4.90000,13090.80000,-1920.60000,11952.70000,291538.50000
2021-12-31,2332.00000,1842.40000,4174.40000,1038.00000,109601.70000,3228.20000,182857.40000,300482.80000,304657.20000,88696.91000,4280.20000,192886.10000,199834.50000,288531.40000,4.80000,12884.50000,1610.90000,16125.80000,304657.20000
2021-09-30,3145.40000,1713.20000,4858.60000,1065.40000,107622.10000,3277.80000,178387.60000,294049.80000,298908.40000,88751.00000,4279.70000,187051.40000,194028.20000,282779.20000,4.80000,12583.90000,1619.20000,16129.20000,298908.40000
2021-06-30,2417.40000,1675.70000,4093.10000,1030.70000,106675.20000,3377.10000,183408.20000,298072.40000,302165.50000,88306.00000,4279.50000,190626.40000,197568.00000,285874.00000,4.80000,12395.00000,1803.80000,16291.50000,302165.50000
2021-03-31,2003.50000,1708.30000,3711.80000,1043.70000,105498.60000,3399.30000,178367.70000,291922.80000,295634.60000,87923.70000,4279.40000,185613.70000,192248.60000,280172.30000,4.80000,12199.20000,953.80000,15462.30000,295634.60000
2020-12-31,2849.80000,1723.80000,4573.60000,1019.00000,107017.50000,3434.00000,177173.90000,292054.10000,296627.70000,89589.00000,4279.20000,183533.50000,190421.40000,280010.40000,4.80000,11838.00000,2383.10000,16617.30000,296627.70000
2020-09-30,3556.70000,1530.20000,5086.90000,998.80000,103762.40000,3358.80000,161889.50000,273397.90000,278484.80000,88030.20000,4279.00000,168053.40000,174733.50000,262763.70000,4.80000,11521.40000,1747.10000,15721.10000,278484.80000
2020-06-30,3150.40000,1760.00000,4910.40000,993.10000,101260.70000,3340.20000,157317.30000,266399.00000,271309.40000,86268.20000,4163.40000,163216.30000,169730.20000,255998.40000,4.80000,11441.40000,1450.70000,15311.00000,271309.40000
2020-03-31,3482.70000,1691.00000,5173.70000,973.80000,95497.00000,3333.00000,138246.60000,241730.20000,246903.90000,84337.10000,3670.10000,144219.40000,149594.20000,233931.30000,4.80000,11198.80000,-599.20000,12972.60000,246903.90000
2019-12-31,2515.90000,1740.30000,4256.20000,967.70000,97038.00000,3480.50000,166824.10000,271831.60000,276087.80000,83258.50000,3734.10000,172331.70000,178143.50000,261402.00000,4.80000,11074.30000,1037.90000,14685.80000,276087.80000
2019-09-30,3198.00000,1635.70000,4833.70000,961.70000,95103.50000,3492.40000,162422.20000,265404.70000,270238.40000,81401.50000,3763.90000,167881.20000,173964.10000,255365.60000,4.80000,10927.80000,1307.10000,14872.80000,270238.40000
2019-06-30,3315.90000,1549.20000,4865.10000,959.50000,91859.00000,2412.20000,164302.70000,263052.90000,267918.00000,79211.30000,3762.40000,168830.50000,174604.70000,253816.00000,4.80000,10805.80000,647.70000,14102.00000,267918.00000
2019-03-31,2259.70000,1641.10000,3900.80000,933.20000,89223.50000,2420.90000,159325.00000,255519.10000,259419.90000,77523.50000,3266.40000,163989.10000,169134.20000,246657.70000,4.80000,10571.90000,-418.90000,12762.20000,259419.90000
2018-12-31,2977.50000,1413.10000,4390.60000,767.30000,85402.80000,2415.10000,146366.80000,238645.50000,243036.10000,76295.80000,3259.60000,150649.80000,155284.30000,231580.10000,4.80000,10290.20000,-1565.10000,11456.00000,243036.10000
2018-09-30,2926.70000,1514.40000,4441.10000,770.60000,84667.91000,2482.60000,162724.20000,254317.20000,258758.30000,75517.00000,3245.50000,167137.90000,171472.60000,246989.60000,4.80000,10207.90000,-1347.60000,11768.70000,258758.30000
2018-06-30,2342.00000,1455.60000,3797.60000,762.90000,83032.59000,2458.60000,158477.90000,248306.40000,252104.00000,73433.59000,3219.90000,162697.40000,166963.90000,240397.50000,4.80000,9904.30000,-1137.90000,11706.50000,252104.00000
