,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,4646.00000,11644.00000,655.00000,1272.00000,18217.00000,39721.00000,6377.00000,3903.00000,67374.00000,85591.00000,14039.00000,20076.00000,3768.00000,47437.00000,61476.00000,32.00000,33557.00000,-1385.00000,24115.00000,85591.00000
2022-08-31,6850.00000,11055.00000,647.00000,1054.00000,19606.00000,38806.00000,6316.00000,3879.00000,66220.00000,85826.00000,13765.00000,19918.00000,3696.00000,46921.00000,60686.00000,32.00000,33060.00000,-1314.00000,25140.00000,85826.00000
2022-05-31,6897.00000,11863.00000,637.00000,968.00000,20365.00000,38091.00000,6544.00000,4381.00000,65629.00000,85994.00000,14274.00000,20182.00000,3571.00000,46781.00000,61055.00000,32.00000,32782.00000,-1103.00000,24939.00000,85994.00000
2022-02-28,6065.00000,11668.00000,611.00000,1122.00000,19466.00000,37376.00000,6755.00000,3906.00000,64642.00000,84108.00000,13990.00000,20393.00000,3318.00000,45592.00000,59582.00000,32.00000,32225.00000,-887.00000,24526.00000,84108.00000
2021-11-30,6833.00000,12197.00000,594.00000,1123.00000,20747.00000,37153.00000,6702.00000,3627.00000,63500.00000,84247.00000,13884.00000,20386.00000,3567.00000,45423.00000,59307.00000,32.00000,31307.00000,-977.00000,24940.00000,84247.00000
2021-08-31,6853.00000,11125.00000,577.00000,991.00000,19546.00000,36481.00000,6843.00000,3764.00000,62502.00000,82048.00000,12910.00000,20554.00000,3461.00000,44817.00000,57727.00000,32.00000,30462.00000,-881.00000,24321.00000,82048.00000
2021-05-31,7087.00000,12069.00000,587.00000,837.00000,20580.00000,35752.00000,6992.00000,4070.00000,62197.00000,82777.00000,13660.00000,20733.00000,3413.00000,44949.00000,58609.00000,32.00000,29817.00000,-732.00000,24168.00000,82777.00000
2021-02-28,8856.00000,11481.00000,583.00000,790.00000,21710.00000,34990.00000,6977.00000,4152.00000,61083.00000,82793.00000,13566.00000,22797.00000,3123.00000,47246.00000,60812.00000,32.00000,27924.00000,-764.00000,21981.00000,82793.00000
2020-11-30,8339.00000,11417.00000,587.00000,922.00000,21265.00000,34610.00000,6702.00000,3734.00000,59891.00000,81156.00000,12115.00000,23221.00000,3213.00000,48002.00000,60117.00000,32.00000,27208.00000,-898.00000,21039.00000,81156.00000
2020-08-31,6954.00000,10508.00000,593.00000,848.00000,18903.00000,34262.00000,6633.00000,3354.00000,58745.00000,77648.00000,11195.00000,23204.00000,2866.00000,46991.00000,58186.00000,32.00000,26108.00000,-1020.00000,19462.00000,77648.00000
2020-05-31,4881.00000,10102.00000,572.00000,828.00000,16383.00000,33608.00000,6372.00000,3257.00000,57154.00000,73537.00000,10344.00000,21952.00000,2570.00000,44898.00000,55242.00000,32.00000,25216.00000,-1147.00000,18295.00000,73537.00000
2020-02-29,1766.00000,9323.00000,568.00000,884.00000,12541.00000,33306.00000,6814.00000,3372.00000,57473.00000,70014.00000,10325.00000,18973.00000,2387.00000,40858.00000,51183.00000,32.00000,25569.00000,-887.00000,18831.00000,70014.00000
2019-11-30,2031.00000,9709.00000,576.00000,882.00000,13198.00000,32408.00000,6861.00000,3390.00000,56756.00000,69954.00000,10547.00000,18691.00000,2397.00000,40748.00000,51295.00000,32.00000,25431.00000,-866.00000,18659.00000,69954.00000
2019-08-31,2389.00000,9312.00000,574.00000,742.00000,13017.00000,31610.00000,6821.00000,3185.00000,55435.00000,68452.00000,9935.00000,18726.00000,2403.00000,40351.00000,50286.00000,32.00000,25048.00000,-918.00000,18166.00000,68452.00000
2019-05-31,2319.00000,9116.00000,553.00000,1098.00000,13086.00000,30429.00000,6884.00000,4004.00000,41317.00000,54403.00000,9013.00000,16617.00000,2569.00000,27633.00000,36646.00000,32.00000,24648.00000,-865.00000,17757.00000,54403.00000
2019-02-28,2872.00000,9037.00000,546.00000,1045.00000,13500.00000,29768.00000,6916.00000,4280.00000,40964.00000,54464.00000,9256.00000,17218.00000,2408.00000,25314.00000,34570.00000,32.00000,26650.00000,-737.00000,19894.00000,54464.00000
2018-11-30,2123.00000,9573.00000,522.00000,1220.00000,13438.00000,29387.00000,6908.00000,3556.00000,39851.00000,53289.00000,9496.00000,16399.00000,2370.00000,24499.00000,33995.00000,32.00000,26080.00000,-817.00000,19294.00000,53289.00000
2018-08-31,2369.00000,8716.00000,523.00000,1033.00000,12641.00000,28779.00000,6869.00000,3612.00000,39260.00000,51901.00000,9606.00000,15241.00000,2257.00000,23122.00000,32728.00000,32.00000,25315.00000,-763.00000,19173.00000,51901.00000
2018-05-31,3265.00000,8481.00000,525.00000,1070.00000,13341.00000,28154.00000,6973.00000,3862.00000,38989.00000,52330.00000,9627.00000,15243.00000,2318.00000,23287.00000,32914.00000,32.00000,24823.00000,-578.00000,19416.00000,52330.00000
2018-02-28,2789.00000,8671.00000,523.00000,1592.00000,13575.00000,27697.00000,7464.00000,3115.00000,38276.00000,51851.00000,9503.00000,16017.00000,2199.00000,23454.00000,32957.00000,32.00000,23710.00000,-357.00000,18894.00000,51851.00000
2017-11-30,2768.00000,8655.00000,533.00000,925.00000,12881.00000,27290.00000,7325.00000,2785.00000,37400.00000,50281.00000,8227.00000,15180.00000,2108.00000,24999.00000,33226.00000,32.00000,21785.00000,-434.00000,17055.00000,50281.00000
2017-08-31,3503.00000,8006.00000,516.00000,697.00000,12722.00000,26235.00000,7382.00000,3011.00000,36628.00000,49350.00000,7790.00000,15137.00000,2061.00000,24942.00000,32732.00000,32.00000,21156.00000,-325.00000,16618.00000,49350.00000
2017-05-31,3969.00000,7599.00000,514.00000,546.00000,12628.00000,25981.00000,7154.00000,2789.00000,35924.00000,48552.00000,7918.00000,14909.00000,2012.00000,24561.00000,32479.00000,32.00000,20833.00000,-415.00000,16073.00000,48552.00000
2017-02-28,3173.00000,7418.00000,527.00000,820.00000,11938.00000,25613.00000,7000.00000,2230.00000,34843.00000,46781.00000,7450.00000,14713.00000,1867.00000,24147.00000,31597.00000,32.00000,19830.00000,-334.00000,15184.00000,46781.00000
2016-11-30,3059.00000,7575.00000,517.00000,901.00000,12052.00000,25307.00000,6921.00000,2068.00000,34296.00000,46348.00000,7807.00000,13553.00000,1772.00000,24010.00000,31817.00000,32.00000,19410.00000,-425.00000,14531.00000,46348.00000
