,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2851.00000,5583.00000,4111.00000,1790.00000,14335.00000,4381.00000,9415.00000,4333.00000,18830.00000,33165.00000,9465.00000,6612.00000,1507.00000,9333.00000,18798.00000,,-10943.00000,-3136.00000,,14367.00000,33165.00000
2022-06-30,2928.00000,5572.00000,4052.00000,1647.00000,14199.00000,4531.00000,9790.00000,4460.00000,19554.00000,33753.00000,9375.00000,6625.00000,1480.00000,9292.00000,18667.00000,,-10927.00000,-2789.00000,,15086.00000,33753.00000
2022-03-31,3191.00000,5738.00000,4151.00000,1627.00000,14707.00000,4804.00000,10107.00000,4615.00000,20287.00000,34994.00000,9142.00000,6650.00000,1500.00000,9405.00000,18547.00000,,-10088.00000,-2559.00000,,16447.00000,34994.00000
2021-12-31,3853.00000,5651.00000,3979.00000,1582.00000,15065.00000,4877.00000,10090.00000,4541.00000,20243.00000,35308.00000,9128.00000,6687.00000,1510.00000,9434.00000,18562.00000,,-10160.00000,-2385.00000,,16746.00000,35308.00000
2021-09-30,3926.00000,5326.00000,4110.00000,1525.00000,14887.00000,4982.00000,10166.00000,4763.00000,20885.00000,35772.00000,9354.00000,6708.00000,1385.00000,9382.00000,18736.00000,,-10454.00000,-2092.00000,,17036.00000,35772.00000
2021-06-30,3913.00000,5407.00000,4212.00000,1980.00000,15512.00000,5086.00000,10254.00000,4826.00000,21157.00000,36669.00000,9805.00000,6722.00000,1430.00000,9464.00000,19269.00000,,-10462.00000,-1901.00000,,17400.00000,36669.00000
2021-03-31,4382.00000,5263.00000,4181.00000,1960.00000,15786.00000,5163.00000,10197.00000,4747.00000,21050.00000,36836.00000,9958.00000,6733.00000,1358.00000,9454.00000,19412.00000,,-10394.00000,-1920.00000,,17424.00000,36836.00000
2020-12-31,4132.00000,5622.00000,4421.00000,2280.00000,16455.00000,5358.00000,10374.00000,4867.00000,21552.00000,38007.00000,10227.00000,6744.00000,1391.00000,9538.00000,19765.00000,,-9942.00000,-1778.00000,,18242.00000,38007.00000
2020-09-30,4061.00000,5647.00000,4469.00000,1031.00000,15208.00000,5536.00000,10300.00000,4990.00000,22131.00000,37339.00000,10639.00000,6754.00000,1378.00000,9451.00000,20090.00000,,-10594.00000,-1801.00000,,17249.00000,37339.00000
2020-06-30,4132.00000,5636.00000,4616.00000,1118.00000,15502.00000,5710.00000,10284.00000,4853.00000,22021.00000,37523.00000,10567.00000,6766.00000,1389.00000,9391.00000,19958.00000,,-10413.00000,-1765.00000,,17565.00000,37523.00000
2020-03-31,3010.00000,6148.00000,4534.00000,961.00000,14653.00000,5997.00000,10454.00000,4810.00000,22576.00000,37229.00000,10141.00000,6285.00000,1479.00000,9103.00000,19244.00000,,-10212.00000,-1804.00000,,17985.00000,37229.00000
2019-12-31,3249.00000,6416.00000,4608.00000,949.00000,15222.00000,6240.00000,26071.00000,4882.00000,38147.00000,53369.00000,10014.00000,6301.00000,1425.00000,8856.00000,18870.00000,,,-1636.00000,,34499.00000,53369.00000
2019-09-30,2808.00000,6165.00000,4739.00000,1057.00000,14769.00000,6141.00000,26085.00000,4611.00000,37780.00000,52549.00000,9332.00000,6313.00000,1417.00000,8781.00000,18113.00000,,,-1694.00000,,34436.00000,52549.00000
2019-06-30,3138.00000,6310.00000,4807.00000,730.00000,14985.00000,6130.00000,26215.00000,4648.00000,37891.00000,52876.00000,9341.00000,6256.00000,1426.00000,8754.00000,18095.00000,,-9.00000,-1271.00000,,34781.00000,52876.00000
2019-03-31,3073.00000,6319.00000,4871.00000,649.00000,14912.00000,6218.00000,26425.00000,4577.00000,38217.00000,53129.00000,9052.00000,6270.00000,1599.00000,8991.00000,18043.00000,,,-1134.00000,,35086.00000,53129.00000
2018-12-31,3723.00000,5969.00000,4620.00000,659.00000,14971.00000,6228.00000,26436.00000,3732.00000,37468.00000,52439.00000,9020.00000,6285.00000,960.00000,8406.00000,17426.00000,,25.00000,-1219.00000,,35013.00000,52439.00000
2018-09-30,4765.00000,5809.00000,4681.00000,863.00000,16118.00000,6226.00000,26621.00000,3423.00000,37482.00000,53600.00000,8457.00000,6293.00000,1024.00000,8580.00000,17037.00000,,-14.00000,-821.00000,,36563.00000,53600.00000
2018-06-30,4879.00000,6038.00000,4675.00000,850.00000,16442.00000,6335.00000,26731.00000,3395.00000,37648.00000,54090.00000,8633.00000,6319.00000,1073.00000,8640.00000,17273.00000,,-27.00000,-787.00000,,36817.00000,54090.00000
2018-03-31,5631.00000,5865.00000,4696.00000,862.00000,17054.00000,6593.00000,26638.00000,3649.00000,38167.00000,55221.00000,8325.00000,6296.00000,909.00000,8801.00000,17126.00000,,-8.00000,-585.00000,,38095.00000,55221.00000
2017-12-31,7030.00000,6015.00000,4507.00000,872.00000,18424.00000,6959.00000,26285.00000,4117.00000,38076.00000,56500.00000,9227.00000,6312.00000,889.00000,8863.00000,18090.00000,,-103.00000,-703.00000,,38410.00000,56500.00000
2017-09-30,4777.00000,5194.00000,5309.00000,1301.00000,16581.00000,6255.00000,27221.00000,4429.00000,38229.00000,54810.00000,8732.00000,3039.00000,996.00000,5930.00000,14662.00000,,-104.00000,-627.00000,,40148.00000,54810.00000
2017-06-30,4133.00000,2307.00000,1976.00000,675.00000,9091.00000,4047.00000,4370.00000,1167.00000,9584.00000,18675.00000,2466.00000,2678.00000,153.00000,3822.00000,6288.00000,427.00000,6129.00000,-982.00000,,12387.00000,18675.00000
2017-03-31,4222.00000,2162.00000,1907.00000,673.00000,8964.00000,4128.00000,4384.00000,1200.00000,9712.00000,18676.00000,2130.00000,2884.00000,151.00000,3995.00000,6125.00000,427.00000,6380.00000,-1011.00000,,12551.00000,18676.00000
2016-12-31,981.00000,2563.00000,3224.00000,633.00000,7401.00000,2325.00000,9455.00000,2540.00000,14320.00000,21721.00000,4934.00000,38.00000,495.00000,1932.00000,6866.00000,,,-1894.00000,16582.00000,14855.00000,21721.00000
2016-09-30,3736.00000,2207.00000,1966.00000,934.00000,9002.00000,4874.00000,4623.00000,992.00000,10489.00000,19491.00000,2224.00000,2895.00000,122.00000,4030.00000,6254.00000,423.00000,7072.00000,-939.00000,,13237.00000,19491.00000
2016-06-30,3910.00000,2262.00000,1992.00000,1039.00000,9399.00000,5229.00000,4672.00000,1019.00000,10920.00000,20319.00000,2338.00000,2887.00000,125.00000,4015.00000,6353.00000,428.00000,7574.00000,-951.00000,,13966.00000,20319.00000
2016-03-31,2192.00000,2800.00000,2789.00000,782.00000,8771.00000,6323.00000,6623.00000,1219.00000,14165.00000,22936.00000,2462.00000,3885.00000,162.00000,5072.00000,7534.00000,438.00000,8559.00000,-938.00000,,15402.00000,22936.00000
2015-12-31,2324.00000,3217.00000,2917.00000,810.00000,9268.00000,6693.00000,6653.00000,1466.00000,14812.00000,24080.00000,2775.00000,3890.00000,135.00000,4923.00000,7698.00000,437.00000,9614.00000,-1005.00000,,16382.00000,24080.00000
2015-09-30,2043.00000,3518.00000,3262.00000,431.00000,9586.00000,8026.00000,6804.00000,1000.00000,15830.00000,25416.00000,2918.00000,3896.00000,149.00000,4993.00000,7911.00000,436.00000,10720.00000,-925.00000,,17505.00000,25416.00000
2015-06-30,1973.00000,3684.00000,3535.00000,326.00000,9938.00000,8366.00000,6840.00000,874.00000,16080.00000,26018.00000,3114.00000,3904.00000,162.00000,5107.00000,8221.00000,436.00000,10953.00000,-839.00000,,17797.00000,26018.00000
2015-03-31,1606.00000,4455.00000,3843.00000,370.00000,10705.00000,8559.00000,6855.00000,807.00000,16221.00000,26926.00000,3733.00000,3906.00000,167.00000,5280.00000,9013.00000,435.00000,11214.00000,-913.00000,,17913.00000,26926.00000
2014-12-31,1740.00000,5418.00000,4074.00000,395.00000,12045.00000,9063.00000,6893.00000,826.00000,16782.00000,28827.00000,4637.00000,3913.00000,178.00000,5460.00000,10097.00000,434.00000,11878.00000,-749.00000,,18730.00000,28827.00000
2014-09-30,1209.00000,5539.00000,4150.00000,487.00000,11811.00000,9081.00000,6931.00000,819.00000,16831.00000,28642.00000,4962.00000,3894.00000,176.00000,5396.00000,10358.00000,433.00000,11289.00000,-616.00000,,18284.00000,28642.00000
2014-06-30,1163.00000,5361.00000,4075.00000,556.00000,11547.00000,9087.00000,6835.00000,808.00000,16730.00000,28277.00000,4595.00000,3900.00000,181.00000,5431.00000,10026.00000,435.00000,10988.00000,-509.00000,,18251.00000,28277.00000
2014-03-31,1200.00000,5267.00000,3995.00000,440.00000,11266.00000,9055.00000,6859.00000,716.00000,16630.00000,27896.00000,4526.00000,3878.00000,181.00000,5369.00000,9895.00000,436.00000,10700.00000,-534.00000,,18001.00000,27896.00000
2013-12-31,1399.00000,5138.00000,3884.00000,494.00000,11295.00000,9076.00000,6849.00000,714.00000,16639.00000,27934.00000,4578.00000,3882.00000,158.00000,5444.00000,10022.00000,438.00000,10438.00000,-504.00000,,17912.00000,27934.00000
2013-09-30,1368.00000,5343.00000,3960.00000,463.00000,11507.00000,8964.00000,6882.00000,721.00000,16567.00000,28074.00000,4699.00000,3838.00000,152.00000,5382.00000,10081.00000,443.00000,10257.00000,-518.00000,,17993.00000,28074.00000
2013-06-30,1123.00000,5197.00000,3838.00000,473.00000,10930.00000,8855.00000,6888.00000,677.00000,16420.00000,27350.00000,4508.00000,3841.00000,135.00000,5215.00000,9723.00000,443.00000,9984.00000,-576.00000,,17627.00000,27350.00000
2013-03-31,1101.00000,5096.00000,3880.00000,492.00000,10835.00000,8753.00000,6919.00000,647.00000,16319.00000,27154.00000,4496.00000,3844.00000,128.00000,5240.00000,9736.00000,442.00000,9810.00000,-546.00000,,17418.00000,27154.00000
2012-12-31,1015.00000,4815.00000,3781.00000,540.00000,10417.00000,8707.00000,6951.00000,614.00000,16272.00000,26689.00000,4124.00000,3837.00000,136.00000,5297.00000,9421.00000,441.00000,9609.00000,-476.00000,,17268.00000,26689.00000
2012-09-30,1007.00000,5003.00000,3879.00000,432.00000,11280.00000,8225.00000,6601.00000,650.00000,15476.00000,26756.00000,4532.00000,3839.00000,133.00000,5153.00000,9685.00000,439.00000,9461.00000,-474.00000,,17071.00000,26756.00000
2012-06-30,792.00000,4985.00000,3811.00000,594.00000,10447.00000,8111.00000,7033.00000,597.00000,15741.00000,26188.00000,4237.00000,3841.00000,134.00000,5192.00000,9429.00000,439.00000,9248.00000,-537.00000,,16759.00000,26188.00000
2012-03-31,780.00000,5046.00000,3643.00000,451.00000,10171.00000,7746.00000,7068.00000,573.00000,15387.00000,25558.00000,3861.00000,3843.00000,138.00000,5315.00000,9176.00000,438.00000,8875.00000,-487.00000,,16382.00000,25558.00000
2011-12-31,1050.00000,4878.00000,3222.00000,396.00000,9797.00000,7415.00000,7099.00000,536.00000,15050.00000,24847.00000,3502.00000,3845.00000,148.00000,5381.00000,8883.00000,437.00000,8561.00000,-555.00000,,15964.00000,24847.00000
2011-09-30,803.00000,4977.00000,3053.00000,254.00000,9341.00000,6966.00000,7441.00000,603.00000,15010.00000,24351.00000,2998.00000,3846.00000,150.00000,5590.00000,8588.00000,436.00000,8313.00000,-447.00000,,15763.00000,24351.00000
2011-06-30,937.00000,4434.00000,2939.00000,248.00000,8812.00000,6700.00000,7477.00000,565.00000,14742.00000,23554.00000,2827.00000,3549.00000,165.00000,5537.00000,8364.00000,436.00000,7672.00000,-337.00000,,15190.00000,23554.00000
2011-03-31,1395.00000,4371.00000,2805.00000,240.00000,9045.00000,6432.00000,7484.00000,536.00000,14452.00000,23497.00000,3139.00000,3545.00000,162.00000,5535.00000,8674.00000,434.00000,7399.00000,-355.00000,,14823.00000,23497.00000
2010-12-31,1706.00000,3942.00000,2594.00000,231.00000,8707.00000,6310.00000,7438.00000,531.00000,14279.00000,22986.00000,3139.00000,3554.00000,164.00000,5561.00000,8700.00000,432.00000,7083.00000,-420.00000,,14286.00000,22986.00000
2010-09-30,1856.00000,3763.00000,2509.00000,297.00000,8710.00000,6108.00000,7226.00000,418.00000,13752.00000,22462.00000,3036.00000,3555.00000,202.00000,5669.00000,8705.00000,431.00000,6814.00000,-437.00000,,13757.00000,22462.00000
