,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2015-03-31,25599.00000,27696.00000,14051.00000,6181.00000,83231.00000,27755.00000,9756.00000,6297.00000,11917.00000,96687.00000,179918.00000,67342.00000,33907.00000,13551.00000,75753.00000,143095.00000,16.00000,14825.00000,-7331.00000,,36823.00000,179918.00000
2014-12-31,29514.00000,25606.00000,13642.00000,5104.00000,83626.00000,27743.00000,8350.00000,6410.00000,9952.00000,93875.00000,177501.00000,65657.00000,31721.00000,14082.00000,75820.00000,141477.00000,16.00000,14577.00000,-8073.00000,,36024.00000,177501.00000
2014-09-30,29005.00000,26552.00000,15210.00000,5895.00000,86640.00000,27375.00000,7983.00000,6644.00000,9088.00000,90268.00000,176908.00000,67329.00000,27719.00000,14371.00000,66016.00000,133345.00000,16.00000,13975.00000,-2930.00000,,43563.00000,176908.00000
2014-06-30,31124.00000,27277.00000,15200.00000,6543.00000,91643.00000,27023.00000,7485.00000,6793.00000,8142.00000,87455.00000,179098.00000,72347.00000,24273.00000,14999.00000,64166.00000,136513.00000,16.00000,13162.00000,-3133.00000,,42585.00000,179098.00000
2014-03-31,29430.00000,26789.00000,14837.00000,5179.00000,86825.00000,26367.00000,8747.00000,7005.00000,6956.00000,86781.00000,173606.00000,69222.00000,22918.00000,13641.00000,61544.00000,130766.00000,16.00000,13457.00000,-3138.00000,,42840.00000,173606.00000
2013-12-31,30240.00000,22813.00000,14039.00000,4060.00000,81501.00000,25867.00000,8094.00000,7228.00000,6564.00000,84843.00000,166344.00000,62412.00000,22025.00000,13353.00000,60758.00000,123170.00000,15.00000,13816.00000,-3113.00000,,43174.00000,166344.00000
2013-09-30,29529.00000,22077.00000,15357.00000,4333.00000,81164.00000,26247.00000,7897.00000,8317.00000,6672.00000,87375.00000,168539.00000,62563.00000,20684.00000,14046.00000,68615.00000,131178.00000,14.00000,12903.00000,-7981.00000,,37361.00000,168539.00000
2013-06-30,27022.00000,21984.00000,14777.00000,4191.00000,77745.00000,25351.00000,7463.00000,8591.00000,5899.00000,85365.00000,163110.00000,60021.00000,16787.00000,13472.00000,64085.00000,124106.00000,14.00000,12191.00000,-8040.00000,,39004.00000,163110.00000
2013-03-31,27916.00000,16845.00000,15200.00000,3273.00000,72570.00000,24893.00000,7470.00000,8965.00000,5039.00000,81205.00000,153775.00000,56539.00000,11452.00000,13428.00000,58901.00000,115440.00000,14.00000,11017.00000,-7611.00000,,38335.00000,153775.00000
2012-12-31,28096.00000,14439.00000,14714.00000,3318.00000,69996.00000,24196.00000,6883.00000,8782.00000,4689.00000,79426.00000,149422.00000,53992.00000,10532.00000,13169.00000,58430.00000,112422.00000,14.00000,10057.00000,-8052.00000,,37000.00000,149422.00000
2012-09-30,34594.00000,16759.00000,15672.00000,5082.00000,72107.00000,26578.00000,7519.00000,37312.00000,5085.00000,83349.00000,155456.00000,57623.00000,10375.00000,12757.00000,55204.00000,112827.00000,16.00000,11533.00000,-6724.00000,,42629.00000,155456.00000
2012-06-30,34299.00000,14595.00000,15433.00000,5906.00000,70233.00000,25026.00000,7058.00000,37597.00000,5521.00000,81754.00000,151987.00000,56651.00000,9701.00000,12735.00000,53726.00000,110377.00000,16.00000,9889.00000,-5995.00000,,41610.00000,151987.00000
2012-03-31,32988.00000,15799.00000,15844.00000,4585.00000,69216.00000,24275.00000,6793.00000,38120.00000,5628.00000,80978.00000,150194.00000,56577.00000,8874.00000,12754.00000,53477.00000,110054.00000,16.00000,8283.00000,-5768.00000,,40140.00000,150194.00000
2011-12-31,33224.00000,13215.00000,14324.00000,3633.00000,64923.00000,23005.00000,6790.00000,39033.00000,4429.00000,79680.00000,144603.00000,53226.00000,8033.00000,12442.00000,52386.00000,105612.00000,16.00000,7183.00000,-5861.00000,,38991.00000,144603.00000
2011-09-30,31977.00000,10512.00000,15220.00000,6301.00000,64010.00000,21556.00000,7534.00000,40381.00000,6098.00000,84487.00000,148497.00000,51748.00000,10122.00000,13485.00000,51133.00000,102881.00000,16.00000,6595.00000,1412.00000,,45616.00000,148497.00000
2011-06-30,32769.00000,11789.00000,14105.00000,7321.00000,65984.00000,20989.00000,7160.00000,41129.00000,6566.00000,84431.00000,150415.00000,53848.00000,9994.00000,13773.00000,54535.00000,108383.00000,15.00000,4729.00000,1571.00000,,42032.00000,150415.00000
2011-03-31,29593.00000,12990.00000,13991.00000,6375.00000,62949.00000,19944.00000,6937.00000,41505.00000,6235.00000,82897.00000,145846.00000,51682.00000,10741.00000,13281.00000,55078.00000,106760.00000,15.00000,1951.00000,1494.00000,,39086.00000,145846.00000
2010-12-31,27856.00000,8699.00000,12125.00000,4373.00000,53053.00000,19235.00000,8529.00000,43660.00000,6224.00000,85845.00000,138898.00000,47157.00000,9974.00000,13420.00000,54582.00000,101739.00000,15.00000,266.00000,1251.00000,,37159.00000,138898.00000
2010-09-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2010-06-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2010-03-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2009-12-31,36730.00000,7518.00000,10107.00000,4892.00000,59247.00000,15229.00000,7936.00000,45219.00000,4642.00000,73590.00000,136295.00000,52435.00000,5562.00000,49343.00000,54905.00000,107340.00000,15.00000,-4394.00000,,2296.00000,28955.00000,136295.00000
