,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4395.20000,,22445.30000,26840.50000,501.70000,,163.50000,2620.90000,3424.00000,30264.50000,4021.80000,5690.30000,,5690.30000,9712.10000,4.00000,20057.90000,,20552.40000,30264.50000
2022-09-30,4958.90000,,21655.70000,26614.60000,471.60000,,163.50000,2960.30000,3736.50000,30351.10000,4498.60000,6066.90000,,6066.90000,10565.50000,4.00000,19185.30000,,19785.60000,30351.10000
2022-06-30,3766.80000,,21698.90000,25465.70000,481.30000,,163.50000,2602.00000,3404.20000,28869.90000,4459.20000,5975.20000,,5975.20000,10434.40000,4.00000,17631.60000,,18435.50000,28869.90000
2022-03-31,3931.90000,,19846.50000,23778.40000,434.00000,,163.50000,2177.70000,2906.90000,26685.30000,3997.50000,5570.00000,,5570.00000,9567.50000,4.00000,16063.00000,,17117.80000,26685.30000
2021-12-31,4297.90000,,18202.50000,22500.40000,410.40000,,163.50000,1787.50000,2499.00000,24999.40000,3730.70000,5255.30000,,5255.30000,8986.00000,4.00000,14705.80000,,16013.40000,24999.40000
2021-09-30,5264.50000,,16479.10000,21743.60000,392.90000,,163.50000,1560.60000,2272.30000,24015.90000,3387.30000,5412.40000,,5412.40000,8799.70000,4.00000,13644.30000,,15216.20000,24015.90000
2021-06-30,3613.20000,,16011.70000,19624.90000,367.00000,,163.50000,1491.00000,2168.60000,21793.50000,3252.20000,4416.30000,,4416.30000,7668.50000,4.00000,12376.90000,,14125.00000,21793.50000
2021-03-31,3987.70000,,14476.30000,18464.00000,895.00000,,163.50000,1418.50000,2619.80000,21083.80000,3335.50000,4472.30000,,4472.30000,7807.80000,4.00000,11333.50000,,13276.00000,21083.80000
2020-12-31,3913.80000,,13576.50000,17490.30000,748.40000,,163.50000,1236.20000,2290.10000,19780.40000,2784.50000,4225.60000,,4225.60000,7010.10000,4.00000,10476.70000,,12770.30000,19780.40000
2020-09-30,4569.10000,,12237.40000,16806.50000,683.70000,,163.50000,1113.70000,2105.80000,18912.30000,2507.50000,4283.30000,,4283.30000,6790.80000,3.90000,9757.80000,,12121.50000,18912.30000
2020-06-30,3875.30000,,12138.70000,16014.00000,631.90000,,163.50000,1005.90000,1959.90000,17973.90000,2349.50000,4297.30000,,4297.30000,6646.80000,3.90000,8992.50000,,11327.10000,17973.90000
2020-03-31,2916.70000,,12224.50000,15141.20000,589.70000,,163.50000,1086.10000,1988.80000,17130.00000,2088.60000,4306.60000,,4306.60000,6395.20000,3.90000,8425.40000,,10734.80000,17130.00000
2019-12-31,2621.00000,,11899.20000,14520.20000,563.40000,,163.50000,921.70000,1802.70000,16322.90000,2036.70000,3783.30000,,3783.30000,5820.00000,3.90000,8006.80000,,10502.90000,16322.90000
2019-09-30,2586.00000,,11282.00000,13868.00000,499.20000,,163.50000,912.80000,1738.60000,15606.60000,1912.10000,3399.40000,,3399.40000,5311.50000,3.90000,7640.10000,,10295.10000,15606.60000
2019-06-30,1840.20000,,11702.30000,13542.50000,454.20000,,163.50000,889.90000,1681.50000,15224.00000,1958.70000,3450.60000,,3450.60000,5409.30000,3.90000,7190.40000,,9814.70000,15224.00000
2019-03-31,1527.70000,,11920.30000,13448.00000,437.90000,,163.50000,785.70000,1559.00000,15007.00000,1850.60000,3622.40000,,3622.40000,5473.00000,3.90000,6771.60000,,9534.00000,15007.00000
2018-12-31,1390.50000,,11595.60000,12986.10000,391.10000,,158.40000,818.80000,1549.70000,14535.80000,1895.30000,3342.30000,,3342.30000,5237.60000,3.90000,6476.20000,,9298.20000,14535.80000
2018-09-30,2302.40000,,10395.00000,12697.40000,401.10000,11.00000,109.20000,701.90000,1417.20000,14114.60000,1752.20000,3203.50000,,3203.50000,4955.70000,3.90000,6217.90000,,9158.90000,14114.60000
2018-06-30,1916.80000,,10303.30000,12220.10000,385.20000,32.20000,109.20000,642.10000,1373.30000,13593.40000,1729.90000,3093.60000,,3093.60000,4823.50000,3.90000,5798.80000,,8769.90000,13593.40000
2018-03-31,1724.40000,,10144.40000,11868.80000,380.40000,32.10000,109.20000,607.70000,1349.30000,13218.10000,1612.30000,3233.90000,,3233.90000,4846.20000,3.90000,5392.10000,,8371.90000,13218.10000
2017-12-31,1512.20000,,10040.20000,11552.40000,357.70000,86.10000,100.00000,622.00000,1404.90000,12957.30000,1643.80000,3258.10000,,3258.10000,4901.90000,3.90000,5088.20000,,8055.40000,12957.30000
2017-09-30,1611.60000,,9237.10100,10848.70000,325.00000,,80.00000,565.90000,1335.90000,12184.60000,1565.40000,2871.60000,,2871.60000,4437.00000,3.80000,4946.00000,,7747.60000,12184.60000
2017-06-30,1150.70000,,9554.00000,10704.70000,282.80000,,80.00000,525.90000,1272.40000,11977.10000,1613.90000,2926.50000,,2926.50000,4540.40000,3.80000,4670.10000,,7436.70000,11977.10000
2017-03-31,1582.10000,,9038.10100,10620.20000,248.10000,,80.00000,521.20000,1300.90000,11921.10000,1478.60000,3222.40000,,3222.40000,4701.00000,3.80000,4418.60000,,7220.10000,11921.10000
2016-12-31,1707.40000,,8742.40000,10449.80000,218.40000,,80.00000,496.10000,1262.30000,11712.10000,1512.70000,3217.60000,,3217.60000,4730.30000,3.80000,4226.80000,,6981.80000,11712.10000
2016-09-30,1966.70000,,8340.90000,10307.60000,195.40000,,80.00000,499.60000,1251.30000,11558.90000,1494.60000,3271.30000,,3271.30000,4765.90000,3.80000,4057.20000,,6793.00000,11558.90000
