,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,40738.00000,13466.00000,5345.00000,59549.00000,79518.00000,6201.00000,21203.00000,6583.00000,126178.00000,185727.00000,27026.00000,9923.00000,7764.00000,32988.00000,60014.00000,64799.00000,-3530.00000,125713.00000,185727.00000
2022-09-30,41776.00000,11227.00000,5312.00000,58315.00000,73738.00000,6528.00000,21143.00000,5529.00000,120579.00000,178894.00000,22687.00000,9922.00000,7504.00000,32113.00000,54800.00000,67056.00000,-5054.00000,124094.00000,178894.00000
2022-06-30,40489.00000,11525.00000,3973.00000,55987.00000,67588.00000,6536.00000,21194.00000,4344.00000,113792.00000,169779.00000,22217.00000,,7003.00000,21795.00000,44012.00000,69249.00000,-3411.00000,125767.00000,169779.00000
2022-03-31,43890.00000,11390.00000,3985.00000,59265.00000,61582.00000,6775.00000,20833.00000,3522.00000,104953.00000,164218.00000,21086.00000,,7010.00000,19904.00000,40990.00000,67712.00000,-1996.00000,123228.00000,164218.00000
2021-12-31,47998.00000,14039.00000,4629.00000,66666.00000,57809.00000,6775.00000,19831.00000,2751.00000,99321.00000,165987.00000,21135.00000,,7227.00000,19973.00000,41108.00000,69761.00000,-693.00000,124879.00000,165987.00000
2021-09-30,58075.00000,12088.00000,5258.00000,75421.00000,53726.00000,6758.00000,19430.00000,3187.00000,94164.00000,169585.00000,17812.00000,,6859.00000,18413.00000,36225.00000,79233.00000,-207.00000,133360.00000,169585.00000
2021-06-30,64080.00000,11698.00000,4919.00000,80697.00000,50909.00000,6393.00000,19733.00000,2352.00000,89912.00000,170609.00000,14874.00000,,6552.00000,17508.00000,32382.00000,85097.00000,285.00000,138227.00000,170609.00000
2021-03-31,64219.00000,10276.00000,2827.00000,77322.00000,47720.00000,6342.00000,19561.00000,2376.00000,86201.00000,163523.00000,12717.00000,,6575.00000,17149.00000,29866.00000,82343.00000,154.00000,133657.00000,163523.00000
2020-12-31,61954.00000,11335.00000,2381.00000,75670.00000,45633.00000,6234.00000,19673.00000,2758.00000,83646.00000,159316.00000,14981.00000,,6414.00000,16045.00000,31026.00000,77345.00000,927.00000,128290.00000,159316.00000
2020-09-30,55620.00000,8024.00000,2155.00000,65799.00000,42291.00000,6164.00000,19775.00000,2969.00000,80638.00000,146437.00000,11944.00000,,7121.00000,16762.00000,28706.00000,68513.00000,308.00000,117731.00000,146437.00000
2020-06-30,58240.00000,7483.00000,2407.00000,68130.00000,39006.00000,,19888.00000,3238.00000,71561.00000,139691.00000,11308.00000,,8303.00000,17936.00000,29244.00000,62784.00000,-142.00000,110447.00000,139691.00000
2020-03-31,60289.00000,7289.00000,1771.00000,69349.00000,37127.00000,,19649.00000,2887.00000,69022.00000,138371.00000,15069.00000,,8489.00000,17998.00000,33067.00000,59160.00000,-544.00000,105304.00000,138371.00000
2019-12-31,54855.00000,9518.00000,1852.00000,66225.00000,35323.00000,86.00000,19609.00000,2673.00000,67151.00000,133376.00000,15053.00000,,7745.00000,17269.00000,32322.00000,55692.00000,-489.00000,101054.00000,133376.00000
2019-09-30,52269.00000,7673.00000,2137.00000,62079.00000,32284.00000,,19191.00000,2461.00000,62339.00000,124418.00000,13328.00000,,8735.00000,17091.00000,30419.00000,49789.00000,-849.00000,93999.00000,124418.00000
2019-06-30,48596.00000,7513.00000,1852.00000,57961.00000,29999.00000,,19328.00000,2446.00000,59045.00000,117006.00000,12979.00000,,8143.00000,15265.00000,28244.00000,44968.00000,-483.00000,88762.00000,117006.00000
2019-03-31,45243.00000,6475.00000,1582.00000,53300.00000,27345.00000,,19483.00000,2602.00000,56177.00000,109477.00000,9908.00000,6565.00000,6488.00000,13053.00000,22961.00000,43764.00000,-781.00000,86516.00000,109477.00000
2018-12-31,41114.00000,7587.00000,1779.00000,50480.00000,24683.00000,,19595.00000,2576.00000,46854.00000,97334.00000,7017.00000,,6190.00000,6190.00000,13207.00000,41981.00000,-760.00000,84127.00000,97334.00000
2018-09-30,41206.00000,6058.00000,1883.00000,49147.00000,21112.00000,,19755.00000,2438.00000,43305.00000,92452.00000,5462.00000,,6648.00000,6648.00000,12110.00000,38767.00000,-777.00000,80342.00000,92452.00000
2018-06-30,42309.00000,5590.00000,1934.00000,49833.00000,18357.00000,,19836.00000,2265.00000,40458.00000,90291.00000,4670.00000,,6239.00000,6239.00000,10909.00000,38237.00000,-687.00000,79382.00000,90291.00000
2018-03-31,43956.00000,5115.00000,1341.00000,50412.00000,16211.00000,,20003.00000,2319.00000,38533.00000,88945.00000,5086.00000,,6239.00000,6239.00000,11325.00000,36780.00000,-294.00000,77620.00000,88945.00000
2017-12-31,41711.00000,5832.00000,1020.00000,48563.00000,13721.00000,,20105.00000,2135.00000,35961.00000,84524.00000,3760.00000,,6417.00000,6417.00000,10177.00000,33990.00000,-227.00000,74347.00000,84524.00000
2017-09-30,38289.00000,4424.00000,1490.00000,44203.00000,12158.00000,,20263.00000,2374.00000,34795.00000,78998.00000,3305.00000,,4485.00000,4485.00000,7790.00000,31209.00000,-200.00000,71208.00000,78998.00000
2017-06-30,35452.00000,3897.00000,1455.00000,40804.00000,10628.00000,,20315.00000,2096.00000,33039.00000,73843.00000,3315.00000,,4047.00000,4047.00000,7362.00000,27560.00000,-370.00000,66481.00000,73843.00000
2017-03-31,32306.00000,3415.00000,1209.00000,36930.00000,9462.00000,,20486.00000,1836.00000,31784.00000,68714.00000,2928.00000,,3598.00000,3598.00000,6526.00000,24175.00000,-626.00000,62188.00000,68714.00000
2016-12-31,29449.00000,3993.00000,959.00000,34401.00000,8591.00000,,20657.00000,1312.00000,30560.00000,64961.00000,2875.00000,,2892.00000,2892.00000,5767.00000,21670.00000,-703.00000,59194.00000,64961.00000
2016-09-30,26140.00000,3070.00000,1118.00000,30328.00000,7899.00000,,20787.00000,660.00000,29346.00000,59674.00000,2595.00000,,2964.00000,2964.00000,5559.00000,15731.00000,-372.00000,54115.00000,59674.00000
2016-06-30,23293.00000,2801.00000,916.00000,27010.00000,7104.00000,,20922.00000,703.00000,28729.00000,55739.00000,2211.00000,,3145.00000,3145.00000,5356.00000,13352.00000,-374.00000,50383.00000,55739.00000
2016-03-31,20621.00000,2348.00000,843.00000,23812.00000,6467.00000,,21096.00000,700.00000,28263.00000,52075.00000,1809.00000,,3116.00000,3116.00000,4925.00000,11297.00000,-276.00000,47150.00000,52075.00000
2015-12-31,18434.00000,2559.00000,659.00000,21652.00000,5687.00000,,21272.00000,796.00000,27755.00000,49407.00000,1925.00000,107.00000,3157.00000,3264.00000,5189.00000,9787.00000,-455.00000,44218.00000,49407.00000
2015-09-30,15834.00000,2010.00000,1295.00000,19139.00000,5335.00000,,21461.00000,534.00000,27330.00000,46469.00000,1792.00000,109.00000,3148.00000,3257.00000,5049.00000,8226.00000,-380.00000,41420.00000,46469.00000
2015-06-30,14125.00000,1815.00000,1011.00000,16951.00000,4955.00000,,21630.00000,594.00000,27179.00000,44130.00000,1881.00000,110.00000,2687.00000,2797.00000,4678.00000,7330.00000,-357.00000,39452.00000,44130.00000
2015-03-31,12413.00000,1508.00000,1083.00000,15004.00000,4619.00000,,21779.00000,605.00000,27003.00000,42007.00000,1746.00000,113.00000,2647.00000,2760.00000,4506.00000,6611.00000,-447.00000,37501.00000,42007.00000
2014-12-31,11199.00000,1678.00000,513.00000,13390.00000,3967.00000,,21910.00000,699.00000,26576.00000,39966.00000,1424.00000,119.00000,2327.00000,2446.00000,3870.00000,6099.00000,-228.00000,36096.00000,39966.00000
2014-09-30,14250.00000,1363.00000,502.00000,16115.00000,3703.00000,,3929.00000,441.00000,8073.00000,24188.00000,1234.00000,129.00000,1587.00000,1716.00000,2950.00000,5398.00000,-109.00000,21238.00000,24188.00000
2014-06-30,13956.00000,1190.00000,411.00000,15557.00000,3334.00000,,1672.00000,206.00000,5212.00000,20769.00000,1214.00000,153.00000,1056.00000,1209.00000,2423.00000,4592.00000,-5.00000,18346.00000,20769.00000
2014-03-31,12629.00000,1006.00000,425.00000,14060.00000,3074.00000,,1682.00000,212.00000,4968.00000,19028.00000,1037.00000,191.00000,1063.00000,1254.00000,2291.00000,3801.00000,15.00000,16737.00000,19028.00000
2013-12-31,11449.00000,1109.00000,512.00000,13070.00000,2882.00000,,1722.00000,221.00000,4825.00000,17895.00000,1100.00000,237.00000,1088.00000,1325.00000,2425.00000,3159.00000,14.00000,15470.00000,17895.00000
2013-09-30,9328.00000,879.00000,342.00000,10549.00000,2685.00000,,1609.00000,90.00000,4384.00000,14933.00000,984.00000,287.00000,614.00000,901.00000,1885.00000,2636.00000,13.00000,13048.00000,14933.00000
2013-06-30,10252.00000,782.00000,387.00000,11421.00000,2577.00000,,1631.00000,95.00000,4303.00000,15724.00000,1080.00000,1851.00000,444.00000,2295.00000,3375.00000,2211.00000,-29.00000,12349.00000,15724.00000
2013-03-31,9472.00000,1085.00000,485.00000,11042.00000,2533.00000,,1501.00000,87.00000,4121.00000,15163.00000,1063.00000,1920.00000,356.00000,2276.00000,3339.00000,1878.00000,-15.00000,11824.00000,15163.00000
2012-12-31,9626.00000,1170.00000,471.00000,11267.00000,2391.00000,,1388.00000,57.00000,3836.00000,15103.00000,1052.00000,1991.00000,305.00000,2296.00000,3348.00000,1659.00000,2.00000,11755.00000,15103.00000
2012-09-30,10452.00000,1202.00000,631.00000,12285.00000,2289.00000,,1423.00000,41.00000,3753.00000,16038.00000,1080.00000,530.00000,254.00000,784.00000,1864.00000,1595.00000,-6.00000,14174.00000,16038.00000
2012-06-30,10188.00000,1145.00000,634.00000,11967.00000,2105.00000,,809.00000,47.00000,2961.00000,14928.00000,1034.00000,394.00000,191.00000,585.00000,1619.00000,1654.00000,-29.00000,13309.00000,14928.00000
2012-03-31,3910.00000,482.00000,302.00000,4694.00000,1855.00000,,189.00000,121.00000,2165.00000,6859.00000,1039.00000,404.00000,144.00000,548.00000,1587.00000,1811.00000,-7.00000,5272.00000,6859.00000
2011-12-31,3908.00000,547.00000,149.00000,4604.00000,1475.00000,,162.00000,90.00000,1727.00000,6331.00000,899.00000,398.00000,135.00000,533.00000,1432.00000,1606.00000,-6.00000,4899.00000,6331.00000
2011-09-30,,,,,,,,,,0.00000,,,,,,,,,
2011-06-30,,,,,,,,,,0.00000,,,,,,,,,
2011-03-31,,,,,,,,,,0.00000,,,,,,,,,
2010-12-31,1785.00000,373.00000,88.00000,2246.00000,820.00000,,,,820.00000,2990.00000,389.00000,250.00000,,250.00000,828.00000,606.00000,-6.00000,2162.00000,
2010-09-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000
2010-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000
2010-03-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000
2009-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000
