,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3912.99600,19.54200,834.40100,63.54800,81.54100,4912.02800,2166.77600,529.97400,55.30000,2967.21000,7879.23800,937.55900,2073.17600,518.80200,2591.97800,3529.53700,0.18300,-7370.33200,-11.57200,4349.70100,7879.23800
2022-09-30,3342.18100,2.65900,685.32100,57.25900,69.00800,4156.42800,1954.31000,513.73500,51.49400,2731.38300,6887.81100,825.12400,2069.94200,761.49800,2831.44000,3656.56400,0.16800,-6897.68400,-13.26600,3231.24700,6887.81100
2022-06-30,4294.08200,1.29400,553.04500,48.96300,69.10500,4966.48900,1615.43500,278.05500,71.23300,2162.93000,7129.41900,654.09600,1994.57700,770.36000,2764.93700,3419.03300,0.16700,-6367.58300,-0.69100,3710.38600,7129.41900
2022-03-31,5391.84400,0.86700,333.90600,42.32500,95.48900,5864.43100,1327.54400,,43.24000,1537.40900,7401.84000,511.94000,1994.08600,1066.34500,3060.43100,3572.37100,0.16700,-6147.15800,,3829.46900,7401.84000
2021-12-31,6262.90500,3.14800,127.25000,70.34600,43.32800,6506.97700,1182.15300,,30.60900,1374.73600,7881.71300,396.10100,1992.87400,1583.38300,3576.25700,3972.35800,0.16500,-6065.87200,,3909.35500,7881.71300
2021-09-30,4797.38500,27.69500,61.15500,80.35300,20.21300,4986.80100,965.90100,,42.70000,1152.38300,6139.18400,269.40800,4.68700,1019.93100,1024.61800,1294.02600,0.16400,-5020.19200,,4845.15800,6139.18400
2021-06-30,1.00020,,,0.67530,,1.67550,,2070.29100,,2070.29100,2071.96600,2.05080,,3742.09600,3742.09600,3744.14600,0.00520,-1672.18500,,-1672.18000,2071.96600
2021-03-31,2.06810,,,0.84570,,2.91380,,2070.26700,,2070.26700,2073.18100,1.82490,,3154.71700,3154.71700,3156.54200,0.00520,-1083.36600,,-1083.36000,2073.18100
2020-12-31,,,,,,,,,,,0.00000,,,,,,,,,,
2020-09-30,4.21840,,,1.09160,,5.31000,,2070.16800,,2070.17700,2075.48700,0.03330,,2070.45400,2070.45400,2070.48700,0.00590,-0.15660,,5.00000,2075.48700
2020-06-30,0.17210,,,,,0.38300,,,,,0.38300,0.35900,,,,0.35900,0.00520,-0.00100,,0.02400,0.38300
2019-12-31,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
