,cash-on-hand,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,20104.00000,20104.00000,408127.00000,230191.00000,657652.00000,677756.00000,410708.00000,19898.00000,229970.00000,249868.00000,660576.00000,6.00000,34399.00000,-20874.00000,17180.00000,677756.00000
2022-06-30,14359.00000,14359.00000,421194.00000,241414.00000,681240.00000,695599.00000,406006.00000,19612.00000,241063.00000,260675.00000,666681.00000,6.00000,35137.00000,-10178.00000,28918.00000,695599.00000
2022-03-31,14086.00000,14086.00000,463175.00000,240187.00000,863980.00000,878066.00000,407389.00000,19689.00000,259552.00000,425999.00000,833388.00000,6.00000,36159.00000,4205.00000,44678.00000,878066.00000
2021-12-31,12888.00000,12888.00000,495054.00000,257655.00000,924694.00000,937582.00000,414139.00000,18622.00000,281341.00000,460835.00000,874974.00000,6.00000,36652.00000,21324.00000,62608.00000,937582.00000
2021-09-30,15605.00000,15605.00000,491598.00000,263402.00000,916977.00000,932582.00000,414967.00000,18687.00000,285093.00000,455056.00000,870023.00000,6.00000,35887.00000,21836.00000,62559.00000,932582.00000
2021-06-30,15145.00000,15145.00000,528581.00000,363706.00000,911316.00000,926461.00000,449690.00000,19670.00000,383221.00000,413087.00000,862777.00000,6.00000,34808.00000,23277.00000,63684.00000,926461.00000
2021-03-31,16099.00000,16099.00000,521892.00000,350016.00000,891181.00000,907280.00000,451630.00000,19730.00000,367808.00000,396874.00000,848504.00000,6.00000,33110.00000,19219.00000,58776.00000,907280.00000
2020-12-31,13701.00000,13701.00000,556813.00000,351181.00000,927021.00000,940722.00000,468950.00000,19718.00000,371822.00000,403562.00000,872512.00000,6.00000,30749.00000,30738.00000,68210.00000,940722.00000
2020-09-30,20658.00000,20658.00000,544182.00000,328150.00000,890931.00000,911589.00000,464192.00000,20169.00000,348227.00000,380507.00000,844699.00000,6.00000,30372.00000,30001.00000,66890.00000,911589.00000
2020-06-30,21149.00000,21149.00000,551228.00000,323343.00000,894238.00000,915387.00000,472126.00000,20162.00000,343330.00000,376753.00000,848879.00000,6.00000,29326.00000,30837.00000,66508.00000,915387.00000
2020-03-31,31646.00000,31646.00000,527897.00000,294431.00000,842066.00000,873712.00000,469254.00000,20149.00000,312120.00000,343386.00000,812640.00000,6.00000,32176.00000,22600.00000,61072.00000,873712.00000
2019-12-31,16327.00000,16327.00000,526090.00000,334223.00000,880225.00000,896552.00000,447570.00000,18646.00000,355239.00000,385263.00000,832833.00000,6.00000,32991.00000,24039.00000,63719.00000,896552.00000
2019-09-30,18289.00000,18289.00000,526752.00000,321101.00000,867337.00000,885626.00000,445759.00000,19151.00000,341738.00000,373553.00000,819312.00000,6.00000,32269.00000,27558.00000,66314.00000,885626.00000
2019-06-30,15421.00000,15421.00000,515367.00000,323497.00000,858404.00000,873825.00000,439614.00000,17841.00000,342732.00000,372058.00000,811672.00000,6.00000,31263.00000,23982.00000,62153.00000,873825.00000
2019-03-31,14699.00000,14699.00000,497636.00000,317011.00000,834625.00000,849324.00000,430858.00000,18309.00000,334676.00000,363016.00000,793874.00000,6.00000,30966.00000,17218.00000,55450.00000,849324.00000
2018-12-31,15353.00000,15353.00000,482563.00000,297104.00000,799725.00000,815078.00000,426635.00000,17378.00000,314098.00000,339412.00000,766047.00000,6.00000,30470.00000,10906.00000,49031.00000,815078.00000
2018-09-30,12466.00000,12466.00000,468152.00000,322341.00000,810282.00000,822748.00000,412320.00000,17421.00000,338911.00000,363346.00000,775666.00000,6.00000,30005.00000,9150.00000,47082.00000,822748.00000
2018-06-30,14918.00000,14918.00000,467754.00000,317545.00000,804942.00000,819860.00000,411850.00000,16732.00000,334798.00000,359418.00000,771268.00000,6.00000,28713.00000,11655.00000,48592.00000,819860.00000
