,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2012-12-31,11448.00000,3817.00000,6031.00000,21296.00000,7060.00000,2552.00000,1647.00000,11259.00000,32555.00000,19002.00000,3084.00000,2277.00000,5361.00000,24363.00000,5.00000,1916.00000,-239.00000,8192.00000,32555.00000
2012-09-30,5248.00000,2392.00000,5065.00000,13118.00000,5662.00000,2540.00000,1476.00000,9716.00000,22834.00000,12605.00000,2676.00000,,2676.00000,15281.00000,5.00000,1818.00000,-296.00000,7553.00000,22834.00000
2012-06-30,4970.00000,2035.00000,4380.00000,11793.00000,5097.00000,2521.00000,1585.00000,9229.00000,21022.00000,10964.00000,2553.00000,,2553.00000,13517.00000,5.00000,2092.00000,-328.00000,7505.00000,21022.00000
2012-03-31,5715.00000,1813.00000,4255.00000,12154.00000,4653.00000,1970.00000,1535.00000,8185.00000,20339.00000,10488.00000,2580.00000,,2580.00000,13068.00000,5.00000,2085.00000,-174.00000,7271.00000,20339.00000
2011-12-31,9576.00000,2571.00000,4992.00000,17490.00000,4417.00000,1955.00000,1388.00000,7788.00000,25278.00000,14896.00000,255.00000,2370.00000,2625.00000,17521.00000,5.00000,1955.00000,-316.00000,7757.00000,25278.00000
2011-09-30,6326.00000,1496.00000,3770.00000,11904.00000,3999.00000,1934.00000,1190.00000,7150.00000,19054.00000,8978.00000,2310.00000,,2310.00000,11288.00000,5.00000,1778.00000,-241.00000,7766.00000,19054.00000
2011-06-30,6355.00000,1438.00000,3229.00000,11279.00000,3470.00000,1909.00000,1253.00000,6662.00000,17941.00000,8045.00000,2131.00000,,2131.00000,10176.00000,5.00000,1715.00000,-30.00000,7765.00000,17941.00000
2011-03-31,6881.00000,1304.00000,2888.00000,11288.00000,2902.00000,1513.00000,1151.00000,5594.00000,16882.00000,7730.00000,1805.00000,,1805.00000,9535.00000,5.00000,1525.00000,-66.00000,7347.00000,16882.00000
2010-12-31,8762.00000,1587.00000,3202.00000,13747.00000,2414.00000,1349.00000,1265.00000,5050.00000,18797.00000,10372.00000,1561.00000,,1561.00000,11933.00000,5.00000,1324.00000,-190.00000,6864.00000,18797.00000
2010-09-30,5885.00000,959.00000,2515.00000,9559.00000,2099.00000,1277.00000,1184.00000,4603.00000,14162.00000,6375.00000,164.00000,1226.00000,1390.00000,7765.00000,5.00000,908.00000,-131.00000,6397.00000,14162.00000
2010-06-30,5108.00000,805.00000,1940.00000,8118.00000,1704.00000,1229.00000,1317.00000,4279.00000,12397.00000,5250.00000,132.00000,1158.00000,1290.00000,6540.00000,5.00000,678.00000,-282.00000,5857.00000,12397.00000
2010-03-31,5063.00000,815.00000,1820.00000,7964.00000,1436.00000,1234.00000,1392.00000,4078.00000,12042.00000,5193.00000,131.00000,1100.00000,1231.00000,6424.00000,5.00000,471.00000,-145.00000,5618.00000,12042.00000
2009-12-31,6366.00000,988.00000,2171.00000,9797.00000,1290.00000,1234.00000,1474.00000,4016.00000,13813.00000,7364.00000,,1192.00000,1192.00000,8556.00000,5.00000,172.00000,-56.00000,5257.00000,13813.00000
2009-09-30,4001.00000,671.00000,1617.00000,6369.00000,1086.00000,457.00000,854.00000,2603.00000,8972.00000,4537.00000,116.00000,734.00000,850.00000,5387.00000,4.00000,-212.00000,-35.00000,3585.00000,8972.00000
2009-06-30,3212.00000,584.00000,1325.00000,5304.00000,981.00000,451.00000,821.00000,2371.00000,7675.00000,3636.00000,109.00000,674.00000,783.00000,4419.00000,4.00000,-411.00000,-58.00000,3256.00000,7675.00000
2009-03-31,2730.00000,587.00000,1266.00000,4775.00000,889.00000,433.00000,765.00000,2205.00000,6980.00000,3410.00000,74.00000,578.00000,652.00000,4062.00000,4.00000,-553.00000,-143.00000,2918.00000,6980.00000
