,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,123.53100,393.41800,14754.58000,2632.14000,17386.72000,17915.57000,,7210.12100,737.40700,7960.79800,8075.72100,6.18500,78.79000,6.68800,9839.84800,17915.57000
2022-06-30,296.79800,556.93800,14843.36000,2653.18200,17496.54000,18197.57000,,7403.10500,688.02300,8104.39800,8225.83200,6.18500,163.21000,6.47600,9971.73700,18197.57000
2022-03-31,370.31800,624.00500,14956.06000,2817.72900,17773.79000,18543.58000,,7489.44800,702.87600,8205.80500,8328.41900,6.18000,412.65900,2.21600,10215.16000,18543.58000
2021-12-31,334.66300,589.34000,15041.57000,2536.36800,17722.40000,18459.20000,220.30800,7475.70200,515.74800,8004.93000,8349.01700,6.16700,299.11500,2.21600,10110.18000,18459.20000
2021-09-30,483.47100,718.55300,14783.98000,2938.78100,17722.77000,18590.52000,,7516.68100,777.61700,8310.08200,8435.09700,6.16400,328.60900,,10155.42000,18590.52000
2021-06-30,230.06200,430.18300,9269.21400,1759.60100,11028.81000,11558.92000,,5215.50500,460.92600,5692.21500,5786.70700,4.33500,-68.26500,,5772.21500,11558.92000
2021-03-31,253.85200,454.50700,9415.71100,1728.05200,11143.76000,11699.70000,,5341.48100,516.07000,5875.40300,5971.23300,4.33400,-104.90900,,5728.46700,11699.70000
2020-12-31,293.18800,512.43600,9351.71300,1512.01300,10999.69000,11614.50000,146.45700,5355.48000,329.90400,5701.16800,5944.24400,4.32500,-162.81200,,5670.25400,11614.50000
2020-09-30,324.97700,564.84100,9379.20900,1485.33500,10864.54000,11524.19000,,5357.37800,522.55100,5897.87200,5986.76500,4.32500,-288.49100,,5537.42700,11524.19000
2020-06-30,201.68700,451.83700,9402.71700,1608.97900,11011.70000,11559.97000,,5350.37800,482.91100,5851.23200,5941.59600,4.32500,-200.49200,,5618.37400,11559.97000
2020-03-31,451.79600,672.01100,9410.15600,1125.17700,10535.33000,11305.13000,,5708.53500,614.64100,6341.11900,6432.66500,4.32500,-942.03100,,4872.46900,11305.13000
2019-12-31,123.94700,342.63600,9429.22300,976.55300,10556.11000,10997.87000,170.08200,5315.76700,472.45700,5806.16700,6068.96000,4.31800,-904.67900,,4928.90700,10997.87000
2019-09-30,141.31000,332.74600,9473.09900,1181.07600,10654.17000,11085.13000,,5312.62800,682.71800,6019.04100,6110.66200,4.22200,-883.74100,,4974.46900,11085.13000
2019-06-30,113.99100,296.36000,9468.99900,1175.54700,10644.55000,11040.90000,,4905.50200,651.01700,5580.20900,5673.44200,4.22100,-835.93400,,5367.46100,11040.90000
2019-03-31,143.67300,327.32300,9497.65700,1141.04300,10638.70000,11070.20000,,4868.75400,683.77100,5576.20900,5673.34200,4.22000,-804.24100,,5396.85800,11070.20000
2018-12-31,143.58100,328.10900,9491.90300,1022.93300,10670.99000,10999.10000,174.90300,4873.87200,515.59000,5413.14400,5588.04700,4.21400,-787.70700,,5411.05300,10999.10000
2018-09-30,146.38600,359.04800,9583.66800,1166.80500,10750.47000,11109.52000,,4887.47400,745.87600,5653.42400,5653.42400,4.21400,-743.34600,,5456.09700,11109.52000
2018-06-30,305.57700,517.15500,9656.70400,1117.92400,10774.63000,11291.78000,,5068.71600,717.93800,5802.80500,5802.80500,4.21400,-710.98100,0.07200,5488.97800,11291.78000
2018-03-31,218.31300,424.22200,9828.58100,1119.69900,10948.28000,11372.50000,,5097.32200,756.63200,5870.10000,5870.10000,4.24900,-743.84500,-0.06600,5502.40200,11372.50000
2017-12-31,238.51300,450.10800,10220.39000,937.75310,11313.62000,11763.73000,185.70200,5478.92700,560.80700,6055.87700,6241.57900,4.25600,-761.33700,-1.48000,5522.14700,11763.73000
2017-09-30,156.58800,361.13800,10132.92000,1208.18500,11341.10000,11702.24000,,5551.27100,726.68700,6294.09700,6294.09700,4.25600,-715.62100,-1.72700,5408.14400,11702.24000
2017-06-30,143.09900,342.50100,9961.99300,1253.82600,11215.82000,11558.32000,,5390.18000,646.47600,6132.71800,6132.71800,4.25600,-709.67100,6.07300,5425.60200,11558.32000
2017-03-31,167.45400,366.09300,9736.90100,1145.42500,10882.33000,11248.42000,,5124.88300,666.95900,5888.87300,5888.87300,4.25600,-726.61000,6.48500,5359.54600,11248.42000
2016-12-31,142.48600,347.50600,9729.78300,1005.61700,10883.09000,11230.60000,145.75100,5066.36800,528.65400,5681.97500,5827.72600,4.25000,-676.86700,5.76600,5402.87400,11230.60000
2016-09-30,170.54500,365.55600,9682.08500,1158.46100,10840.55000,11206.10000,,5000.04100,687.24300,5774.14000,5774.14000,4.25000,-628.82600,6.14500,5431.96200,11206.10000
2016-06-30,337.81500,534.33200,9465.29400,1392.80600,10858.10000,11392.43000,,5188.81700,672.15600,5947.74700,5947.74700,4.20000,-465.34800,7.15000,5444.68500,11392.43000
2016-03-31,222.00000,420.00500,9346.35500,1483.00100,10829.36000,11249.36000,,5162.46200,682.83700,5932.00400,5932.00400,4.18300,-550.10300,7.49600,5317.35700,11249.36000
2015-12-31,189.53400,388.61000,9453.48900,1349.72300,10955.56000,11344.17000,150.05900,5376.31000,549.14200,6012.16100,6162.21900,4.13400,-572.33500,5.58800,5181.95100,11344.17000
2015-09-30,180.91300,379.87800,9414.24700,1619.85900,11034.11000,11413.98000,,5498.58600,733.00100,6324.32600,6324.32200,4.13200,-832.74600,-14.74400,5089.65800,11413.98000
2015-06-30,145.83200,346.59000,9426.68200,1694.03200,11120.71000,11467.30000,,5537.77200,702.55200,6331.79000,6331.78600,4.13100,-796.57100,-1.90600,5135.51400,11467.30000
2015-03-31,220.97700,472.76200,9491.88400,1769.24200,11261.13000,11733.89000,,5721.25100,714.17800,6526.95600,6526.95800,4.12700,-809.84900,50.95600,5206.93200,11733.89000
2014-12-31,187.32200,433.72100,8062.82000,1606.55700,9827.67900,10261.40000,129.50900,4595.97000,542.67600,5230.12500,5359.63500,4.11800,-1006.57800,45.12200,4901.76500,10261.40000
2014-09-30,154.19000,338.07200,7963.00100,1992.13800,9955.13900,10293.21000,,4697.31700,668.78400,5457.51400,5457.51300,4.11300,-945.94900,-68.62000,4835.69700,10293.21000
2014-06-30,192.18300,377.79800,7832.65700,1979.91700,9812.57400,10190.37000,,4730.37100,619.91900,5441.65300,5441.65100,4.11000,-1033.53500,-59.59200,4748.71900,10190.37000
2014-03-31,268.91100,450.91400,7389.02900,1993.75400,9382.78300,9833.69700,,4380.34600,619.70200,5091.36700,5091.36700,4.10500,-1015.99500,-76.87000,4742.33000,9833.69700
2013-12-31,148.76800,343.33700,7244.66300,1899.93200,9320.29300,9663.63000,124.29000,4221.40100,462.26000,4769.81400,4894.10400,4.09700,-996.05800,-64.98200,4769.52600,9663.63000
2013-09-30,401.73000,607.56400,7183.56700,2161.94800,9345.51500,9953.07900,,4380.65200,646.37200,5112.92700,5112.92700,4.09700,-950.90500,-44.12800,4840.15200,9953.07900
2013-06-30,156.45000,390.93600,7381.10100,2216.43400,9597.53500,9988.47100,,4464.77400,571.93000,5122.19000,5122.19000,4.09600,-906.07000,-61.79800,4866.28100,9988.47100
