,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2891.07400,20.84200,1788.27500,4700.19100,61.50900,48.92700,619.66900,960.78200,5660.97300,832.64600,914.88800,313.80400,1321.47800,2154.12400,0.20600,11773.41000,3506.84900,5660.97300
2022-09-30,2137.19400,28.37800,2170.44900,4336.02100,59.23200,48.92700,860.88700,1053.51300,5389.53400,923.11400,915.34600,376.16000,1381.58100,2304.69500,0.20600,11318.65000,3084.83900,5389.53400
2022-06-30,1899.32500,29.00700,2378.74500,4307.07700,60.69300,48.92700,789.27400,980.62190,5287.69900,853.81800,915.80100,439.11900,1442.21500,2296.03300,0.20600,10907.25000,2991.66600,5287.69900
2022-03-31,2539.55300,23.47100,2193.63900,4756.66300,60.21500,48.92700,792.09800,969.55000,5726.21300,957.70500,1515.96400,453.17800,2042.90900,3000.61400,0.20600,10473.94000,2725.59900,5726.21300
2021-12-31,2938.90800,18.55200,1947.36600,4904.82600,60.63700,48.92700,618.42300,929.64900,5834.47500,823.81400,1516.25500,417.46300,2008.28300,2832.09700,0.20600,10047.84000,3002.37800,5834.47500
2021-09-30,3035.31400,22.52500,1863.52500,4921.36400,59.20100,48.92700,688.05000,867.53000,5788.89400,796.20600,1516.54400,381.59400,1975.63700,2771.84300,0.20600,9713.25800,3017.05100,5788.89400
2021-06-30,3009.23300,24.48400,1973.37300,5007.09000,58.61500,48.92700,666.43700,847.34600,5854.43600,850.01600,1516.83000,365.44300,1962.13200,2812.14800,0.20600,9381.17700,3042.28800,5854.43600
2021-03-31,3149.02600,22.05900,1829.79200,5000.87700,60.18000,48.92700,647.96700,819.93100,5820.80800,873.06500,1517.11400,314.45300,1901.23600,2774.30100,0.20600,9059.88200,3046.50700,5820.80800
2020-12-31,3259.27300,18.29900,1709.08200,4986.65400,62.33000,48.92700,480.70100,790.48700,5777.14100,843.25800,1517.39500,240.75800,1830.80900,2674.06700,0.20600,8811.12000,3103.07400,5777.14100
2020-09-30,2933.13100,21.46100,1763.18600,4717.77800,63.46600,48.92700,601.40900,782.14200,5499.92000,776.07500,1517.98200,211.12200,1804.85200,2580.92700,0.20600,8506.11600,2918.99300,5499.92000
2020-06-30,2352.93300,20.80100,1602.54000,3976.27400,55.71700,48.92700,577.17500,753.74600,4730.02000,685.86700,1193.96200,158.01600,1431.74100,2117.60800,0.20600,8249.65000,2612.41200,4730.02000
2020-03-31,1548.93500,27.08900,1515.64000,3091.66400,56.48400,48.92700,614.83200,795.85900,3887.52300,641.35500,598.45590,147.16100,829.24900,1470.60400,0.20600,8085.57500,2416.91900,3887.52300
2019-12-31,1652.64800,18.27800,1347.28800,3018.21400,58.08800,48.92700,491.68500,791.60100,3809.81500,653.00700,598.30100,131.88600,815.56400,1468.57100,0.20600,7909.87200,2341.24400,3809.81500
2019-09-30,1526.99000,29.27600,1496.44900,3052.71500,56.52100,48.92700,607.83400,790.64400,3843.35900,645.14500,598.14600,142.93700,826.75700,1471.90200,0.20600,7653.73500,2371.45700,3843.35900
2019-06-30,1368.80800,28.94300,1397.72800,2795.47900,54.51900,48.92700,625.21000,807.76100,3603.24000,652.27200,597.99100,146.20700,831.52910,1483.80100,0.20600,7429.94800,2119.43900,3603.24000
2019-03-31,1262.95600,30.48800,1281.16900,2574.61300,49.54300,48.92700,611.79900,788.15800,3362.77100,637.32600,597.83600,142.63400,826.66890,1463.99500,0.20600,7219.73900,1898.77600,3362.77100
2018-12-31,1190.25200,18.64100,1253.11000,2462.00300,48.74400,48.92700,493.92600,703.93000,3165.93300,621.44400,597.68100,138.24600,735.92700,1357.37100,0.20600,7031.33300,1808.56200,3165.93300
2018-09-30,955.15890,26.36300,1421.07000,2402.59200,49.16200,48.92700,589.14200,687.23100,3089.82300,642.30400,597.52700,167.67600,765.20300,1407.50700,0.20600,6799.17500,1682.31600,3089.82300
2018-06-30,857.15800,30.17900,1433.61500,2320.95200,48.63000,48.92700,590.88600,688.44300,3009.39500,632.41800,597.37300,172.03300,769.40600,1401.82400,0.20600,6603.35900,1607.57100,3009.39500
2018-03-31,793.58610,22.37400,1344.39200,2160.35200,47.56300,48.92700,589.22300,685.71300,2846.06500,614.55100,597.22000,167.48600,764.70590,1379.25700,0.20600,6400.18500,1466.80800,2846.06500
2017-12-31,1040.97700,20.02600,1246.19900,2307.20200,49.51800,48.92700,471.67900,682.07700,2989.27900,636.68800,597.06600,150.03300,747.09900,1383.78700,0.20600,6231.94000,1605.49200,2989.27900
2017-09-30,901.30990,20.44800,1376.55900,2298.31700,50.13000,50.49000,649.35200,751.19400,3049.51100,638.78400,596.91300,163.13800,760.05100,1398.83500,0.20600,6107.32100,1650.67600,3049.51100
2017-06-30,788.37510,22.11000,1364.95100,2175.43600,49.52500,409.24000,282.64300,742.65100,2918.08700,618.99190,596.76000,166.55800,763.31800,1382.31000,0.20600,5945.21900,1535.77700,2918.08700
2017-03-31,722.96300,19.87600,1232.43400,1975.27300,50.55000,51.18100,664.04700,767.02600,2742.29900,588.18000,596.60700,149.23200,745.83900,1334.01900,0.20600,5797.34200,1408.28000,2742.29900
2016-12-31,766.78100,18.93700,1092.10000,1877.81800,50.81800,48.92700,495.72800,766.12500,2643.94300,620.81100,596.45500,122.23600,718.69100,1339.50200,0.20600,5695.37600,1304.44100,2643.94300
2016-09-30,552.52100,13.92100,1316.73000,1883.17200,50.40600,51.87200,676.51900,780.04400,2663.21600,622.20000,596.30300,145.57400,741.87700,1364.07700,0.20600,5544.48500,1299.13900,2663.21600
2016-06-30,638.34700,17.46400,1247.61400,1903.42500,51.14600,52.21800,690.32400,794.99900,2698.42400,601.97500,596.15100,142.69700,738.84800,1340.82300,0.20600,5427.09300,1357.60100,2698.42400
2016-03-31,317.98700,13.82900,1261.13500,1592.95100,50.02600,241.75400,655.18900,948.70000,2541.65100,561.40700,595.99900,127.78200,723.78100,1285.18800,0.20600,5335.41700,1256.46300,2541.65100
2015-12-31,769.35700,11.48200,1006.52600,1787.36500,49.96400,52.90900,457.92600,724.35300,2511.71800,564.65000,595.84700,112.05600,707.90300,1272.55300,0.20600,5270.11400,1239.16500,2511.71800
2015-09-30,646.36700,9.85000,1161.45500,1817.67200,50.41300,53.25400,647.54400,753.01000,2570.68200,597.26400,599.23700,133.69100,732.92800,1330.19200,0.20600,5136.11000,1240.49000,2570.68200
2015-06-30,761.14900,15.98700,1085.09100,1862.22700,50.74600,53.60000,626.76000,734.00800,2596.23500,582.10600,599.21300,140.03500,739.24800,1321.35400,0.20600,5019.64000,1274.88100,2596.23500
2015-03-31,685.75290,10.02400,954.58100,1650.35800,52.30000,53.94600,615.98500,725.77600,2376.13400,484.16500,599.18900,127.54300,726.73210,1210.89700,0.20600,4926.24500,1165.23700,2376.13400
2014-12-31,750.60210,10.02100,869.48600,1630.10900,52.43100,54.29100,445.72500,721.22600,2351.33500,519.47700,599.16600,108.43700,707.60300,1227.08000,0.20600,4887.18700,1124.25500,2351.33500
2014-09-30,662.29200,11.46500,1013.73300,1687.49000,52.82400,54.63700,611.89300,725.58600,2413.07600,540.13500,599.14300,122.40400,721.54700,1261.68200,0.20600,4787.73600,1151.39400,2413.07600
2014-06-30,722.32900,15.19600,952.50500,1690.03000,50.68500,54.98200,579.56400,692.03300,2382.06300,551.87300,599.12000,131.85500,730.97500,1282.84800,0.20600,4697.58400,1099.21500,2382.06300
2014-03-31,1002.37200,10.05500,841.99800,1854.42500,39.32000,55.32800,569.09200,670.32800,2524.75300,476.63000,599.09800,122.94300,722.04100,1198.67100,0.20600,4629.40600,1326.08200,2524.75300
2013-12-31,1076.22600,9.52900,738.56500,1824.32000,37.29800,55.67400,399.21000,661.82800,2486.14800,519.68800,599.07500,106.03300,705.10800,1224.79600,0.20600,4605.55700,1261.35200,2486.14800
2013-09-30,965.51700,13.13700,917.07000,1895.72400,35.78700,56.44700,521.13100,623.17300,2518.89700,519.48800,599.05300,125.26200,724.31500,1243.80300,0.20600,4507.74600,1275.09400,2518.89700
2013-06-30,953.55000,14.82200,940.28000,1908.65200,32.70100,57.22100,522.38400,622.51500,2531.16700,470.18800,599.03100,141.66900,740.70000,1210.88800,0.20600,4424.81100,1320.27900,2531.16700
