,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,20.00000,516.00000,325.00000,,389.00000,1250.00000,16247.00000,559.00000,1880.00000,18913.00000,20163.00000,2363.00000,7668.00000,1636.00000,11524.00000,13887.00000,3.00000,3509.00000,,6276.00000,20163.00000
2022-09-30,344.00000,509.00000,299.00000,,541.00000,1693.00000,15858.00000,551.00000,1864.00000,18512.00000,20205.00000,2422.00000,7570.00000,1680.00000,11518.00000,13940.00000,3.00000,3508.00000,,6265.00000,20205.00000
2022-06-30,19.00000,490.00000,240.00000,,559.00000,1308.00000,15453.00000,546.00000,1863.00000,18083.00000,19391.00000,2276.00000,6981.00000,1641.00000,10949.00000,13225.00000,3.00000,3387.00000,,6166.00000,19391.00000
2022-03-31,67.00000,481.00000,185.00000,,359.00000,1092.00000,15192.00000,533.00000,1831.00000,17747.00000,18839.00000,1521.00000,7383.00000,1537.00000,11241.00000,12762.00000,3.00000,3336.00000,,6077.00000,18839.00000
2021-12-31,39.00000,440.00000,246.00000,,344.00000,1069.00000,14987.00000,517.00000,1836.00000,17484.00000,18553.00000,2054.00000,6735.00000,1473.00000,10509.00000,12563.00000,3.00000,3250.00000,,5990.00000,18553.00000
2021-09-30,20.00000,392.00000,218.00000,,385.00000,1015.00000,14738.00000,514.00000,1907.00000,17314.00000,18329.00000,1557.00000,6692.00000,1537.00000,10587.00000,12144.00000,3.00000,3261.00000,-1.00000,6185.00000,18329.00000
2021-06-30,15.00000,377.00000,208.00000,,299.00000,899.00000,14540.00000,506.00000,1900.00000,17040.00000,17939.00000,1639.00000,6468.00000,1471.00000,10281.00000,11920.00000,3.00000,3106.00000,-1.00000,6019.00000,17939.00000
2021-03-31,14.00000,325.00000,204.00000,,212.00000,755.00000,14353.00000,494.00000,1912.00000,16839.00000,17594.00000,1408.00000,6471.00000,1411.00000,10220.00000,11628.00000,3.00000,3063.00000,-1.00000,5966.00000,17594.00000
2020-12-31,54.00000,412.00000,217.00000,,204.00000,887.00000,14336.00000,485.00000,1929.00000,16823.00000,17710.00000,1297.00000,6769.00000,1431.00000,10525.00000,11822.00000,2.00000,2994.00000,-1.00000,5888.00000,17710.00000
2020-09-30,189.00000,399.00000,223.00000,30.00000,192.00000,1033.00000,14199.00000,478.00000,1762.00000,16507.00000,17540.00000,1295.00000,6574.00000,1536.00000,10336.00000,11631.00000,2.00000,3026.00000,-1.00000,5909.00000,17540.00000
2020-06-30,208.10000,386.50000,221.80000,,227.90000,1044.30000,13936.40000,473.20000,1748.50000,16225.40000,17269.70000,1220.90000,6572.40000,1516.60000,10300.50000,11521.40000,2.50000,2873.50000,-0.60000,5748.30000,17269.70000
2020-03-31,55.20000,396.40000,220.60000,,240.00000,912.20000,13685.00000,469.50000,1752.40000,15966.80000,16879.00000,1650.20000,5833.90000,1503.80000,9526.40000,11176.60000,2.50000,2833.70000,2.00000,5702.40000,16879.00000
2019-12-31,16.00000,402.00000,227.00000,,231.00000,876.00000,13527.00000,468.00000,1758.00000,15825.00000,16701.00000,2054.00000,5533.00000,1511.00000,9242.00000,11296.00000,2.00000,2766.00000,1.00000,5405.00000,16701.00000
2019-09-30,193.70000,451.50000,224.10000,30.30000,213.40000,1113.00000,13131.10000,453.00000,1763.70000,15420.40000,16533.40000,2082.10000,5535.10000,1567.70000,9282.10000,11364.20000,2.40000,2739.10000,1.00000,5169.20000,16533.40000
2019-06-30,170.20000,421.50000,205.80000,,229.80000,1027.30000,12854.00000,443.30000,1728.20000,15094.30000,16121.60000,1949.00000,5438.10000,1689.60000,9273.00000,11222.00000,2.40000,2597.80000,1.00000,4899.60000,16121.60000
2019-03-31,10.10000,417.90000,168.00000,,219.20000,815.20000,12665.20000,433.60000,1726.60000,14898.20000,15713.40000,1587.70000,5362.20000,1745.50000,9243.30100,10831.00000,2.40000,2587.30000,2.40000,4882.40000,15713.40000
2018-12-31,20.90000,350.40000,211.80000,42.20000,159.80000,785.10000,12462.40000,431.30000,1657.50000,14640.90000,15426.00000,1644.10000,5246.30000,1637.70000,8996.20000,10640.30000,2.40000,2545.90000,1.70000,4785.70000,15426.00000
2018-09-30,239.70000,465.30000,211.10000,,208.70000,1124.80000,12005.20000,424.00000,1612.50000,14145.00000,15269.80000,1548.30000,5248.20000,1640.70000,8951.10000,10499.40000,2.40000,2539.50000,-0.20000,4770.40000,15269.80000
2018-06-30,5.00000,415.00000,200.10000,,185.80000,805.90000,11695.70000,420.50000,1606.50000,13809.10000,14615.00000,1257.40000,5127.50000,1683.50000,8806.90000,10064.30000,2.30000,2412.50000,0.10000,4550.70000,14615.00000
2018-03-31,19.10000,343.20000,202.80000,,160.80000,725.90000,11439.60000,414.70000,1589.20000,13515.90000,14241.80000,2073.50000,4056.80000,1679.50000,7736.80000,9810.30000,2.30000,2389.40000,-0.50000,4431.50000,14241.80000
2017-12-31,27.90000,482.80000,222.40000,41.30000,130.70000,905.10000,11234.50000,396.10000,1582.40000,13282.70000,14187.80000,2149.00000,4010.60000,1663.60000,7656.60000,9805.60000,2.30000,2346.00000,-0.50000,4382.20000,14187.80000
2017-09-30,9.20000,336.10000,220.60000,,185.60000,751.50000,10931.10000,458.60000,1952.30000,13363.40000,14114.90000,1470.10000,4255.10000,779.50000,8290.60000,9760.70000,2.30000,2324.80000,-0.40000,4354.20000,14114.90000
2017-06-30,7.30000,424.90000,201.60000,,180.90000,814.70000,10608.10000,354.50000,1947.50000,12928.70000,13743.40000,1208.20000,4354.30000,766.50000,8284.80000,9493.00000,2.30000,2228.60000,-0.40000,4250.40000,13743.40000
2017-03-31,8.40000,424.90000,187.70000,,128.80000,749.80000,10448.80000,346.80000,1904.60000,12715.10000,13464.90000,1165.00000,4316.10000,779.30000,8203.00000,9368.00000,2.30000,2205.90000,-0.40000,4096.90000,13464.90000
2016-12-31,8.20000,493.30000,222.30000,,153.30000,877.10000,10279.20000,337.60000,1857.30000,12496.70000,13373.80000,1162.00000,4315.60000,774.10000,8149.80000,9311.80000,2.30000,2177.00000,-0.40000,4062.00000,13373.80000
2016-09-30,84.70000,491.50000,219.90000,,162.00000,958.10000,9920.40000,329.60000,1811.70000,12071.10000,13029.20000,1369.70000,3816.90000,797.60000,7600.40000,8970.10000,2.30000,2181.00000,-0.40000,4059.10000,13029.20000
2016-06-30,6.50000,316.30000,209.10000,,170.40000,702.30000,9846.40000,303.50000,1822.30000,11983.10000,12685.40000,1373.20000,3588.40000,807.30000,7322.00000,8695.20000,2.30000,2116.10000,-0.40000,3990.20000,12685.40000
2016-03-31,4.80000,390.60000,197.20000,,175.90000,768.50000,9626.60000,323.50000,1805.70000,11766.50000,12535.00000,1348.50000,3522.70000,828.10000,7221.90000,8570.40000,1.10000,2098.90000,-0.40000,3964.60000,12535.00000
2015-12-31,5.80000,397.60000,223.50000,,199.90000,826.80000,9519.10000,346.30000,1788.40000,11668.40000,12495.20000,1359.30000,3522.20000,856.60000,7211.80000,8571.10000,2.30000,2068.90000,-0.40000,3924.10000,12495.20000
2015-09-30,139.20000,427.30000,211.50000,,309.70000,1087.70000,9366.50000,353.10000,1715.60000,11470.90000,12558.60000,990.80000,3855.80000,887.40000,7621.70000,8612.50000,1.10000,2097.00000,-0.60000,3946.10000,12558.60000
2015-06-30,54.80000,297.30000,185.20000,,506.60000,1043.90000,9173.50000,349.90000,1706.80000,11268.40000,12312.30000,991.50000,3717.40000,915.20000,7499.10000,8490.60000,1.10000,1979.30000,-0.60000,3821.70000,12312.30000
2015-03-31,97.60000,361.60000,167.40000,,286.60000,913.20000,9050.00000,343.90000,1731.30000,11166.40000,12079.60000,1023.10000,3606.70000,866.40000,7257.70000,8280.80000,1.10000,1973.90000,-0.60000,3798.80000,12079.60000
2014-12-31,56.90000,427.30000,223.80000,,185.00000,1043.10000,8938.40000,344.90000,1715.60000,11020.40000,12063.50000,1214.70000,3584.30000,881.20000,7208.30000,8423.00000,1.10000,1938.00000,-0.60000,3640.50000,12063.50000
2014-09-30,11.00000,333.40000,204.20000,,413.70000,962.30000,8763.60000,343.30000,1469.60000,10631.70000,11594.00000,1741.90000,2799.50000,923.70000,6214.80000,7956.70000,1.10000,1934.50000,-0.20000,3637.30000,11594.00000
