,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,7.03200,800.22100,439.79000,769.51400,2016.55700,16614.54000,,567.60400,20021.53000,22844.60000,2060.90400,7344.20500,3688.06800,14421.58000,16482.49000,2720.36400,3580.10200,-53.30000,6362.11300,22844.60000
2022-06-30,29.18900,631.66400,401.48200,735.81300,1798.14800,16376.20000,,575.82600,19831.85000,22501.48000,2022.44800,7241.29500,3813.36500,14457.51000,16479.96000,2712.29700,3253.77200,-54.81400,6021.52300,22501.48000
2022-03-31,13.96800,439.73000,379.05900,761.83600,1594.59300,16148.19000,,546.16800,19709.45000,22200.95000,1596.73000,7226.62400,3936.68000,14554.09000,16150.82000,2706.32500,3281.60100,-53.70800,6050.13600,22200.95000
2021-12-31,9.96900,508.06300,367.16700,665.90100,1551.10000,15987.43000,,503.20200,19562.06000,22003.22000,1756.86900,6913.73500,3931.46000,14224.89000,15981.76000,2702.74300,3264.71900,-54.86100,6021.46000,22003.22000
2021-09-30,25.68800,595.37800,381.04100,707.04100,1709.14800,15673.60000,,535.02800,19177.89000,21536.42000,1649.25700,6763.14600,3825.33400,13700.70000,15349.96000,2698.55200,3429.07600,-59.66600,6186.46400,21536.42000
2021-06-30,14.14600,558.27900,365.74600,585.01200,1523.18300,15505.96000,,470.52700,18819.45000,21061.58000,2023.26800,6315.92700,3797.22400,13203.41000,15226.68000,2692.01500,3089.26600,-60.57800,5834.89900,21061.58000
2021-03-31,17.20200,364.75500,339.09800,448.72900,1169.78400,15315.70000,,445.99300,18511.92000,20184.66000,1330.54300,6465.04500,3732.35000,13047.44000,14377.98000,2687.05200,3060.75200,-61.51200,5806.68000,20184.66000
2020-12-31,59.96800,432.78300,334.29700,371.27100,1198.31900,15159.21000,,347.43100,18317.04000,20020.42000,1360.43300,6314.26600,3738.33400,12907.20000,14267.63000,2677.48200,3025.10600,-62.79600,5752.79300,20020.42000
2020-09-30,181.92600,579.01200,339.07700,354.67100,1454.68600,14919.57000,,365.14700,17793.84000,19751.42000,1244.78400,6316.42000,3335.72100,12539.46000,13784.25000,2670.35800,3231.48500,-57.49100,5967.17500,19751.42000
2020-06-30,6.76300,476.60100,335.62500,328.10000,1147.08900,14789.01000,,345.62700,17604.52000,19307.39000,1496.36300,5922.16100,3320.64700,12200.55000,13696.91000,2665.51800,2885.10900,-57.87500,5610.47700,19307.39000
2020-03-31,63.13900,364.54100,340.47500,310.15200,1078.30700,14637.41000,,350.54500,17339.07000,18561.76000,2295.48800,4833.32400,3298.86200,10669.44000,12964.93000,2664.38700,2867.61000,-55.57900,5596.83200,18561.76000
2019-12-31,10.28300,408.14700,345.92000,265.68000,1030.03000,14522.54000,,342.04800,17303.40000,18479.25000,2078.36500,4832.55800,3494.27200,10847.69000,12926.06000,2659.56100,2837.61000,-57.09600,5553.18800,18479.25000
2019-09-30,29.85200,524.56800,312.42600,266.30900,1133.15500,14375.45000,,346.09800,17088.36000,18377.57000,1586.74600,4984.99600,3604.69700,11109.12000,12695.86000,2654.43000,2949.89100,-46.53800,5681.70500,18377.57000
2019-06-30,1.64800,454.39800,315.38100,257.14000,1028.56700,14253.42000,,338.88000,16960.88000,18165.67000,1900.96100,4886.87900,3574.75600,10907.46000,12808.42000,2648.23400,2637.62000,-47.63600,5357.24300,18165.67000
2019-03-31,6.10900,361.19000,307.15100,201.93900,876.38900,14113.42000,,337.65300,16783.82000,17854.11000,1591.30400,4886.10800,3545.03300,10881.08000,12472.38000,2644.06300,2659.08600,-46.50100,5381.72500,17854.11000
2018-12-31,5.76600,400.98800,294.09400,224.14300,924.99100,14029.57000,,339.34800,16739.21000,17664.20000,1648.96400,4638.23200,3577.30500,10666.53000,12315.50000,2634.26500,2641.18300,-47.70800,5348.70500,17664.20000
2018-09-30,64.99100,561.87200,308.58200,271.74500,1207.19000,13826.04000,,340.72800,16464.77000,17671.96000,1734.78800,4487.36400,3635.86900,10451.31000,12186.09000,2629.62700,2780.42800,-55.07400,5485.86100,17671.96000
2018-06-30,3.83900,525.17100,310.96100,278.74000,1118.71100,13802.78000,,275.47500,16373.46000,17492.17000,2238.88500,4191.52500,3652.22800,10093.85000,12332.74000,2624.67200,2465.40200,-56.62400,5159.43400,17492.17000
2018-03-31,15.44000,329.13100,305.87700,306.95600,957.40400,13625.07000,,58.17700,16190.90000,17148.31000,1874.39100,4290.53300,3650.67500,10120.24000,11994.63000,2620.26100,2454.26800,-52.34100,5153.67100,17148.31000
2017-12-31,13.89200,415.06800,289.27000,298.05800,1016.28800,13445.27000,,84.58200,16002.79000,17019.08000,1197.85200,4789.71300,3672.10700,10685.50000,11883.35000,2614.80500,2442.51100,-45.00200,5135.73000,17019.08000
2017-09-30,10.67400,574.48300,284.46800,304.58000,1174.20500,13154.60000,,143.33900,15803.66000,16977.87000,1303.14300,4491.04800,2107.92800,10397.12000,11700.26000,2608.82500,2576.19300,-42.11700,5277.60700,16977.87000
2017-06-30,4.95300,508.89100,288.02400,266.33600,1068.20400,12967.28000,,141.15600,15601.52000,16669.73000,1638.59400,4192.52000,2133.19200,10041.06000,11679.65000,2604.48200,2300.10900,-43.62600,4990.07700,16669.73000
2017-03-31,3.02800,299.98600,283.25400,208.72800,794.99600,12881.84000,,70.02500,15397.83000,16192.83000,1193.81300,4273.89000,2124.17700,10033.07000,11226.88000,2595.04200,2278.86700,-42.86300,4965.94000,16192.83000
2016-12-31,8.88100,359.15400,282.58700,171.59700,822.21900,12714.28000,,69.06400,15182.04000,16004.25000,1292.94600,4021.78500,2088.90600,9775.39500,11068.34000,2596.03000,2255.54700,-43.82200,4935.91200,16004.25000
2016-09-30,48.26700,471.95200,285.53400,171.73900,977.49200,12445.60000,,68.97700,14828.23000,15805.73000,1109.71800,4145.36600,2034.53000,9703.87300,10813.59000,2552.97900,2342.64300,-42.14600,4992.13500,15805.73000
2016-06-30,43.04000,473.71600,278.38000,168.25100,963.38700,12240.86000,,59.86500,14575.18000,15538.57000,1478.54400,3897.83500,2022.34500,9340.83700,10819.39000,2549.49800,2079.61900,-43.71900,4719.18300,15538.57000
2016-03-31,14.48400,307.81300,278.40600,225.32200,826.02500,12023.93000,,61.29100,14359.08000,15185.10000,1585.90200,3463.03200,2040.96300,8858.78600,10444.69000,2547.06500,2097.24600,-43.77000,4740.41300,15185.10000
2015-12-31,39.48800,368.39500,279.93100,202.70200,890.51600,11808.94000,,64.62400,14137.74000,15028.26000,1442.31700,3462.39100,2012.59000,8866.48400,10308.80000,2541.66800,2092.80300,-44.74800,4719.45700,15028.26000
