,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,548.00000,2031.00000,3122.00000,793.00000,,6494.00000,4055.00000,22691.00000,663.00000,28043.00000,34537.00000,3626.00000,10260.00000,472.00000,13990.00000,17616.00000,35.00000,1186.00000,-3187.00000,,16921.00000,34537.00000
2022-06-30,573.00000,2180.00000,2993.00000,778.00000,1206.00000,7730.00000,4177.00000,25938.00000,726.00000,31574.00000,39304.00000,4720.00000,10363.00000,462.00000,14291.00000,19011.00000,35.00000,3589.00000,-2210.00000,,20293.00000,39304.00000
2022-03-31,661.00000,2160.00000,2795.00000,750.00000,1141.00000,7507.00000,4295.00000,26548.00000,654.00000,32240.00000,39747.00000,4032.00000,10738.00000,426.00000,14750.00000,18782.00000,35.00000,3683.00000,-1622.00000,,20965.00000,39747.00000
2021-12-31,715.00000,1906.00000,2516.00000,728.00000,1122.00000,6987.00000,4368.00000,26920.00000,616.00000,32671.00000,39658.00000,3633.00000,10768.00000,462.00000,14908.00000,18541.00000,35.00000,3641.00000,-1423.00000,,21117.00000,39658.00000
2021-09-30,794.00000,1975.00000,2401.00000,717.00000,1245.00000,7132.00000,4295.00000,27549.00000,502.00000,33120.00000,40252.00000,3579.00000,10818.00000,478.00000,15200.00000,18779.00000,35.00000,3752.00000,-1180.00000,,21473.00000,40252.00000
2021-06-30,942.00000,2059.00000,2464.00000,832.00000,,6297.00000,4566.00000,28698.00000,518.00000,34567.00000,40864.00000,3227.00000,11354.00000,477.00000,15837.00000,19064.00000,34.00000,3759.00000,-834.00000,,21800.00000,40864.00000
2021-03-31,879.00000,2023.00000,2589.00000,683.00000,,6174.00000,4587.00000,28756.00000,497.00000,34643.00000,40817.00000,3261.00000,11330.00000,469.00000,15875.00000,19136.00000,34.00000,3922.00000,-1102.00000,,21681.00000,40817.00000
2020-12-31,657.00000,929.00000,1132.00000,342.00000,,3060.00000,1458.00000,8320.00000,418.00000,10495.00000,13555.00000,1904.00000,3779.00000,268.00000,5329.00000,7233.00000,16.00000,4156.00000,-413.00000,-285.00000,6322.00000,13555.00000
2020-09-30,482.68100,928.62500,1151.28100,383.61800,,2946.20500,1380.42300,8102.96400,655.78200,10139.17000,13085.37000,1616.25900,3890.76200,517.29600,5378.80000,6995.05900,16.06600,4170.89400,-939.41900,,6090.31500,13085.37000
2020-06-30,507.53400,961.56800,1165.86000,377.62300,,3012.58500,1355.61900,8029.71000,591.21600,9976.54500,12989.13000,1344.17200,4181.70100,494.40100,5644.04200,6988.21400,16.06600,4168.37800,-1017.46600,,6000.91600,12989.13000
2020-03-31,442.94500,943.11400,1075.91300,356.32200,,2818.29400,1339.12400,7945.00500,586.65300,9870.78200,12689.08000,1426.99500,3946.90500,494.19300,5421.40700,6848.40200,16.06600,4162.34700,-1164.20800,,5840.67400,12689.08000
2019-12-31,623.94500,876.19700,1123.06800,319.33400,,2942.54400,1386.92000,8349.53100,608.41600,10344.87000,13287.41000,1552.19000,3997.43800,502.36600,5505.67300,7057.86200,16.06600,4117.80400,-343.85100,-373.04300,6229.54800,13287.41000
