,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,507.00000,2571.00000,,235.00000,,3313.00000,1585.00000,335.00000,17619.00000,584.00000,21502.00000,24815.00000,7339.00000,9380.00000,5122.00000,16908.00000,24247.00000,5.00000,12342.00000,-729.00000,,568.00000,24815.00000
2022-09-30,1045.00000,2378.00000,,261.00000,,3684.00000,1509.00000,332.00000,17372.00000,559.00000,21079.00000,24763.00000,7112.00000,8860.00000,5363.00000,16588.00000,23700.00000,5.00000,11795.00000,-990.00000,,1063.00000,24763.00000
2022-06-30,546.00000,2282.00000,,278.00000,,3106.00000,1532.00000,363.00000,17666.00000,572.00000,21509.00000,24615.00000,6853.00000,8230.00000,5404.00000,15990.00000,22843.00000,5.00000,11262.00000,-651.00000,,1772.00000,24615.00000
2022-03-31,1042.00000,2112.00000,,264.00000,,3418.00000,1531.00000,361.00000,17960.00000,575.00000,21820.00000,25238.00000,6422.00000,8738.00000,5940.00000,17044.00000,23466.00000,5.00000,10682.00000,-328.00000,,1772.00000,25238.00000
2021-12-31,1393.00000,1982.00000,,251.00000,,3626.00000,1503.00000,387.00000,17999.00000,604.00000,21927.00000,25553.00000,6407.00000,9333.00000,5951.00000,17732.00000,24139.00000,5.00000,10305.00000,-342.00000,,1414.00000,25553.00000
2021-09-30,772.00000,2042.00000,,176.00000,,2990.00000,1496.00000,390.00000,17988.00000,627.00000,21516.00000,24506.00000,6019.00000,9264.00000,6313.00000,17569.00000,23588.00000,5.00000,9838.00000,-332.00000,,918.00000,24506.00000
2021-06-30,664.00000,1933.00000,,202.00000,,2799.00000,1490.00000,407.00000,18126.00000,627.00000,21705.00000,24504.00000,6121.00000,9383.00000,6094.00000,17587.00000,23708.00000,5.00000,9618.00000,-194.00000,,796.00000,24504.00000
2021-03-31,628.00000,1857.00000,,187.00000,,2672.00000,1482.00000,410.00000,18043.00000,630.00000,21697.00000,24369.00000,5914.00000,9386.00000,6565.00000,18221.00000,24135.00000,5.00000,9195.00000,-290.00000,,234.00000,24369.00000
2020-12-31,877.00000,1768.00000,,180.00000,,2825.00000,1514.00000,422.00000,18164.00000,616.00000,21876.00000,24701.00000,5752.00000,9203.00000,6868.00000,18519.00000,24271.00000,5.00000,9206.00000,-135.00000,,430.00000,24701.00000
2020-09-30,1577.00000,1791.00000,,164.00000,8.00000,3540.00000,1790.00000,517.00000,17589.00000,599.00000,21608.00000,25148.00000,6006.00000,9679.00000,6656.00000,18913.00000,24919.00000,5.00000,9370.00000,-446.00000,,229.00000,25148.00000
2020-06-30,2283.00000,1621.00000,,201.00000,8.00000,4113.00000,1818.00000,534.00000,17474.00000,650.00000,21567.00000,25680.00000,6118.00000,10133.00000,6892.00000,19641.00000,25759.00000,5.00000,9270.00000,-608.00000,,-79.00000,25680.00000
2020-03-31,1760.00000,2068.00000,,213.00000,8.00000,4049.00000,1854.00000,562.00000,17387.00000,616.00000,21500.00000,25549.00000,6516.00000,10569.00000,6564.00000,19053.00000,25569.00000,5.00000,9504.00000,-739.00000,,-20.00000,25549.00000
2019-12-31,225.00000,2395.00000,,252.00000,255.00000,3127.00000,1904.00000,577.00000,17689.00000,595.00000,21924.00000,25051.00000,6677.00000,9963.00000,5696.00000,17671.00000,24348.00000,5.00000,9644.00000,-361.00000,,703.00000,25051.00000
2019-09-30,276.00000,2394.00000,,230.00000,,2900.00000,1960.00000,580.00000,17540.00000,599.00000,21912.00000,24812.00000,5738.00000,10552.00000,5726.00000,18236.00000,23974.00000,5.00000,9522.00000,-504.00000,,838.00000,24812.00000
2019-06-30,284.00000,2328.00000,,257.00000,,2869.00000,1945.00000,580.00000,17681.00000,573.00000,22024.00000,24893.00000,5624.00000,10185.00000,5824.00000,18029.00000,23653.00000,5.00000,9292.00000,-326.00000,,1240.00000,24893.00000
2019-03-31,258.00000,2218.00000,,259.00000,,2735.00000,1961.00000,584.00000,17655.00000,537.00000,22011.00000,24746.00000,5848.00000,10025.00000,5197.00000,17295.00000,23143.00000,5.00000,9219.00000,-360.00000,,1603.00000,24746.00000
2018-12-31,316.00000,2133.00000,,249.00000,8.00000,2706.00000,1956.00000,732.00000,17419.00000,587.00000,20990.00000,23696.00000,6437.00000,8514.00000,5304.00000,15034.00000,21471.00000,5.00000,8982.00000,-391.00000,,2225.00000,23696.00000
2018-09-30,373.00000,2175.00000,,242.00000,13.00000,2803.00000,1967.00000,689.00000,17470.00000,611.00000,21030.00000,23833.00000,6051.00000,8710.00000,5565.00000,15458.00000,21509.00000,5.00000,8705.00000,-309.00000,,2324.00000,23833.00000
2018-06-30,366.00000,2174.00000,,264.00000,13.00000,2817.00000,1958.00000,638.00000,17543.00000,596.00000,21027.00000,23844.00000,5904.00000,8375.00000,5512.00000,15099.00000,21003.00000,5.00000,8363.00000,-244.00000,,2841.00000,23844.00000
2018-03-31,701.00000,2098.00000,,232.00000,121.00000,3152.00000,1791.00000,754.00000,17864.00000,604.00000,21332.00000,24484.00000,6469.00000,7858.00000,5312.00000,14449.00000,20918.00000,5.00000,7898.00000,141.00000,,3566.00000,24484.00000
