,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,801144.00000,1908623.00000,11510.00000,862819.00000,69022.00000,199401.00000,1142752.00000,3051375.00000,2457380.00000,275982.00000,44816.00000,320798.00000,2778178.00000,58953.00000,207003.00000,-21156.00000,,273197.00000,3051375.00000
2022-09-30,781130.00000,1885134.00000,11117.00000,879958.00000,69022.00000,227722.00000,1187819.00000,3072953.00000,2484151.00000,269122.00000,50156.00000,319278.00000,2803429.00000,59460.00000,201957.00000,-21027.00000,,269524.00000,3072953.00000
2022-06-30,771300.00000,1876640.00000,11016.00000,932910.00000,69022.00000,222018.00000,1234966.00000,3111606.00000,2528366.00000,275697.00000,38425.00000,314122.00000,2842488.00000,59499.00000,197159.00000,-16674.00000,,269118.00000,3111606.00000
2022-03-31,895087.00000,1970020.00000,10820.00000,969880.00000,69022.00000,218481.00000,1268203.00000,3238223.00000,2648630.00000,278710.00000,44266.00000,322976.00000,2971606.00000,59968.00000,192929.00000,-13417.00000,,266617.00000,3238223.00000
2021-12-31,853165.00000,1907800.00000,10833.00000,982627.00000,69022.00000,199213.00000,1261695.00000,3169495.00000,2581637.00000,280117.00000,37675.00000,317792.00000,2899429.00000,62398.00000,188064.00000,-5104.00000,,270066.00000,3169495.00000
2021-09-30,836872.00000,1835866.00000,10684.00000,968617.00000,69023.00000,201256.00000,1249580.00000,3085446.00000,2496299.00000,278621.00000,38062.00000,316683.00000,2812982.00000,69612.00000,183007.00000,-3596.00000,,272464.00000,3085446.00000
2021-06-30,827713.00000,1808790.00000,10747.00000,940314.00000,69023.00000,201020.00000,1221104.00000,3029894.00000,2439255.00000,274604.00000,38916.00000,313520.00000,2752775.00000,79242.00000,177499.00000,-3063.00000,,277119.00000,3029894.00000
2021-03-31,869988.00000,1831207.00000,10803.00000,856912.00000,68951.00000,202119.00000,1138785.00000,2969992.00000,2402456.00000,251211.00000,42325.00000,293536.00000,2695992.00000,83071.00000,170082.00000,-3472.00000,,274000.00000,2969992.00000
2020-12-31,889921.00000,1872444.00000,11000.00000,684850.00000,68951.00000,182382.00000,947183.00000,2819627.00000,2238243.00000,262934.00000,45526.00000,308460.00000,2546703.00000,85982.00000,164088.00000,-1656.00000,,272924.00000,2819627.00000
2020-09-30,888339.00000,1890033.00000,10902.00000,584397.00000,68951.00000,184169.00000,848419.00000,2738452.00000,2172151.00000,255723.00000,41728.00000,297451.00000,2469602.00000,85954.00000,160447.00000,-978.00000,,268850.00000,2738452.00000
2020-06-30,973061.00000,2015389.00000,10790.00000,471861.00000,68951.00000,174697.00000,726299.00000,2741688.00000,2171902.00000,261638.00000,42511.00000,304149.00000,2476051.00000,85794.00000,157578.00000,-1162.00000,,265637.00000,2741688.00000
2020-03-31,757965.00000,1870084.00000,10792.00000,475852.00000,68951.00000,194275.00000,749870.00000,2619954.00000,2043666.00000,256712.00000,54658.00000,311370.00000,2355036.00000,85745.00000,155866.00000,-120.00000,,264918.00000,2619954.00000
2019-12-31,673090.00000,1712195.00000,10561.00000,472197.00000,68951.00000,170175.00000,721884.00000,2434079.00000,1890184.00000,240856.00000,38229.00000,279085.00000,2169269.00000,91723.00000,156319.00000,-6633.00000,,264810.00000,2434079.00000
2019-09-30,699930.00000,1725778.00000,10493.00000,444594.00000,68951.00000,176514.00000,700552.00000,2426330.00000,1876513.00000,243405.00000,38025.00000,281430.00000,2157943.00000,99215.00000,151183.00000,-5617.00000,,268387.00000,2426330.00000
2019-06-30,680150.00000,1693168.00000,10426.00000,446075.00000,68951.00000,177272.00000,702724.00000,2395892.00000,1848093.00000,238011.00000,38380.00000,276391.00000,2124484.00000,106619.00000,147577.00000,-7477.00000,,271408.00000,2395892.00000
2019-03-31,687182.00000,1683013.00000,10251.00000,440674.00000,68951.00000,174275.00000,694151.00000,2377164.00000,1839887.00000,233929.00000,36338.00000,270267.00000,2110154.00000,112838.00000,141888.00000,-10042.00000,,267010.00000,2377164.00000
2018-12-31,660377.00000,1673852.00000,9906.00000,441753.00000,68951.00000,160045.00000,680655.00000,2354507.00000,1821899.00000,229392.00000,37891.00000,267283.00000,2089182.00000,118896.00000,136314.00000,-12211.00000,,265325.00000,2354507.00000
2018-09-30,660078.00000,1642683.00000,9680.00000,446107.00000,68951.00000,171412.00000,696150.00000,2338833.00000,1806386.00000,234100.00000,36189.00000,270289.00000,2076675.00000,123921.00000,130747.00000,-14836.00000,,262158.00000,2338833.00000
2018-06-30,609317.00000,1599415.00000,9537.00000,438269.00000,68951.00000,175498.00000,692255.00000,2291670.00000,1767254.00000,226595.00000,33605.00000,260200.00000,2027454.00000,128822.00000,125546.00000,-13333.00000,,264216.00000,2291670.00000
2018-03-31,655417.00000,1646589.00000,9399.00000,426837.00000,68951.00000,176702.00000,681889.00000,2328478.00000,1796098.00000,232256.00000,33900.00000,266156.00000,2062254.00000,133532.00000,120298.00000,-12278.00000,,266224.00000,2328478.00000
2017-12-31,590692.00000,1590101.00000,9247.00000,440130.00000,68951.00000,172805.00000,691133.00000,2281234.00000,1752386.00000,227402.00000,34300.00000,261702.00000,2014088.00000,138089.00000,113816.00000,-7082.00000,,267146.00000,2281234.00000
2017-09-30,609407.00000,1594929.00000,8971.00000,439209.00000,73834.00000,166953.00000,688967.00000,2283896.00000,1750990.00000,228666.00000,31781.00000,260447.00000,2011437.00000,142818.00000,113486.00000,-6168.00000,,272459.00000,2283896.00000
2017-06-30,602426.00000,1573441.00000,8904.00000,434517.00000,74080.00000,163587.00000,681088.00000,2254529.00000,1724739.00000,223923.00000,34880.00000,258803.00000,1983542.00000,142744.00000,109628.00000,-6605.00000,,270987.00000,2254529.00000
2017-03-31,599769.00000,1569184.00000,9319.00000,428045.00000,74345.00000,166808.00000,678517.00000,2247701.00000,1721735.00000,221385.00000,36428.00000,257813.00000,1979548.00000,144782.00000,105467.00000,-7316.00000,,268153.00000,2247701.00000
2016-12-31,536032.00000,1499303.00000,9139.00000,430731.00000,71716.00000,177178.00000,688764.00000,2188067.00000,1665569.00000,216823.00000,39480.00000,256303.00000,1921872.00000,147038.00000,101225.00000,-7288.00000,,266195.00000,2188067.00000
