,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,395.60000,1231.00000,5861.10000,441.40000,45.60000,7974.70000,2353.10000,12977.50000,1658.00000,16988.60000,24963.30000,6569.20000,5352.90000,2263.90000,8679.90000,15249.10000,442.30000,9333.30000,-2119.50000,,9714.20000,24963.30000
2022-09-30,408.70000,1503.20000,6347.20000,436.80000,108.70000,8804.60000,2305.60000,12860.90000,1552.80000,16719.30000,25523.90000,7607.00000,5350.50000,1939.90000,8368.20000,15975.20000,442.30000,9504.10000,-2426.30000,,9548.70000,25523.90000
2022-06-30,282.30000,1592.10000,6635.50000,506.80000,956.10000,9972.80000,2310.60000,13031.80000,4046.20000,19388.60000,29361.40000,11760.70000,5351.80000,2108.60000,8518.80000,20279.50000,442.30000,8775.00000,-2151.00000,,9081.90000,29361.40000
2022-03-31,165.80000,1842.00000,6267.70000,495.30000,965.40000,9736.20000,2365.60000,13237.30000,4019.60000,19622.50000,29358.70000,10955.00000,5355.50000,2575.70000,9048.90000,20003.90000,442.30000,8801.40000,-1873.30000,,9354.80000,29358.70000
2021-12-31,142.10000,1481.70000,5419.90000,507.00000,975.70000,8526.40000,2336.80000,13285.70000,4031.10000,19653.60000,28180.00000,8767.40000,4353.60000,2281.30000,7820.20000,16587.60000,442.30000,8742.40000,-1845.60000,,11592.40000,28180.00000
2021-09-30,292.70000,1989.00000,4134.40000,419.30000,41.00000,6876.40000,2051.30000,13837.00000,1561.90000,17450.20000,24326.60000,5580.80000,4246.90000,2046.70000,7427.60000,13008.40000,442.30000,8541.40000,-1874.80000,,11318.20000,24326.60000
2021-06-30,440.40000,1994.70000,3679.50000,408.40000,32.70000,6555.70000,2038.40000,13934.70000,1434.10000,17407.20000,23962.90000,5402.50000,4246.20000,2077.10000,7474.40000,12876.90000,442.30000,8258.60000,-1787.00000,,11086.00000,23962.90000
2021-03-31,949.20000,1994.80000,3137.40000,419.70000,21.90000,6523.00000,2016.50000,13965.20000,1371.30000,17353.00000,23876.00000,4578.40000,4245.70000,2455.60000,7892.80000,12471.20000,442.30000,7915.50000,-1811.40000,,11404.80000,23876.00000
2020-12-31,1241.90000,1164.50000,2638.90000,326.80000,663.90000,6036.00000,1973.10000,11924.20000,3633.00000,17530.30000,23566.30000,4558.30000,4245.40000,2566.30000,7941.60000,12499.90000,442.30000,7542.20000,-1713.70000,,11066.40000,23566.30000
2020-09-30,683.00000,1764.20000,2874.70000,,465.10000,5787.00000,2005.90000,13956.00000,1292.00000,17253.90000,23040.90000,4221.80000,4658.50000,2598.40000,8439.80000,12661.60000,442.30000,7200.40000,-1961.10000,0.00000,10379.30000,23040.90000
2020-06-30,859.80000,1719.40000,2753.40000,,436.90000,5769.50000,2024.40000,13911.60000,1278.90000,17214.90000,22984.40000,4578.30000,4658.70000,2584.30000,8440.50000,13018.80000,442.30000,6924.50000,-2040.60000,0.00000,9965.60000,22984.40000
2020-03-31,987.10000,1681.50000,2532.40000,,491.90000,5692.90000,2036.70000,13877.40000,1298.00000,17212.10000,22905.00000,5370.30000,4662.60000,2598.90000,8575.50000,13945.80000,442.30000,6796.60000,-2143.40000,0.00000,8959.20000,22905.00000
2019-12-31,297.70000,1454.60000,2255.00000,395.40000,53.90000,4456.60000,1959.50000,12859.50000,1321.00000,16140.00000,20596.60000,4405.70000,3176.40000,2531.70000,7048.70000,11454.40000,442.30000,6768.10000,-1884.60000,-2.30000,9142.20000,20596.60000
2019-09-30,311.70000,1902.60000,2743.50000,,370.20000,5328.00000,1911.90000,12813.00000,1269.60000,15994.50000,21322.50000,5441.90000,3908.80000,2429.90000,7612.40000,13054.30000,442.30000,6678.10000,-1944.90000,-2.30000,8268.20000,21322.50000
2019-06-30,310.70000,1823.90000,2863.20000,,347.40000,5345.20000,1933.30000,12954.90000,1290.20000,16178.40000,21523.60000,5653.10000,3909.10000,2422.20000,7637.20000,13290.30000,442.30000,6549.90000,-1814.00000,-3.40000,8233.30000,21523.60000
