,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,779.50000,2401.30000,1134.00000,316.50000,4688.70000,9320.00000,69813.10000,52.50000,740.10000,81309.41000,91249.40000,11836.40000,33646.60000,11250.70000,54900.70000,66737.10000,3412.50000,12389.80000,474.90000,24512.30000,91249.40000
2022-06-30,813.20000,2349.30000,1102.30000,284.60000,4821.60000,9371.00000,68708.20000,52.50000,667.40000,80859.70000,90861.30000,12448.00000,32982.70000,11222.40000,54116.30000,66564.30000,3412.00000,12108.60000,551.40000,24297.00000,90861.30000
2022-03-31,934.00000,1936.60000,966.80000,239.10000,4191.50000,8268.00000,67878.00000,52.50000,788.40000,80917.20000,89831.40000,13568.60000,30855.70000,11592.10000,52224.70000,65793.30000,3411.10000,11985.10000,430.60000,24038.10000,89831.40000
2021-12-31,671.80000,1941.60000,989.20000,129.80000,4076.80000,7809.20000,66001.30000,52.50000,819.80000,79281.20000,87668.70000,12426.70000,31300.70000,11636.10000,52561.80000,64988.50000,3408.70000,11667.10000,184.80000,22680.20000,87668.70000
2021-09-30,1645.10000,2050.40000,978.50000,135.10000,976.00000,5785.10000,66691.20000,52.50000,858.70000,79772.20000,86337.10000,9954.00000,32056.50000,11572.70000,53855.91000,63809.90000,3404.50000,11523.00000,274.70000,22527.20000,86337.10000
2021-06-30,581.40000,2073.80000,1188.40000,133.90000,628.30000,4605.80000,65664.50000,52.50000,849.30000,78954.80000,84358.20000,10428.60000,30659.30000,11624.90000,52299.70000,62728.30000,3382.70000,11098.70000,97.00000,21629.90000,84358.20000
2021-03-31,523.10000,1858.40000,1271.90000,124.50000,480.50000,4258.40000,64696.10000,52.50000,897.30000,77907.80000,82985.10000,10220.10000,30214.80000,11278.10000,51545.00000,61765.10000,3376.40000,10892.70000,-30.80000,21220.00000,82985.10000
2020-12-31,639.10000,1842.70000,1310.00000,127.00000,432.70000,4351.50000,63901.60000,52.50000,899.20000,75539.30000,80757.20000,9926.70000,28986.40000,11125.90000,50056.00000,59982.70000,3359.30000,10687.80000,-85.10000,20774.50000,80757.20000
2020-09-30,672.80000,1850.70000,1267.30000,316.70000,230.70000,4338.20000,62786.40000,52.50000,926.90000,73470.09000,78689.30000,9047.20000,28155.50000,11002.40000,49007.50000,58054.70000,3357.60000,10621.40000,-135.40000,20634.60000,78689.30000
2020-06-30,697.00000,1791.50000,1279.80000,241.50000,263.40000,4273.20000,61926.80000,52.50000,958.00000,72618.70000,77804.80000,10122.00000,26637.70000,11028.20000,47404.60000,57526.60000,3355.40000,10221.90000,-172.90000,20278.20000,77804.80000
2020-03-31,1856.00000,1741.50000,1195.90000,219.10000,279.50000,5292.00000,61048.90000,52.50000,1112.80000,71505.30000,77724.00000,11654.70000,25783.00000,10648.50000,46061.60000,57716.30000,3350.20000,10038.80000,-216.50000,20007.70000,77724.00000
2019-12-31,635.30000,1705.10000,1169.20000,156.30000,411.90000,4077.80000,60138.10000,52.50000,1124.70000,70857.10000,75892.30000,10299.10000,25126.80000,10978.90000,45680.00000,55979.10000,3343.40000,9900.90000,-147.70000,19913.20000,75892.30000
2019-09-30,688.20000,1825.10000,1051.30000,262.40000,339.40000,4166.40000,58692.70000,52.50000,1237.70000,68744.30000,73900.70000,8611.20000,24553.50000,11275.50000,45291.80000,53903.00000,3341.90000,10095.30000,-187.90000,19997.70000,73900.70000
2019-06-30,565.30000,1781.20000,1034.40000,233.90000,446.50000,4061.30000,57202.90000,52.50000,1098.80000,67472.20000,72550.00000,8357.10000,24174.40000,11294.60000,44769.70000,53126.80000,3340.80000,9694.20000,-230.70000,19423.20000,72550.00000
2019-03-31,532.00000,1882.30000,946.60000,200.40000,353.50000,3914.80000,55968.60000,52.50000,1103.40000,65761.80000,70722.00000,7990.60000,22898.20000,11301.20000,43502.90000,51493.50000,3338.60000,9565.60000,-150.70000,19228.50000,70722.00000
2018-12-31,603.20000,1926.50000,921.10000,208.80000,454.30000,4113.90000,55099.10000,52.50000,1174.60000,64688.90000,68802.80000,8648.80000,21648.20000,11130.80000,41094.60000,49743.40000,3337.40000,9325.30000,-120.40000,19059.40000,68802.80000
2018-09-30,1101.60000,2118.10000,847.90000,186.60000,438.20000,4692.40000,53355.70000,52.50000,1266.30000,62925.00000,67617.40000,8426.20000,20869.80000,10936.30000,40144.40000,48570.60000,3336.50000,9293.70000,-86.00000,19046.80000,67617.40000
2018-06-30,550.40000,2270.70000,915.60000,243.10000,590.30000,4570.10000,52441.50000,52.50000,1346.60000,62300.00000,66870.10000,9058.30000,19750.60000,10953.10000,39060.40000,48118.70000,3335.40000,9023.10000,-94.80000,18751.40000,66870.10000
2018-03-31,484.40000,1851.50000,922.80000,280.20000,596.10000,4135.00000,51365.10000,52.50000,1417.80000,61474.50000,65609.50000,9471.40000,18844.90000,10627.90000,37626.50000,47097.90000,3332.70000,8801.50000,-95.40000,18511.60000,65609.50000
2017-12-31,574.30000,1891.00000,953.20000,310.40000,524.20000,4253.10000,50261.50000,52.50000,1493.30000,60476.00000,64729.10000,8271.30000,19419.60000,10681.70000,38144.20000,46415.50000,3329.40000,8626.70000,-67.80000,18313.60000,64729.10000
2017-09-30,654.60000,1740.90000,916.50000,350.50000,405.30000,4067.80000,48316.50000,52.50000,1598.20000,59897.10000,63964.90000,7322.00000,18362.40000,6240.90000,38537.40000,45859.40000,3328.30000,8532.00000,-175.40000,18105.50000,63964.90000
2017-06-30,490.00000,1661.80000,982.20000,224.40000,450.60000,3809.00000,47227.20000,52.50000,1650.00000,58930.10000,62739.10000,8392.20000,16796.90000,6135.90000,36497.40000,44889.60000,3328.30000,8276.40000,-161.60000,17849.50000,62739.10000
2017-03-31,450.00000,1711.20000,955.30000,141.00000,358.90000,3616.40000,46236.30000,52.50000,1735.70000,58111.90000,61728.30000,7914.50000,16722.20000,6083.80000,36102.10000,44016.60000,3328.30000,8194.30000,-171.00000,17711.70000,61728.30000
2016-12-31,542.20000,1916.70000,967.30000,325.50000,2282.20000,6033.90000,45639.30000,52.50000,1775.20000,57433.80000,63467.70000,9498.00000,17378.40000,5898.10000,36549.60000,46047.60000,3328.30000,7892.40000,-156.30000,17420.10000,63467.70000
2016-09-30,491.40000,1880.00000,1024.80000,148.10000,2404.90000,5949.20000,44262.20000,52.50000,1870.70000,55492.80000,61442.00000,7779.40000,17319.90000,5985.50000,36319.60000,44099.00000,3328.30000,7809.40000,-145.80000,17343.00000,61442.00000
2016-06-30,553.70000,1815.20000,1362.00000,145.20000,562.80000,4438.90000,47436.20000,52.50000,1930.40000,58878.20000,63317.10000,7869.90000,17537.40000,5834.70000,37042.30000,44912.20000,3328.00000,8851.40000,-117.90000,18404.90000,63317.10000
2016-03-31,454.90000,1650.00000,1351.90000,136.00000,553.50000,4146.30000,46832.90000,52.50000,2018.10000,58340.20000,62486.50000,7221.90000,17749.30000,5797.20000,37122.90000,44344.80000,3325.30000,8624.80000,-133.80000,18141.70000,62486.50000
2015-12-31,563.20000,1640.50000,1339.40000,172.40000,356.90000,4072.40000,46133.20000,52.50000,2071.70000,57610.70000,61683.10000,7108.50000,17740.90000,5721.70000,36669.70000,43778.20000,3324.00000,8398.30000,-127.10000,17904.90000,61683.10000
2015-09-30,493.00000,1853.00000,1105.00000,156.00000,941.00000,4548.00000,45238.00000,53.00000,2194.00000,56551.00000,61099.00000,7058.00000,17600.00000,5907.00000,36332.00000,43390.00000,3322.00000,8204.00000,-109.00000,17709.00000,61099.00000
2015-06-30,551.00000,1920.00000,1160.00000,210.00000,384.00000,4225.00000,45013.00000,91.00000,2294.00000,56713.00000,60938.00000,6650.00000,17761.00000,6062.00000,36846.00000,43496.00000,3321.00000,7945.00000,-102.00000,17442.00000,60938.00000
2015-03-31,483.00000,1889.00000,1192.00000,148.00000,404.00000,4116.00000,44810.00000,91.00000,2366.00000,55922.00000,60038.00000,7128.00000,16778.00000,6036.00000,35662.00000,42790.00000,3317.00000,7776.00000,-103.00000,17248.00000,60038.00000
2014-12-31,548.10000,1835.20000,1316.60000,275.20000,399.70000,4478.10000,43635.10000,52.50000,2366.60000,55066.50000,59544.60000,7966.60000,16012.00000,5974.00000,34753.50000,42720.10000,3313.30000,7406.60000,-103.10000,16824.50000,59544.60000
2014-09-30,512.00000,1855.00000,1205.00000,177.00000,362.00000,4111.00000,43064.00000,91.00000,2387.00000,53814.00000,57925.00000,7457.00000,15677.00000,5880.00000,33596.00000,41053.00000,3312.00000,7470.00000,-105.00000,16872.00000,57925.00000
2014-06-30,567.00000,1926.00000,1219.00000,229.00000,382.00000,4323.00000,42273.00000,91.00000,2468.00000,53297.00000,57620.00000,7600.00000,15601.00000,5863.00000,33435.00000,41035.00000,3308.00000,7222.00000,-104.00000,16585.00000,57620.00000
2014-03-31,602.00000,1943.00000,1214.00000,159.00000,417.00000,4335.00000,41530.00000,91.00000,2574.00000,52703.00000,57038.00000,6519.00000,16475.00000,5755.00000,34100.00000,40619.00000,3305.00000,7076.00000,-109.00000,16419.00000,57038.00000
2013-12-31,471.00000,1860.00000,1423.00000,246.00000,310.00000,4310.00000,40997.00000,91.00000,2670.00000,52104.00000,56414.00000,6112.00000,16828.00000,5706.00000,34216.00000,40328.00000,3303.00000,6766.00000,-115.00000,16086.00000,56414.00000
2013-09-30,435.00000,1856.00000,1440.00000,262.00000,324.00000,4317.00000,39870.00000,91.00000,2394.00000,50646.00000,54963.00000,5692.00000,16202.00000,5558.00000,33508.00000,39200.00000,3299.00000,6664.00000,-306.00000,15763.00000,54963.00000
