,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2669.45500,1016.20300,935.63100,109.82300,,4764.89700,516.89700,61.44300,2638.35100,134.47800,3528.20800,8293.10500,1001.97800,42.28600,266.08600,1268.06400,3.20900,9001.17300,-159.07300,7025.04100,8293.10500
2022-09-30,2649.82900,1051.64200,862.97700,112.29400,,4696.69100,485.55000,72.37300,2638.76700,115.91300,3508.11400,8204.80500,1121.71700,41.03400,267.32800,1389.04500,3.20600,8699.49900,-224.45500,6815.76000,8204.80500
2022-06-30,2469.83100,1175.58700,885.94800,132.27300,,4696.62000,464.54100,64.11900,2636.05500,110.39000,3478.39200,8175.01200,1093.60800,40.05600,272.22600,1365.83400,3.20500,8377.11200,-152.95700,6809.17800,8175.01200
2022-03-31,2732.43400,1039.78000,821.13200,110.32700,,4743.66600,407.39100,65.65200,2644.04100,101.48800,3443.79300,8187.45900,1044.36100,38.18500,276.42600,1320.78700,3.20300,8103.75200,-72.14500,6866.67200,8187.45900
2021-12-31,3076.18900,896.65800,593.35700,82.66800,,4682.11000,313.75300,99.41900,2404.02900,80.25200,3122.67400,7804.78400,965.07600,29.50800,272.75700,1237.83300,3.20000,7809.54900,-69.16500,6566.95100,7804.78400
2021-09-30,2936.73700,849.15700,471.55300,95.60700,,4383.67300,309.57400,28.25500,2397.72600,88.88300,3065.73500,7449.40800,932.24000,26.55000,272.17100,1204.41100,3.19900,7488.23500,-43.49500,6244.99700,7449.40800
2021-06-30,2553.19100,909.16900,382.89000,83.08600,,3950.67500,309.17800,91.03300,2389.96600,89.39400,3120.86800,7071.54300,887.52700,26.46200,278.51800,1166.04500,3.19800,7151.03000,-16.82200,5905.49800,7071.54300
2021-03-31,2158.98700,802.50900,368.40200,72.80300,,3433.87200,312.15500,63.75100,2394.73500,88.20300,3100.49400,6534.36600,788.86100,28.33800,286.06800,1074.92900,3.19600,6747.26800,-24.87400,5459.43700,6534.36600
2020-12-31,2061.76700,666.01200,333.08500,55.35800,,3140.95500,314.65600,44.29100,2390.68900,70.47500,3061.76100,6202.71600,749.98800,27.43200,291.86800,1041.85600,3.19300,6432.07400,3.03400,5160.86000,6202.71600
2020-09-30,1674.05600,740.81300,318.95600,75.95800,,2825.84700,304.68700,20.57100,2391.18000,70.62100,2871.83600,5697.68300,773.76300,26.31800,294.59900,1068.36200,3.19200,5960.33800,-32.52900,4629.32100,5697.68300
2020-06-30,1172.07900,760.43300,340.53600,78.42500,,2371.45000,301.94600,2.07700,2387.18700,46.37600,2822.36300,5193.81300,674.86500,24.48200,297.40800,972.27300,3.19000,5612.68400,-53.43800,4221.54000,5193.81300
2020-03-31,935.34900,670.57000,352.30500,71.86500,,2048.72200,295.57000,13.92200,2384.75000,53.75600,2832.77500,4881.49700,701.54100,30.61700,309.01000,1010.55100,3.18600,5301.31500,-62.68200,3870.94600,4881.49700
2019-12-31,1331.02000,540.33000,360.73100,54.86800,,2316.30900,298.64000,12.90500,2383.74800,53.97300,2834.04300,5150.35200,661.09700,30.50500,317.97400,979.07100,3.18200,5022.48000,-32.38700,4171.28100,5150.35200
2019-09-30,1304.97300,647.98300,317.74500,58.39000,,2360.76000,251.76000,14.37000,2379.11600,46.21200,2776.60600,5137.36600,714.21600,23.07100,315.17200,1029.38800,3.18100,4767.52600,-43.08300,4107.97800,5137.36600
2019-06-30,1246.23500,688.19700,299.52900,58.47700,,2326.76800,240.16500,7.00600,2377.45300,47.79200,2757.56400,5084.33200,705.50000,22.87100,321.24600,1026.74600,3.18000,4468.60300,-28.75600,4057.58600,5084.33200
2019-03-31,882.04100,596.66100,300.78000,63.68500,,1907.30000,241.23200,,2374.48200,47.62200,2748.55100,4655.85100,630.97200,22.81800,326.05900,957.03100,3.17400,4176.13000,-34.12500,3698.82000,4655.85100
2018-12-31,958.16300,484.56200,277.70500,44.90900,,1804.17000,243.05100,,2377.52100,16.46200,2722.72100,4526.89100,601.14500,2.62100,314.84500,915.99000,3.15500,3914.64500,-32.86400,3610.90100,4526.89100
2018-09-30,1171.61200,620.16200,262.08400,57.59900,,2152.67100,242.85400,1.61000,2373.89100,15.08000,2718.68800,4871.35900,656.36200,2.72300,321.73000,978.09200,3.15400,3675.53800,-29.77700,3893.26700,4871.35900
2018-06-30,870.78000,592.56800,275.56600,57.32000,,1828.67900,240.65800,,2371.04400,16.43600,2713.39100,4542.07000,614.21200,2.43900,322.69800,936.91000,3.15200,3407.80600,-25.19600,3605.16000,4542.07000
2018-03-31,1096.58200,525.46300,268.60700,61.63900,,2038.54800,231.19900,3.49700,2368.30400,12.83600,2701.58400,4740.13200,534.02200,2.20300,330.50300,864.52500,3.15000,3137.69100,-13.72100,3875.60700,4740.13200
2017-12-31,1201.55500,449.47600,255.74500,40.87700,,2086.37700,230.27600,2.36600,2365.72800,13.93200,2704.63500,4791.01200,560.35100,1.09500,335.44900,895.80000,3.14600,2928.22600,-16.65900,3895.21200,4791.01200
2017-09-30,1095.90700,535.33600,213.34100,46.09500,,1934.29700,225.42100,7.00300,2365.12400,18.32200,2774.60900,4708.90600,597.68400,0.81900,343.06800,940.75200,3.12600,2726.90400,-15.53300,3768.15400,4708.90600
2017-06-30,1101.50600,537.08200,190.60000,44.39900,,1880.07900,211.55500,48.63900,2364.51700,20.60200,2804.05200,4684.13100,561.17100,,346.94300,908.11400,3.12400,2508.16100,-16.83300,3776.01700,4684.13100
2017-03-31,785.70300,571.97700,171.29000,46.70300,,1616.81600,189.63100,0.47700,2364.52900,19.55500,2732.93100,4349.74700,469.82400,,349.69700,819.52100,3.12200,2285.52800,-21.91700,3530.22600,4349.74700
2016-12-31,598.13600,573.05100,161.97100,32.56200,,1432.27000,173.34300,2.39400,2364.27800,21.63000,2721.20100,4153.47100,470.58900,,353.17300,823.76200,3.11600,2107.54800,-23.24900,3329.70900,4153.47100
2016-09-30,599.17900,592.34800,167.84000,35.01600,,1550.02400,144.62500,9.51900,2364.45600,25.69100,2686.40700,4236.43100,472.64200,,365.38900,838.03100,1.03700,1934.60100,-14.53400,3398.40000,4236.43100
2016-06-30,479.08800,590.70800,174.40100,28.08100,,1292.82500,102.56200,,2365.79400,15.55600,2745.23100,4038.05600,497.35600,,348.28900,845.64500,1.03600,1742.96000,-14.47700,3192.41100,4038.05600
2016-03-31,3036.35200,541.70400,165.92900,36.45800,,3792.87200,99.25700,7.41900,1708.29300,14.34600,2090.61200,5883.48400,540.65500,,350.98300,891.63800,1.03600,1558.74000,-15.44300,4991.84600,5883.48400
2015-12-31,2920.02700,477.95500,156.12100,26.96700,,3599.53200,97.35400,15.34800,1707.70100,10.87400,1971.74500,5571.27700,410.27700,,351.59000,761.86700,3.10500,1394.86300,-21.87800,4809.41000,5571.27700
2015-09-30,2785.42700,533.48500,159.69100,25.74200,,3750.64700,94.72700,34.35500,1715.97800,8.03100,1853.09100,5603.73800,504.60600,,444.57500,949.18100,1.03400,1256.12100,-20.85100,4654.55700,5603.73800
2015-06-30,2931.15300,498.33500,180.89200,22.62800,,3922.37900,92.53800,52.36400,1715.94300,8.35700,1869.20200,5791.58100,491.92700,,444.83400,936.76100,1.03300,1081.54700,-19.07300,4854.82000,5791.58100
2015-03-31,1010.07100,344.05500,197.91400,25.17400,18.07900,1841.89500,88.29600,41.24000,52.30000,7.10900,243.05100,2084.94600,549.28700,,67.30500,616.59200,1.05800,2334.92400,-21.43300,1468.35400,2084.94600
2014-12-31,1151.45700,280.75500,174.57300,19.67300,18.07900,1653.15400,90.15600,42.94000,50.74800,7.49600,285.72100,1938.87500,355.71600,,68.00900,423.72500,1.03500,2330.51000,-11.45300,1515.15000,1938.87500
2014-09-30,996.36400,333.16500,205.44900,25.47200,18.07900,1617.47900,88.48700,28.41900,49.10000,7.86300,245.39900,1862.87800,370.61100,,105.82700,476.43800,1.03500,2205.17900,-6.33700,1386.44000,1862.87800
2014-06-30,827.02000,398.79200,207.90800,25.59400,,1487.35300,91.21800,51.68200,66.35100,8.97200,281.66600,1769.01900,404.84100,,108.54700,513.38800,1.03200,2083.57900,-0.62100,1255.63100,1769.01900
2014-03-31,750.95200,345.78600,204.06100,28.48200,,1355.21300,91.73300,8.13100,65.52500,9.53800,238.37000,1593.58300,380.36600,,110.49100,490.85700,1.03100,1942.57500,-1.13100,1102.72600,1593.58300
2013-12-31,613.59600,296.18000,221.44900,21.37600,,1183.04300,88.14300,9.79200,65.77400,10.14600,237.46600,1420.50900,316.01400,,112.21600,428.23000,1.03000,1847.32500,-1.23300,992.27900,1420.50900
2013-09-30,602.59100,343.20500,247.36800,29.79900,,1278.45700,88.49500,9.72500,63.61300,10.17000,233.41000,1511.86700,438.27200,,113.20400,551.47600,1.02900,1771.21900,-1.13400,960.39100,1511.86700
2013-06-30,432.03600,348.19700,233.54900,25.35300,,1093.82200,83.52900,11.95300,59.72500,7.40700,224.02000,1317.84200,346.17400,,115.64700,461.82100,1.02800,1679.03300,-2.98400,856.02100,1317.84200
2013-03-31,344.67200,317.65500,215.33700,35.62800,,936.69900,74.59600,13.63100,57.99900,3.59100,210.67300,1147.37200,329.76600,,116.23500,446.00100,1.01900,1572.16000,-0.54300,701.37100,1147.37200
2012-12-31,319.55600,236.71000,203.10600,24.98300,,835.06800,69.13700,21.39300,54.64800,3.57600,208.25700,1043.32500,288.54500,,110.38300,398.92800,1.01900,1508.66400,2.07400,644.39700,1043.32500
2012-09-30,590.70800,289.25300,193.93400,20.19000,,1128.93700,57.57400,19.88200,52.85100,3.67300,189.98500,1318.92200,317.03800,,112.20900,429.24700,1.01300,1440.68100,0.90500,889.67500,1318.92200
2012-06-30,870.23000,306.39300,199.05300,19.41400,,1414.25700,55.94400,20.87300,50.87500,3.56600,187.26000,1601.51700,299.83200,,113.75600,413.58800,1.00400,1354.53900,-1.82000,1187.92900,1601.51700
2012-03-31,811.02600,256.42400,179.12700,19.65400,,1284.46300,55.68900,21.86400,49.13200,3.59400,186.28200,1470.74500,288.11700,,115.30000,403.41700,1.00300,1244.74300,0.90800,1067.32800,1470.74500
2011-12-31,770.61300,218.74100,155.61300,20.91200,,1182.67700,45.15100,23.19400,48.39600,4.40500,179.72200,1362.39900,266.09000,,117.15100,383.24100,0.99400,1168.64400,-1.54700,979.15800,1362.39900
2011-09-30,699.41200,139.54500,164.48100,18.29000,,1038.73200,44.07000,26.68900,47.46600,3.92600,179.69600,1218.42800,165.92900,,119.95300,285.88200,0.49600,1104.10800,-1.50400,932.54600,1218.42800
2011-06-30,699.41500,162.29900,156.77800,18.62300,,1054.13500,40.93100,30.20200,46.67700,4.08000,179.43500,1233.57000,161.85000,,121.37600,283.22600,0.49500,1021.71600,2.00400,950.34400,1233.57000
2011-03-31,594.49000,149.00400,173.72500,21.63500,,955.81900,39.03700,30.46200,45.30000,2.96200,176.17300,1131.99200,155.24700,,123.19200,278.43900,0.49400,937.46800,1.11000,853.55300,1131.99200
2010-12-31,599.49100,166.45400,153.24100,17.02200,,962.97200,34.55100,44.18900,43.31600,3.44700,183.97800,1146.95000,193.65300,,124.89900,318.55200,0.98800,882.42500,0.28100,828.39800,1146.95000
2010-09-30,533.83200,131.77800,148.93800,14.97400,,842.53300,33.17300,46.00200,42.23000,1.79400,184.14700,1026.68000,139.77700,,124.92900,264.70600,0.49200,833.29300,-0.88500,761.97400,1026.68000
2010-06-30,471.57300,131.48000,139.23300,16.57700,,769.21300,32.03800,59.48400,39.75200,3.34300,195.68200,964.89500,158.91800,,127.51300,286.43100,0.49000,766.79700,-4.18500,678.46400,964.89500
2010-03-31,437.22400,117.70500,119.14500,14.61200,,699.03600,32.26700,64.44200,36.93000,4.39500,201.90000,900.93600,135.64200,,129.32400,264.96600,0.48900,702.95900,-2.16400,635.97000,900.93600
2009-12-31,346.83600,108.90500,108.14300,11.27000,,585.50400,33.31400,80.83600,33.51200,1.22600,214.56600,800.07000,83.72900,,131.38800,215.11700,0.48600,670.39600,-4.66700,584.95300,800.07000
2009-09-30,347.84400,97.28900,123.94200,9.70500,,588.52100,28.07500,87.96900,31.67400,1.88500,212.77300,801.29400,107.73100,,132.60400,240.33500,0.48600,617.03900,-4.52500,560.95900,801.29400
2009-06-30,313.57300,125.90700,117.34400,13.14900,,579.71400,23.83500,87.90200,29.81900,1.89900,206.78300,786.49700,102.08800,,134.13400,236.22200,0.48600,560.53500,-5.80200,550.27500,786.49700
