,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,11879.00000,10743.00000,3172.00000,4570.00000,,30364.00000,4893.00000,235.00000,100451.00000,5382.00000,110961.00000,141325.00000,32712.00000,60399.00000,30215.00000,92586.00000,125298.00000,18.00000,4953.00000,-3443.00000,,16027.00000,141325.00000
2022-06-30,9961.00000,11237.00000,3396.00000,4506.00000,,29100.00000,4958.00000,244.00000,103851.00000,5033.00000,114086.00000,143186.00000,34473.00000,61002.00000,30768.00000,94025.00000,128498.00000,18.00000,3516.00000,-3196.00000,,14688.00000,143186.00000
2022-03-31,7572.00000,10733.00000,3483.00000,4721.00000,,26509.00000,5075.00000,260.00000,106284.00000,5083.00000,116702.00000,143211.00000,32521.00000,63522.00000,28023.00000,94376.00000,126897.00000,18.00000,5103.00000,-2984.00000,,16314.00000,143211.00000
2021-12-31,9830.00000,9977.00000,3128.00000,4993.00000,,27928.00000,5110.00000,277.00000,108330.00000,4884.00000,118601.00000,146529.00000,35194.00000,64189.00000,28701.00000,95899.00000,131093.00000,18.00000,3127.00000,-2899.00000,,15436.00000,146529.00000
2021-09-30,12249.00000,9281.00000,3094.00000,4333.00000,,28957.00000,5130.00000,272.00000,109752.00000,4747.00000,119901.00000,148858.00000,28533.00000,74049.00000,29097.00000,106748.00000,135281.00000,18.00000,1600.00000,-3156.00000,,13577.00000,148858.00000
2021-06-30,8600.00000,9914.00000,3386.00000,4099.00000,,25999.00000,5161.00000,266.00000,111738.00000,4808.00000,121973.00000,147972.00000,28684.00000,74237.00000,28796.00000,106694.00000,135378.00000,18.00000,740.00000,-3103.00000,,12594.00000,147972.00000
2021-03-31,9777.00000,9588.00000,3272.00000,3932.00000,,26569.00000,5193.00000,305.00000,113642.00000,4792.00000,123932.00000,150501.00000,31951.00000,74183.00000,26866.00000,104817.00000,136768.00000,18.00000,2292.00000,-3295.00000,,13733.00000,150501.00000
2020-12-31,8479.00000,8822.00000,3310.00000,3562.00000,,24173.00000,5248.00000,293.00000,116000.00000,4851.00000,126392.00000,150565.00000,28661.00000,77554.00000,27607.00000,108807.00000,137468.00000,18.00000,1055.00000,-3117.00000,,13097.00000,150565.00000
2020-09-30,7950.00000,8416.00000,3474.00000,3169.00000,,23009.00000,4986.00000,246.00000,117444.00000,3936.00000,126612.00000,149621.00000,24181.00000,82282.00000,23384.00000,110151.00000,134332.00000,18.00000,3335.00000,-3259.00000,,15289.00000,149621.00000
2020-06-30,6040.00000,8354.00000,4059.00000,2803.00000,,21256.00000,4908.00000,225.00000,119132.00000,4009.00000,128274.00000,149530.00000,24646.00000,82061.00000,23306.00000,110152.00000,134798.00000,18.00000,3130.00000,-3435.00000,,14732.00000,149530.00000
