,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,15723.00000,27276.00000,19090.00000,3593.00000,65682.00000,12873.00000,21096.00000,102904.00000,7848.00000,162593.00000,228275.00000,69736.00000,50476.00000,16068.00000,87224.00000,156960.00000,48193.00000,56145.00000,-1465.00000,,71315.00000,228275.00000
2022-09-30,19989.00000,26317.00000,18058.00000,3977.00000,68341.00000,12626.00000,20565.00000,103243.00000,8167.00000,162871.00000,231212.00000,72409.00000,50848.00000,16262.00000,87792.00000,160201.00000,48047.00000,54571.00000,-1609.00000,,71011.00000,231212.00000
2022-06-30,14993.00000,27233.00000,17375.00000,2541.00000,62142.00000,12764.00000,21124.00000,106695.00000,8992.00000,168137.00000,230279.00000,68457.00000,50797.00000,12567.00000,86316.00000,154773.00000,47874.00000,58710.00000,-988.00000,,75506.00000,230279.00000
2022-03-31,11342.00000,26451.00000,18160.00000,5530.00000,61483.00000,12844.00000,22595.00000,107603.00000,9547.00000,171390.00000,232873.00000,69780.00000,52063.00000,13275.00000,88953.00000,158733.00000,47677.00000,56488.00000,-190.00000,,74140.00000,232873.00000
2021-12-31,12525.00000,24431.00000,17760.00000,5292.00000,60008.00000,12896.00000,23025.00000,108147.00000,9801.00000,172991.00000,232999.00000,67807.00000,51971.00000,13393.00000,89811.00000,157618.00000,47377.00000,54906.00000,965.00000,,75381.00000,232999.00000
2021-09-30,12841.00000,25283.00000,17399.00000,5319.00000,60842.00000,12771.00000,22370.00000,108666.00000,9780.00000,174049.00000,234891.00000,64709.00000,56832.00000,13947.00000,95564.00000,160273.00000,47133.00000,54264.00000,1077.00000,,74618.00000,234891.00000
2021-06-30,10125.00000,24164.00000,16979.00000,5291.00000,56559.00000,12664.00000,22136.00000,109632.00000,9697.00000,174605.00000,231164.00000,59311.00000,59294.00000,13928.00000,98288.00000,157599.00000,46995.00000,53331.00000,1170.00000,,73565.00000,231164.00000
2021-03-31,8788.00000,23855.00000,17618.00000,5458.00000,55719.00000,12611.00000,21025.00000,110191.00000,9518.00000,173887.00000,229606.00000,60104.00000,59270.00000,13871.00000,98338.00000,158442.00000,46727.00000,51203.00000,1022.00000,,71164.00000,229606.00000
2020-12-31,10854.00000,21742.00000,18496.00000,5277.00000,56369.00000,12606.00000,20812.00000,110694.00000,9505.00000,174346.00000,230715.00000,62017.00000,59207.00000,14239.00000,98997.00000,161014.00000,46513.00000,49640.00000,1414.00000,,69701.00000,230715.00000
2020-09-30,12087.00000,23816.00000,17478.00000,5830.00000,59211.00000,12349.00000,20216.00000,111276.00000,9362.00000,173687.00000,232898.00000,62044.00000,61552.00000,14448.00000,101742.00000,163786.00000,46388.00000,49328.00000,1255.00000,,69112.00000,232898.00000
2020-06-30,17465.00000,22520.00000,16519.00000,6002.00000,62506.00000,12221.00000,18594.00000,112282.00000,9321.00000,172989.00000,235495.00000,63694.00000,63481.00000,14217.00000,103446.00000,167140.00000,46276.00000,48768.00000,1213.00000,,68355.00000,235495.00000
2020-03-31,12713.00000,23037.00000,16976.00000,6232.00000,58958.00000,12146.00000,16840.00000,112720.00000,9303.00000,171681.00000,230639.00000,59560.00000,65735.00000,14010.00000,105605.00000,165165.00000,46180.00000,46455.00000,687.00000,,65474.00000,230639.00000
2019-12-31,8056.00000,19617.00000,17516.00000,5113.00000,50302.00000,12044.00000,17314.00000,112870.00000,9059.00000,172147.00000,222449.00000,53303.00000,64699.00000,14057.00000,104976.00000,158279.00000,45972.00000,45108.00000,1019.00000,,64170.00000,222449.00000
2019-09-30,7527.00000,19789.00000,16028.00000,4841.00000,48185.00000,11651.00000,17342.00000,113203.00000,8975.00000,171928.00000,220113.00000,52544.00000,64206.00000,14325.00000,104636.00000,157180.00000,45854.00000,44017.00000,950.00000,,62933.00000,220113.00000
2019-06-30,8525.00000,18174.00000,15511.00000,4691.00000,46901.00000,11483.00000,16973.00000,113648.00000,9034.00000,172003.00000,218904.00000,49376.00000,66941.00000,14764.00000,107929.00000,157305.00000,45719.00000,43136.00000,684.00000,,61599.00000,218904.00000
2019-03-31,8322.00000,19509.00000,15448.00000,4578.00000,47857.00000,11348.00000,16410.00000,114222.00000,8939.00000,171911.00000,219768.00000,50631.00000,67888.00000,14742.00000,109131.00000,159762.00000,45615.00000,41859.00000,433.00000,,60006.00000,219768.00000
2018-12-31,6581.00000,17631.00000,16450.00000,4581.00000,45243.00000,11349.00000,15732.00000,115202.00000,8930.00000,151213.00000,196456.00000,44009.00000,71444.00000,14783.00000,93904.00000,137913.00000,45440.00000,40911.00000,102.00000,,58543.00000,196456.00000
2018-09-30,41692.00000,14837.00000,14818.00000,634.00000,71981.00000,10419.00000,,47382.00000,1724.00000,59525.00000,131506.00000,29460.00000,60747.00000,1625.00000,65424.00000,94884.00000,17.00000,41843.00000,129.00000,-29.00000,36622.00000,131506.00000
2018-06-30,43911.00000,14158.00000,14922.00000,799.00000,73790.00000,10249.00000,,47542.00000,1709.00000,59500.00000,133290.00000,31493.00000,61569.00000,1563.00000,66186.00000,97679.00000,17.00000,40965.00000,141.00000,-31.00000,35611.00000,133290.00000
2018-03-31,42142.00000,13964.00000,14824.00000,868.00000,71798.00000,10144.00000,,51503.00000,1694.00000,63341.00000,135139.00000,30248.00000,61552.00000,1604.00000,66214.00000,96462.00000,17.00000,44040.00000,172.00000,-31.00000,38677.00000,135139.00000
2017-12-31,1807.00000,13181.00000,15296.00000,945.00000,31229.00000,10292.00000,112.00000,52081.00000,1417.00000,63902.00000,95131.00000,30648.00000,22181.00000,1611.00000,26788.00000,57436.00000,32096.00000,43556.00000,-165.00000,,37695.00000,95131.00000
2017-09-30,2560.00000,12440.00000,14147.00000,776.00000,29923.00000,9914.00000,,51472.00000,1544.00000,62930.00000,92853.00000,28513.00000,23386.00000,1644.00000,29472.00000,57985.00000,17.00000,40779.00000,-147.00000,-31.00000,34868.00000,92853.00000
2017-06-30,2169.00000,12274.00000,14271.00000,690.00000,29404.00000,10073.00000,,51484.00000,1564.00000,63121.00000,92525.00000,26857.00000,25622.00000,1689.00000,31521.00000,58378.00000,17.00000,40005.00000,-306.00000,-31.00000,34147.00000,92525.00000
2017-03-31,2302.00000,12114.00000,14306.00000,735.00000,29457.00000,10057.00000,,51653.00000,1503.00000,63213.00000,92670.00000,27288.00000,25622.00000,1704.00000,31540.00000,58828.00000,17.00000,39419.00000,-296.00000,-31.00000,33842.00000,92670.00000
2016-12-31,3458.00000,12164.00000,14760.00000,660.00000,31042.00000,10175.00000,,51760.00000,1485.00000,63420.00000,94462.00000,26250.00000,25615.00000,1549.00000,31378.00000,57628.00000,17.00000,38983.00000,-305.00000,-31.00000,36834.00000,94462.00000
2016-09-30,2263.00000,13625.00000,14348.00000,703.00000,30939.00000,9901.00000,,51781.00000,1535.00000,63217.00000,94156.00000,26741.00000,25610.00000,1597.00000,31461.00000,58202.00000,17.00000,37732.00000,-319.00000,-31.00000,35954.00000,94156.00000
2016-06-30,1207.00000,13183.00000,14177.00000,881.00000,29448.00000,9981.00000,,51829.00000,1490.00000,63300.00000,92748.00000,26569.00000,25600.00000,1553.00000,31413.00000,57982.00000,17.00000,36647.00000,-317.00000,-31.00000,34766.00000,92748.00000
2016-03-31,1864.00000,13025.00000,13912.00000,612.00000,29413.00000,9862.00000,,51865.00000,1494.00000,63221.00000,92634.00000,24537.00000,26267.00000,1567.00000,32066.00000,56603.00000,17.00000,36182.00000,-339.00000,-31.00000,36031.00000,92634.00000
2015-12-31,2547.00000,11888.00000,14001.00000,722.00000,29158.00000,9855.00000,,51984.00000,1440.00000,63279.00000,92437.00000,23169.00000,26267.00000,1542.00000,32065.00000,55234.00000,17.00000,35506.00000,-358.00000,-31.00000,37203.00000,92437.00000
2015-09-30,3011.00000,12804.00000,13282.00000,579.00000,30753.00000,9494.00000,,50639.00000,1476.00000,61609.00000,92362.00000,21434.00000,26771.00000,1528.00000,33748.00000,55182.00000,17.00000,34398.00000,-316.00000,-31.00000,37180.00000,92362.00000
2015-06-30,1404.00000,10892.00000,12384.00000,732.00000,26401.00000,9019.00000,,37805.00000,1443.00000,48267.00000,74668.00000,20386.00000,11633.00000,1490.00000,17149.00000,37535.00000,17.00000,33544.00000,-255.00000,-31.00000,37133.00000,74668.00000
2015-03-31,1634.00000,10162.00000,12231.00000,594.00000,25622.00000,8871.00000,,37882.00000,1555.00000,48308.00000,73930.00000,19713.00000,11689.00000,1513.00000,17222.00000,36935.00000,17.00000,32667.00000,-264.00000,-31.00000,36995.00000,73930.00000
2014-12-31,2515.00000,9687.00000,11930.00000,866.00000,25983.00000,8843.00000,,37916.00000,1445.00000,48204.00000,74187.00000,19027.00000,11630.00000,1531.00000,17197.00000,36224.00000,17.00000,31849.00000,-217.00000,-31.00000,37963.00000,74187.00000
2014-09-30,1210.00000,10828.00000,11613.00000,644.00000,25337.00000,8694.00000,,38005.00000,1540.00000,48239.00000,73576.00000,18213.00000,11709.00000,1494.00000,17254.00000,35467.00000,17.00000,30845.00000,-160.00000,-31.00000,38109.00000,73576.00000
2014-06-30,1712.00000,9533.00000,11360.00000,554.00000,24138.00000,8820.00000,,38032.00000,1603.00000,48455.00000,72593.00000,16629.00000,12252.00000,1489.00000,17832.00000,34461.00000,17.00000,30221.00000,-132.00000,-31.00000,38132.00000,72593.00000
2014-03-31,2848.00000,9086.00000,11188.00000,409.00000,24460.00000,8676.00000,,38125.00000,1561.00000,48362.00000,72822.00000,16213.00000,12845.00000,1499.00000,18397.00000,34610.00000,17.00000,29297.00000,-139.00000,-31.00000,38212.00000,72822.00000
2013-12-31,4177.00000,8729.00000,11045.00000,472.00000,25325.00000,8615.00000,,36071.00000,1515.00000,46201.00000,71526.00000,15425.00000,12841.00000,1421.00000,18163.00000,33588.00000,17.00000,28493.00000,-149.00000,-31.00000,37938.00000,71526.00000
