,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1679.00000,5692.00000,7371.00000,27037.00000,2325.00000,30773.00000,38144.00000,26729.00000,3084.00000,682.00000,3766.00000,30495.00000,1.00000,11610.00000,-2348.00000,7649.00000,38144.00000
2022-06-30,2116.04900,5503.53200,7619.58100,178.12300,2329.55400,3680.81900,37907.65000,25309.07000,3089.31900,656.39400,3745.71300,29054.78000,0.70000,11994.14000,-1576.85400,8852.86600,37907.65000
2022-03-31,1778.21800,5483.27300,7261.49100,27676.85000,2205.70000,30725.28000,37986.78000,24743.33000,3088.94600,626.87900,3715.82500,28459.15000,0.70000,11936.49000,-832.82000,9527.62900,37986.78000
2021-12-31,1441.00000,5349.00000,6790.00000,28381.00000,2141.00000,31394.00000,38184.00000,24401.00000,3089.00000,557.00000,3646.00000,28047.00000,1.00000,11700.00000,12.00000,10140.00000,38184.00000
2021-09-30,1068.44100,5623.71800,6692.15900,26885.59000,2230.60900,29913.94000,36606.10000,24092.60000,1910.94800,619.84400,2534.86600,26627.46000,0.69800,11330.10000,203.73300,9978.63500,36606.10000
2021-06-30,1106.34500,5231.38700,6337.73100,26120.51000,2162.91400,29032.32000,35370.05000,22311.35000,1910.76200,696.07000,2641.92100,24953.27000,0.69800,11465.02000,357.17800,10416.79000,35370.05000
2021-03-31,1132.66000,4851.07400,5983.73400,24964.47000,1983.58400,27611.62000,33595.35000,21412.07000,1910.57700,589.82800,2500.40500,23912.47000,0.69800,10847.08000,235.07900,9682.88200,33595.35000
2020-12-31,801.65100,4675.11700,5476.76800,24801.25000,1794.18500,27234.74000,32711.50000,20309.81000,1910.39200,765.12500,2675.51700,22985.33000,0.69600,10567.45000,534.89900,9726.17600,32711.50000
2020-09-30,938.88100,4534.04800,5472.92900,22298.32000,1702.24300,24680.10000,30153.03000,19293.65000,710.81300,557.27400,1268.08700,20561.73000,0.69600,10565.79000,411.59800,9591.29200,30153.03000
2020-06-30,922.47900,4631.49100,5553.97000,20799.58000,1653.02900,23030.82000,28584.79000,18090.64000,620.75900,587.09900,1207.85800,19298.49000,0.69600,10384.64000,297.13700,9286.29900,28584.79000
2020-03-31,817.62600,4148.99300,4966.61900,19636.75000,1609.12400,22256.02000,27222.64000,17475.12000,682.18700,484.38700,1166.57400,18641.69000,0.69600,10255.69000,-269.75100,8580.94400,27222.64000
2019-12-31,808.03600,4022.55900,4830.59500,20057.27000,1548.61400,22493.46000,27324.05000,17067.80000,633.83200,489.49800,1123.33000,18191.13000,0.69400,10306.57000,28.15200,9132.92500,27324.05000
2019-09-30,717.17200,4572.86900,5290.04100,19763.54000,1443.64200,21733.70000,27023.74000,16969.34000,633.77700,437.36800,1071.14500,18040.48000,0.69400,10152.12000,46.27200,8983.25800,27023.74000
2019-06-30,661.36700,4546.26600,5207.63300,19241.76000,1427.53900,21180.16000,26387.79000,16384.11000,633.72300,485.80100,1119.52400,17503.63000,0.69400,10152.06000,-44.90200,8884.16000,26387.79000
2019-03-31,583.97400,4652.99700,5236.97100,18745.83000,1119.21600,20393.54000,25630.51000,16265.40000,633.66800,304.80700,938.47500,17203.88000,0.69400,9866.20300,-216.11100,8426.62900,25630.51000
2018-12-31,656.09500,4565.31800,5221.41300,17881.59000,1136.41600,19529.58000,24750.99000,16003.63000,633.61300,252.95200,886.56490,16890.20000,0.69200,9531.43300,-462.55700,7860.79700,24750.99000
2018-09-30,639.76100,4102.42900,4742.19000,18128.92000,1079.53600,19668.67000,24410.86000,15104.73000,633.55800,343.55700,977.11500,16081.84000,0.69200,10013.59000,-470.31700,8329.01300,24410.86000
2018-06-30,619.49300,4021.66500,4641.15800,17684.78000,1141.78400,19244.73000,23885.88000,14566.15000,633.50400,444.88300,1078.38700,15644.54000,0.69200,9860.84200,-445.33800,8241.34900,23885.88000
2018-03-31,700.58600,3528.54300,4229.12900,17982.46000,880.88600,19284.07000,23513.20000,14224.24000,633.44900,311.32300,944.77200,15169.02000,0.69200,9844.18700,-341.97400,8344.18000,23513.20000
2017-12-31,635.06700,3492.54500,4127.61200,18089.17000,963.42100,19464.18000,23591.79000,14174.66000,633.39500,414.50000,1047.89500,15222.56000,0.69100,9685.90800,-160.89100,8369.23200,23591.79000
2017-09-30,585.39500,3853.78600,4439.18100,17997.74000,1102.49700,19497.09000,23936.27000,15046.40000,633.34000,287.20300,920.54300,15966.94000,0.69100,9166.98800,-84.24700,7969.33100,23936.27000
2017-06-30,469.20500,3035.43100,3504.63600,17828.92000,831.00600,19017.25000,22521.89000,12973.17000,633.28500,330.64200,963.92700,13937.09000,0.69100,9857.66400,-151.97200,8584.79800,22521.89000
2017-03-31,468.24000,2892.82200,3361.06200,17753.40000,731.15600,18831.89000,22192.95000,12657.67000,633.23100,554.17700,1187.40800,13845.08000,0.69100,9663.29400,-185.51800,8347.87600,22192.95000
2016-12-31,481.92200,2682.01900,3163.94100,17097.64000,715.87100,18157.56000,21321.50000,12231.07000,633.17600,381.86300,1015.03900,13246.11000,0.68900,9422.93200,-216.76400,8075.39600,21321.50000
2016-09-30,435.79500,2802.29600,3238.09100,17204.80000,870.86990,18424.99000,21663.08000,12648.24000,633.12200,340.62500,973.74700,13621.99000,0.68800,9100.44700,75.83000,8041.09200,21663.08000
2016-06-30,429.28700,2606.98000,3036.26700,17126.59000,799.53800,18245.91000,21282.18000,12278.59000,633.06700,385.04500,1018.11200,13296.71000,0.68800,8852.51200,84.00000,7985.46800,21282.18000
2016-03-31,328.94300,2618.70100,2947.64400,16843.82000,707.05800,17908.21000,20855.85000,12038.31000,638.36900,338.87800,977.24710,13015.55000,0.68800,8744.95200,-45.29900,7840.29900,20855.85000
2015-12-31,283.65800,2635.66800,2919.32600,16493.68000,760.05200,17626.09000,20545.42000,11986.53000,632.95800,317.34100,950.29900,12936.83000,0.68600,8621.97200,-231.75500,7608.58500,20545.42000
2015-09-30,401.22600,2765.66700,3166.89300,17353.20000,797.27100,18515.42000,21682.31000,12416.45000,638.36700,388.48000,1779.53900,14195.99000,0.68600,8313.89300,-112.23100,7486.32000,21682.31000
2015-06-30,338.90100,2334.45800,2673.35900,17772.14000,686.84900,18809.54000,21482.90000,11987.43000,638.36600,370.70900,1768.80400,13756.23000,0.68500,8267.03800,-14.81900,7726.66200,21482.90000
2015-03-31,398.57500,2344.54900,2743.12400,17502.68000,648.32600,18524.16000,21267.29000,11981.53000,638.36500,377.16700,1619.12700,13600.66000,0.68500,8099.93600,52.96900,7666.63000,21267.29000
2014-12-31,437.47400,2253.59900,2691.07300,17109.54000,618.80500,18126.75000,20817.82000,11902.21000,638.36400,404.58300,1464.49900,13366.70000,0.68300,7819.21000,48.31700,7451.12000,20817.82000
2014-09-30,401.80300,2668.78300,3070.58600,17312.24000,711.19400,18416.63000,21487.21000,12490.64000,888.36100,321.61700,1614.38900,14105.03000,0.68300,7521.96600,185.39700,7382.18700,21487.21000
2014-06-30,341.57000,2379.14500,2720.71500,17420.43000,682.38500,18470.93000,21191.64000,12216.03000,888.34600,388.49600,1652.75000,13868.78000,0.68300,7281.02300,299.30400,7322.86800,21191.64000
2014-03-31,385.40400,2216.79300,2602.19700,16537.96000,596.84400,17510.20000,20112.39000,11956.64000,488.33200,314.74600,1118.24600,13074.88000,0.68200,7025.15800,211.20700,7037.51100,20112.39000
2013-12-31,611.38200,2172.33100,2783.71300,16104.16000,556.44300,17024.32000,19808.04000,11835.35000,488.31900,422.71500,1004.41200,12839.76000,0.68000,6765.96700,157.72800,6968.27600,19808.04000
2013-09-30,589.53400,2411.50400,3001.03800,15779.28000,685.64900,17026.88000,20027.92000,12327.18000,488.30500,403.71900,983.29200,13310.47000,0.67900,6437.29000,180.20400,6717.45000,20027.92000
2013-06-30,439.13600,2234.79300,2673.92900,15714.49000,588.18600,16885.12000,19559.05000,12030.37000,528.29100,377.59100,905.88200,12936.25000,0.67800,6225.70500,207.16400,6622.80000,19559.05000
