,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,10076.00000,129916.00000,2155.00000,51609.00000,6838.00000,14945.00000,75547.00000,205463.00000,169831.00000,11712.00000,7184.00000,18896.00000,188727.00000,2051.00000,21219.00000,-5306.00000,16736.00000,205463.00000
2022-06-30,11149.00000,130500.00000,2118.00000,53168.00000,6702.00000,14294.00000,76282.00000,206782.00000,170625.00000,10990.00000,6197.00000,17187.00000,187812.00000,2051.00000,20818.00000,-2644.00000,18970.00000,206782.00000
2022-03-31,23902.00000,140475.00000,2102.00000,49196.00000,6103.00000,13583.00000,70984.00000,211459.00000,173204.00000,10815.00000,7263.00000,18078.00000,191282.00000,2051.00000,20501.00000,-1096.00000,20177.00000,211459.00000
2021-12-31,38078.00000,152651.00000,2120.00000,38494.00000,5791.00000,12060.00000,58465.00000,211116.00000,172818.00000,11821.00000,4267.00000,16088.00000,188906.00000,2051.00000,20236.00000,1207.00000,22210.00000,211116.00000
2021-09-30,38101.00000,149261.00000,2101.00000,38207.00000,5626.00000,12536.00000,58470.00000,207731.00000,168449.00000,11419.00000,5339.00000,16758.00000,185207.00000,2051.00000,19817.00000,1637.00000,22524.00000,207731.00000
2021-06-30,36405.00000,147835.00000,2073.00000,38363.00000,5194.00000,11925.00000,57555.00000,205390.00000,165796.00000,12364.00000,4304.00000,16668.00000,182464.00000,2051.00000,19343.00000,1974.00000,22926.00000,205390.00000
2021-03-31,38037.00000,150161.00000,2072.00000,37920.00000,5170.00000,11576.00000,56738.00000,206899.00000,165680.00000,14743.00000,3881.00000,18624.00000,184304.00000,2051.00000,18863.00000,1792.00000,22595.00000,206899.00000
2020-12-31,37106.00000,148176.00000,2088.00000,37837.00000,5053.00000,11526.00000,56504.00000,204680.00000,163187.00000,14973.00000,3409.00000,18382.00000,181569.00000,2051.00000,18384.00000,2601.00000,23111.00000,204680.00000
2020-09-30,34985.00000,145465.00000,2090.00000,37717.00000,5078.00000,11646.00000,56531.00000,201996.00000,160630.00000,15123.00000,3292.00000,18415.00000,179045.00000,2051.00000,18010.00000,2831.00000,22951.00000,201996.00000
2020-06-30,31990.00000,145259.00000,2053.00000,38888.00000,5108.00000,11598.00000,57647.00000,202906.00000,161075.00000,16327.00000,3169.00000,19496.00000,180571.00000,2051.00000,17643.00000,2951.00000,22335.00000,202906.00000
