,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,278.48300,,278.48300,72587.31000,15031.65000,87618.97000,87897.45000,1711.88500,23875.96000,4446.50900,28322.47000,30034.36000,9.23100,-457.69500,-443.60900,57863.09000,87897.45000
2022-09-30,636.28200,,636.28200,47396.29000,12912.95000,60309.25000,60945.53000,1318.37800,18139.30000,1881.53100,20020.83000,21339.21000,7.40400,-312.94500,-71.62600,39606.32000,60945.53000
2022-06-30,437.51500,,437.51500,47019.04000,12307.27000,59326.30000,59763.82000,1042.08600,18040.83000,1806.96100,19847.79000,20889.88000,7.40400,-740.76400,-328.76100,38873.94000,59763.82000
2022-03-31,1912.75000,,1912.75000,45601.48000,12265.64000,57867.12000,59779.87000,1206.22400,18368.54000,1742.90700,20111.44000,21317.67000,7.40200,-764.42500,-681.12000,38462.20000,59779.87000
2021-12-31,556.11700,,556.11700,45337.00000,12593.10000,57930.10000,58486.22000,1252.76700,17715.05000,1776.18900,19491.24000,20744.01000,7.39800,-1327.82800,-878.25300,37742.21000,58486.22000
2021-09-30,585.07100,,585.07100,45054.39000,11377.21000,56431.60000,57016.67000,1441.77600,17135.67000,1681.75200,18817.42000,20259.20000,7.39300,-2107.98900,-983.90600,36757.47000,57016.67000
2021-06-30,601.44600,,601.44600,44413.61000,11426.33000,55839.94000,56441.39000,1304.53900,16985.30000,1670.73700,18656.04000,19960.58000,7.39000,-2363.34800,-1035.12000,36480.80000,56441.39000
2021-03-31,676.07400,,676.07400,43635.54000,11421.19000,55056.73000,55732.81000,1138.92400,16503.46000,1705.22400,18208.68000,19347.61000,7.39700,-2495.34300,-1021.55100,36385.20000,55732.81000
2020-12-31,598.08600,,598.08600,43845.17000,11621.75000,55466.92000,56065.00000,1143.37200,16849.08000,1747.97700,18597.05000,19740.43000,7.39400,-2394.69000,-1193.73900,36324.58000,56065.00000
2020-09-30,940.19300,,940.19300,42876.61000,11487.09000,54363.70000,55759.60000,1119.12400,16518.13000,1184.50700,17702.63000,19270.29000,7.39000,-2245.92100,-1184.46500,36489.31000,55759.60000
2020-06-30,549.12900,,549.12900,42647.43000,11527.49000,54174.93000,55221.86000,1140.56900,15666.87000,1179.65700,16846.53000,18475.65000,7.38700,-2115.67900,-1142.12900,36746.21000,55221.86000
2020-03-31,807.87100,,807.87100,42449.95000,11239.24000,53689.19000,55007.25000,888.34100,15676.59000,1168.33200,16844.92000,18231.38000,7.38600,-2090.88100,-1142.35200,36775.87000,55007.25000
2019-12-31,1088.85500,,1088.85500,29786.75000,8669.91300,38456.66000,40031.85000,704.95400,11905.88000,877.60100,12783.48000,13960.07000,6.31800,-2151.16800,-990.39800,26071.78000,40031.85000
2019-09-30,1024.99400,,1024.99400,29624.01000,8362.14300,37986.15000,39448.18000,808.89800,11459.22000,812.36490,12271.59000,13512.61000,6.31700,-2201.46100,-1050.24600,25935.58000,39448.18000
2019-06-30,401.19000,,401.19000,29809.83000,8101.12500,37910.96000,38706.75000,740.94100,10968.32000,816.88600,11785.21000,12929.32000,6.31100,-2317.00800,-1079.10900,25777.43000,38706.75000
2019-03-31,251.03000,,251.03000,29527.09000,8230.29100,37757.38000,38392.11000,695.76100,10706.14000,773.81000,11479.95000,12568.05000,6.30700,-2366.01500,-1029.20600,25824.06000,38392.11000
2018-12-31,343.85600,,343.85600,29930.31000,8143.50100,38073.81000,38417.66000,760.51500,11089.82000,766.44600,11856.26000,12616.78000,6.29600,-2378.46700,-1084.67100,25800.89000,38417.66000
2018-09-30,275.56200,,275.56200,29834.35000,8158.25100,37992.60000,38268.16000,873.41200,11232.13000,724.96600,11957.09000,12830.51000,6.29500,-2672.73600,-1046.56500,25437.65000,38268.16000
2018-06-30,527.83000,,527.83000,21271.47000,7703.58600,28975.05000,29502.88000,719.67900,9427.12400,629.57600,10056.70000,10776.38000,5.33300,-2716.24100,-1041.48600,18726.50000,29502.88000
2018-03-31,458.09900,,458.09900,21676.84000,7536.54300,29213.39000,29671.48000,692.85300,9460.17700,730.33500,10190.51000,10883.37000,5.33100,-2794.77000,-903.34300,18788.12000,29671.48000
2017-12-31,447.04600,34.26000,481.30600,21779.30000,7220.47300,28999.77000,29481.07000,702.80400,9412.63100,659.89900,10072.53000,10775.33000,5.32200,-2904.46100,-901.65800,18705.74000,29481.07000
