,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,737.87300,182.71400,447.29000,,42.74200,1410.61900,357.15700,,6.57100,249.28600,648.26610,2058.88500,263.40000,126.88300,126.88300,390.28300,975.27600,716.40300,-23.07700,1668.60200,2058.88500
2022-09-30,736.04700,153.40400,397.43500,,36.57100,1323.45700,343.12300,,6.57100,234.16500,607.76400,1931.22100,290.98800,109.52400,109.52400,400.51200,938.99300,633.64000,-41.92400,1530.70900,1931.22100
2022-06-30,811.87900,125.50800,359.64700,,35.05500,1332.08900,356.68700,,6.57100,66.38500,453.60400,1785.69300,254.48700,108.08400,108.08400,362.57100,891.88800,545.92000,-14.68600,1423.12200,1785.69300
2022-03-31,773.51200,120.31800,311.04000,,42.26600,1247.13600,369.37400,,6.57100,68.05200,466.84500,1713.98100,272.52800,115.34100,115.34100,387.86900,847.96600,467.84400,10.30200,1326.11200,1713.98100
2021-12-31,725.08200,104.81300,259.41700,,35.54000,1124.85200,362.96200,,6.57100,69.52300,460.97300,1585.82500,226.94400,114.89600,114.89600,341.84000,803.22600,424.87900,15.88000,1243.98500,1585.82500
2021-09-30,742.03800,79.85900,208.06200,,34.53500,1064.49400,340.06000,,6.57100,67.05000,431.40700,1495.90100,227.66300,64.50600,105.52500,333.18800,769.85800,381.19300,11.66200,1162.71300,1495.90100
2021-06-30,670.28800,77.55300,177.32200,,24.91700,950.08000,332.09300,,6.57100,66.54800,422.91100,1372.99100,182.73100,64.40700,102.90500,285.63600,733.67200,341.38200,12.30100,1087.35500,1372.99100
2021-03-31,638.82300,84.05900,175.22300,,24.32500,922.43000,297.74100,,6.57100,63.78200,385.76200,1308.19200,187.90900,61.64400,98.70600,286.61500,699.35900,315.20600,7.01200,1021.57700,1308.19200
2020-12-31,595.11300,66.84300,157.06200,,22.98000,841.99800,281.52800,,6.57100,59.83800,366.49300,1208.49100,146.96900,94.93500,94.93500,241.90400,657.70100,298.74600,10.14000,966.58700,1208.49100
2020-09-30,551.54200,93.53500,148.09600,,25.97000,819.14300,270.31000,2.91600,6.57100,48.86800,342.15100,1161.29400,158.27800,52.82300,88.44700,246.72500,632.43200,279.65300,2.48400,914.56900,1161.29400
