,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2012-03-31,2611.17000,97.81000,82.29000,2791.28000,,112.96000,526.84000,103.48000,751.56010,3970.01000,630.72000,362.95000,23.65000,442.47000,1073.21000,0.00240,2445.32000,,161.89000,2896.79000,3970.01000
2011-12-31,2272.67000,92.93000,90.85000,2456.46000,,113.82000,518.94000,95.10000,735.93000,3617.78000,683.01000,357.73000,23.07000,404.29000,1087.32000,0.00230,2108.67000,,147.43000,2530.45000,3617.78000
2011-09-30,1858.77000,101.89000,201.27000,2161.95000,,70.33000,525.76000,97.08000,697.98000,3255.19000,652.51000,363.05000,23.53000,407.43000,1059.95000,0.00230,1801.90000,,130.59000,2195.23000,3255.19000
2011-06-30,1608.14000,63.53000,51.43000,1723.11000,,69.18000,46.11000,29.03000,149.06000,2213.22000,469.34000,21.56000,,21.56000,490.90000,0.00230,1489.03000,,-19.44000,1722.32000,2213.22000
2011-03-31,1341.66000,53.93000,61.37000,1456.98000,,65.28000,46.00000,28.23000,144.20000,1893.07000,424.08000,21.30000,,21.30000,445.38000,0.00230,1223.11000,,-18.93000,1447.68000,1893.07000
2010-12-31,1213.11000,43.94000,42.74000,1299.80000,,42.61000,26.56000,21.50000,95.23000,1635.16000,377.67000,12.72000,,13.46000,391.14000,0.00220,1030.92000,,-17.37000,1244.02000,1635.16000
2010-09-30,1026.05000,42.31000,28.40000,1096.78000,,7.48000,26.91000,20.01000,59.39000,1370.02000,301.62000,,0.61000,1.34000,302.98000,0.00220,858.57000,,-17.00000,1067.04000,1370.02000
2010-06-30,867.46000,29.17000,18.74000,915.39000,,7.78000,26.58000,17.52000,56.83000,1141.35000,242.19000,,0.60000,1.33000,243.53000,0.00220,698.06000,,-17.00000,897.81000,1141.35000
2010-03-31,721.61000,22.59000,18.95000,763.17000,,2.14000,27.01000,14.58000,48.69000,964.30000,190.65000,,0.61000,0.61000,191.26000,0.00220,576.39000,,-17.29000,773.04000,964.30000
2009-12-31,671.57000,23.69000,14.69000,709.96000,,2.09000,27.30000,12.04000,46.38000,902.61000,205.19000,,0.60000,0.60000,205.80000,0.00220,504.38000,,-16.64000,696.80000,902.61000
2009-09-30,581.21000,24.10000,15.40000,620.72000,,1.99000,27.68000,12.01000,45.73000,804.49000,173.09000,,0.60000,0.60000,173.70000,0.00220,441.65000,,-16.22000,630.78000,804.49000
2009-06-30,491.73000,19.70000,13.80000,525.25000,,1.80000,25.53000,10.44000,41.82000,684.56000,131.99000,,,,131.99000,0.00220,369.40000,,-16.87000,552.57000,684.56000
2009-03-31,407.28000,11.23000,12.10000,430.62000,,1.80000,26.02000,12.55000,44.43000,587.85000,116.94000,,,,116.94000,0.00220,314.07000,,-17.09000,470.90000,587.85000
