,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4117.90000,942.10000,893.20000,299.80000,6253.00000,2374.20000,2623.60000,1058.60000,,6721.00000,12974.00000,1422.10000,439.30000,439.30000,1861.40000,0.40000,3500.10000,-162.50000,11112.60000,12974.00000
2022-09-30,4313.90000,849.60000,837.10000,292.50000,6293.10000,2243.70000,3078.10000,1058.50000,,6967.70000,13260.80000,1233.40000,453.40000,453.40000,1686.80000,0.40000,4017.80000,-187.60000,11574.00000,13260.80000
2022-06-30,4437.40000,838.50000,724.00000,292.60000,6292.50000,2109.30000,3738.00000,1049.50000,,7412.70000,13705.20000,1175.00000,447.80000,447.80000,1622.80000,0.40000,4682.80000,-144.20000,12082.40000,13705.20000
2022-03-31,3985.60000,906.10000,653.00000,258.50000,5803.20000,1968.20000,4416.20000,1005.40000,,7875.20000,13678.40000,1112.20000,409.30000,409.30000,1521.50000,0.40000,4858.00000,-110.70000,12156.90000,13678.40000
2021-12-31,4204.00000,782.70000,587.10000,271.10000,5844.90000,1876.40000,4415.50000,976.80000,,7710.10000,13555.00000,1149.80000,453.70000,453.70000,1603.50000,0.40000,4760.90000,-24.20000,11951.50000,13555.00000
2021-09-30,4088.20000,695.00000,584.90000,359.90000,5728.00000,1737.90000,4131.50000,925.70000,,7206.60000,12934.60000,1027.30000,447.80000,447.80000,1475.10000,0.40000,4390.10000,5.30000,11459.50000,12934.60000
2021-06-30,4439.20000,699.90000,569.70000,307.80000,6016.60000,1651.20000,3295.60000,939.20000,,6280.40000,12297.00000,1004.60000,412.90000,412.90000,1417.50000,0.10000,4022.70000,10.30000,10879.50000,12297.00000
2021-03-31,4557.50000,654.30000,576.80000,277.80000,6066.40000,1592.90000,2673.00000,871.50000,,5474.00000,11540.40000,904.60000,445.60000,445.60000,1350.20000,0.10000,3514.70000,11.40000,10190.20000,11540.40000
2020-12-31,5111.40000,645.50000,601.50000,267.50000,6625.90000,1577.30000,1757.70000,840.30000,,4543.00000,11168.90000,965.20000,444.60000,444.60000,1409.80000,0.40000,3261.30000,24.90000,9759.10000,11168.90000
2020-09-30,4718.20000,588.60000,662.90000,330.60000,6300.30000,1509.70000,1643.20000,804.00000,,4317.20000,10617.50000,894.70000,436.10000,436.10000,1330.80000,0.10000,2937.20000,16.20000,9286.70000,10617.50000
