,cash-on-hand,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6058.45200,,3208.02100,9266.47300,1398.25700,37930.04000,39328.30000,48594.77000,7930.97400,14353.08000,5533.31700,19886.39000,27817.37000,4637.60100,17181.30000,-217.30600,20777.40000,48594.77000
2022-09-30,6113.73300,,2703.17000,8816.90300,1372.75400,37372.53000,38745.29000,47562.19000,7765.92400,13888.12000,5380.00500,19268.12000,27034.05000,4473.96200,17126.01000,-247.64300,20528.14000,47562.19000
2022-06-30,5819.44900,,2021.32900,7840.77800,1361.92000,37148.24000,38510.16000,46350.93000,7500.02200,14233.30000,5541.63600,19774.94000,27274.96000,4316.87000,15727.77000,-144.47600,19075.97000,46350.93000
2022-03-31,6008.94600,,2089.06900,8098.01500,1383.76300,35849.13000,37232.89000,45330.90000,7739.65600,14534.56000,5512.64800,20047.21000,27786.87000,4155.58000,14286.82000,-74.17000,17544.04000,45330.90000
2021-12-31,6027.80400,,2042.02100,8069.82500,1323.45300,35191.39000,36514.84000,44584.66000,8488.96600,14693.07000,5553.37700,20246.45000,28735.41000,4024.56100,12689.37000,-40.49500,15849.25000,44584.66000
2021-09-30,7526.68100,,1889.10600,9415.78700,1220.11400,32103.96000,33324.07000,42739.86000,8049.24600,14793.69000,4582.30300,19375.99000,27425.24000,3852.53100,12081.94000,-19.83500,15314.62000,42739.86000
2021-06-30,7777.53000,,1826.74600,9604.27600,1107.43700,30259.26000,31366.69000,40970.97000,7832.88800,14926.89000,4347.32100,19274.21000,27107.10000,3721.24600,10632.87000,9.77500,13863.87000,40970.97000
2021-03-31,8403.70500,,1703.80300,10107.51000,1015.41900,29000.09000,30015.51000,40123.02000,7961.77000,14860.55000,4416.61200,19277.16000,27238.93000,3600.08400,9279.85900,4.13700,12884.08000,40123.02000
2020-12-31,8205.55000,,1556.03000,9761.58000,960.18300,28558.60000,29518.78000,39280.36000,7805.78500,15809.09000,4600.23900,20409.33000,28215.12000,3447.69800,7573.14400,44.39800,11065.24000,39280.36000
2020-09-30,8392.39100,,1434.08900,9826.48000,828.11800,27967.95000,28796.06000,38622.54000,7939.79500,15547.62000,4801.80900,20349.43000,28289.22000,3303.48200,7030.98800,-1.14700,10333.32000,38622.54000
2020-06-30,7153.24800,,1410.89100,8564.13900,751.94100,27859.20000,28611.14000,37175.28000,7626.41800,15295.00000,4919.11200,20214.11000,27840.53000,3127.81300,6241.01200,-34.07200,9334.75300,37175.28000
2020-03-31,5151.88400,,1295.89700,6447.78100,650.45500,27961.67000,28612.13000,35059.91000,7853.72500,14170.69000,4626.19900,18796.89000,26650.62000,2935.53200,5520.81600,-47.05400,8409.29400,35059.91000
2019-12-31,5018.43700,,1160.06700,6178.50400,565.22100,27231.99000,27797.21000,33975.71000,6855.69600,14759.26000,4778.59900,19537.86000,26393.55000,2793.92900,4811.74900,-23.52100,7582.15700,33975.71000
2019-09-30,4435.01800,,892.74000,5327.75800,481.99200,25131.96000,25613.95000,30941.71000,7257.90000,12425.75000,4396.56000,16822.31000,24080.21000,2677.97200,4224.77900,-41.24600,6861.50500,30941.71000
2019-06-30,5004.24700,,872.91000,5877.15700,452.39900,23841.78000,24294.18000,30171.34000,6933.98400,12594.13000,4537.67200,17131.81000,24065.79000,2566.36500,3559.53500,-20.35200,6105.54800,30171.34000
2019-03-31,3348.55700,,820.35000,4168.90700,434.37200,22615.35000,23049.72000,27218.63000,6857.80700,10305.02000,4352.74400,14657.77000,21515.57000,2439.77300,3288.88500,-25.60000,5703.05800,27218.63000
2018-12-31,3794.48300,,5899.65200,9694.13500,418.28100,15861.98000,16280.27000,25974.40000,6487.32000,10360.06000,3888.25700,14248.31000,20735.63000,2315.98800,2942.35900,-19.58200,5238.76500,25974.40000
2018-09-30,3067.53400,,5662.44700,8729.98100,371.15200,14265.10000,14636.25000,23366.23000,6298.24000,8336.58600,3721.75000,12058.34000,18356.58000,2215.73600,2808.42500,-14.50800,5009.65300,23366.23000
2018-06-30,3906.35700,,5440.53200,9346.88900,349.64600,12967.00000,13316.65000,22663.54000,6079.64100,8342.06700,3745.22900,12087.30000,18166.94000,2103.43700,2405.59000,-12.42700,4496.60000,22663.54000
2018-03-31,2593.66600,,5223.91000,7817.57600,341.93200,11993.29000,12335.22000,20152.80000,6005.58700,6542.37300,3584.10700,10126.48000,16132.07000,1995.22500,2021.24100,4.26400,4020.73000,20152.80000
2017-12-31,2822.79500,,4847.17900,7669.97400,319.40400,11023.36000,11342.77000,19012.74000,5466.31200,6499.43200,3465.04200,9964.47500,15430.79000,1871.39600,1731.11700,-20.55700,3581.95600,19012.74000
2017-09-30,1746.46900,,4638.87900,6385.34800,322.42100,10243.77000,10566.19000,16951.54000,5310.67700,4888.78300,3424.71900,8313.50200,13624.18000,1807.12300,1545.60000,-25.36200,3327.36100,16951.54000
2017-06-30,2164.90200,,4535.88300,6700.78500,309.83100,9506.60700,9816.43800,16517.22000,5122.94500,4836.50200,3445.27600,8281.77700,13404.72000,1727.85800,1416.01000,-31.36800,3112.50000,16517.22000
2017-03-31,1341.22900,,4319.10100,5660.33000,275.08300,8423.68300,8698.76600,14359.10000,4911.22900,3365.43100,3108.75300,6474.18400,11385.41000,1669.13200,1350.41000,-45.85900,2973.68300,14359.10000
2016-12-31,1733.78200,,3986.50900,5720.29100,250.39500,7615.92400,7866.31900,13586.61000,4586.65700,3364.31100,2955.84200,6320.15300,10906.81000,1599.76200,1128.60300,-48.56500,2679.80000,13586.61000
2016-09-30,1343.25600,,3850.63700,5193.89300,191.87600,6961.56900,7153.44500,12347.34000,4411.40500,2373.96600,3033.00100,5406.96700,9818.37200,1503.64100,1061.85500,-36.53000,2528.96600,12347.34000
2016-06-30,1834.22800,,3552.69000,5386.91800,162.86400,6043.72500,6206.58900,11593.51000,4051.83700,2373.08500,2752.75100,5125.83600,9177.67300,1443.70700,1010.33800,-38.21100,2415.83400,11593.51000
2016-03-31,2072.47100,,3471.36500,5543.83600,166.25400,5552.18400,5718.43800,11262.27000,3933.63200,2372.21800,2639.19100,5011.40900,8945.04100,1382.05100,969.58300,-34.40100,2317.23300,11262.27000
2015-12-31,2310.71500,,3121.12500,5431.84000,173.41200,4597.61900,4771.03100,10202.87000,3529.62400,2371.36200,2078.45900,4449.82100,7979.44500,1324.80900,941.92500,-43.30800,2223.42600,10202.87000
2015-09-30,2609.64200,,2960.07100,5569.71300,181.26800,4165.28600,4346.55400,9916.26700,3341.41800,2400.00000,2007.53100,4407.53100,7748.94900,1306.46100,898.74700,-37.89000,2167.31800,9916.26700
2015-06-30,2796.75800,,2803.75200,5600.51000,171.39600,3882.95500,4054.35100,9654.86100,3220.06900,2400.00000,2002.71700,4402.71700,7622.78600,1200.88000,869.31500,-38.12000,2032.07500,9654.86100
2015-03-31,2957.70800,,2581.34800,5539.05600,145.81600,3555.75400,3701.57000,9240.62600,3008.84900,2400.00000,1922.56300,4322.56300,7331.41200,0.06100,842.98000,-43.15400,1909.21400,9240.62600
2014-12-31,1608.49600,,2318.55700,3927.05300,149.87500,2965.57200,3115.44700,7042.50000,2663.15400,885.84900,1635.78900,2521.63800,5184.79200,1042.87000,819.28400,-4.44600,1857.70800,7042.50000
2014-09-30,1666.81900,,2156.66300,3823.48200,144.14700,2810.70000,2954.84700,6778.32900,2548.65500,900.00000,1604.80000,2504.80000,5053.45500,0.06000,735.91300,1.64500,1724.87400,6778.32900
2014-06-30,1714.36500,,1954.01500,3668.38000,141.71500,2515.72700,2657.44200,6325.82200,2335.12400,900.00000,1480.99300,2380.99300,4716.11700,0.06000,676.61800,6.50200,1609.70500,6325.82200
2014-03-31,1668.24300,,1918.54100,3586.78400,133.47300,2327.84900,2461.32200,6048.10600,2263.65300,900.00000,1406.09500,2306.09500,4569.74800,0.06000,605.60000,4.50300,1478.35800,6048.10600
