,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2016-12-31,4219.00000,587.00000,35.00000,260.00000,5101.00000,424.00000,1713.00000,95.00000,2618.00000,7719.00000,2937.00000,990.00000,241.00000,1233.00000,4170.00000,3.00000,2461.00000,-1.00000,3549.00000,7719.00000
2016-09-30,3266.00000,723.00000,50.00000,221.00000,4260.00000,431.00000,1737.00000,98.00000,2632.00000,6892.00000,2050.00000,990.00000,242.00000,1234.00000,3284.00000,3.00000,2462.00000,-10.00000,3608.00000,6892.00000
2016-06-30,3427.00000,246.00000,26.00000,273.00000,3972.00000,435.00000,1750.00000,105.00000,2633.00000,6605.00000,1650.00000,989.00000,248.00000,1239.00000,2889.00000,3.00000,2500.00000,3.00000,3716.00000,6605.00000
2016-03-31,3834.00000,233.00000,,287.00000,4354.00000,439.00000,1767.00000,103.00000,2696.00000,7050.00000,2418.00000,991.00000,243.00000,1236.00000,3654.00000,3.00000,2060.00000,-16.00000,3396.00000,7050.00000
2015-12-31,3229.00000,621.00000,42.00000,214.00000,4152.00000,415.00000,1779.00000,116.00000,2318.00000,6470.00000,3145.00000,7.00000,231.00000,313.00000,3458.00000,3.00000,1161.00000,-57.00000,3012.00000,6470.00000
2015-09-30,2588.00000,737.00000,62.00000,213.00000,3646.00000,430.00000,1793.00000,117.00000,2354.00000,6000.00000,2525.00000,13.00000,241.00000,329.00000,2854.00000,3.00000,1206.00000,-44.00000,3146.00000,6000.00000
2015-06-30,2879.00000,144.00000,34.00000,216.00000,3326.00000,444.00000,1811.00000,126.00000,2395.00000,5721.00000,2029.00000,25.00000,251.00000,356.00000,2385.00000,3.00000,1346.00000,-14.00000,3336.00000,5721.00000
2015-03-31,3021.00000,362.00000,36.00000,247.00000,3720.00000,459.00000,1824.00000,131.00000,2427.00000,6147.00000,2747.00000,31.00000,253.00000,364.00000,3111.00000,3.00000,904.00000,2.00000,3036.00000,6147.00000
2014-12-31,2940.00000,488.00000,39.00000,230.00000,3754.00000,461.00000,1845.00000,101.00000,2413.00000,6167.00000,3069.00000,37.00000,289.00000,411.00000,3480.00000,3.00000,509.00000,23.00000,2687.00000,6167.00000
2014-09-30,2388.00000,829.00000,67.00000,190.00000,3532.00000,483.00000,1866.00000,141.00000,2499.00000,6031.00000,2387.00000,591.00000,298.00000,974.00000,3361.00000,3.00000,367.00000,53.00000,2670.00000,6031.00000
2014-06-30,2316.00000,219.00000,37.00000,300.00000,2930.00000,503.00000,1886.00000,142.00000,2546.00000,5476.00000,1786.00000,586.00000,306.00000,977.00000,2763.00000,3.00000,364.00000,61.00000,2713.00000,5476.00000
2014-03-31,2365.00000,327.00000,56.00000,316.00000,3138.00000,510.00000,1900.00000,140.00000,2578.00000,5716.00000,2390.00000,580.00000,306.00000,904.00000,3294.00000,3.00000,29.00000,37.00000,2422.00000,5716.00000
2013-12-31,2070.00000,526.00000,55.00000,219.00000,2921.00000,518.00000,1921.00000,167.00000,2652.00000,5573.00000,2659.00000,575.00000,334.00000,910.00000,3569.00000,3.00000,-338.00000,52.00000,2004.00000,5573.00000
2013-09-30,1418.00000,594.00000,58.00000,219.00000,2340.00000,532.00000,1942.00000,174.00000,2696.00000,5036.00000,1851.00000,570.00000,328.00000,899.00000,2750.00000,3.00000,-30.00000,62.00000,2286.00000,5036.00000
2013-06-30,1411.00000,120.00000,41.00000,261.00000,1884.00000,537.00000,1956.00000,178.00000,2721.00000,4605.00000,1226.00000,564.00000,322.00000,887.00000,2113.00000,3.00000,243.00000,56.00000,2492.00000,4605.00000
2013-03-31,1680.00000,312.00000,42.00000,239.00000,2325.00000,548.00000,1974.00000,170.00000,2745.00000,5070.00000,1917.00000,559.00000,326.00000,886.00000,2803.00000,3.00000,21.00000,69.00000,2267.00000,5070.00000
2012-12-31,1492.00000,382.00000,59.00000,229.00000,2229.00000,550.00000,2028.00000,185.00000,2810.00000,5039.00000,2146.00000,554.00000,379.00000,935.00000,3081.00000,3.00000,-302.00000,119.00000,1958.00000,5039.00000
2012-09-30,1315.00000,643.00000,71.00000,239.00000,2332.00000,561.00000,2057.00000,192.00000,2859.00000,5191.00000,2046.00000,549.00000,440.00000,991.00000,3037.00000,3.00000,-257.00000,149.00000,2154.00000,5191.00000
2012-06-30,1439.00000,111.00000,60.00000,273.00000,1951.00000,558.00000,2063.00000,209.00000,2874.00000,4825.00000,1336.00000,544.00000,391.00000,937.00000,2273.00000,3.00000,124.00000,115.00000,2552.00000,4825.00000
2012-03-31,1849.00000,366.00000,59.00000,268.00000,2609.00000,568.00000,2087.00000,185.00000,2882.00000,5491.00000,2120.00000,539.00000,366.00000,913.00000,3033.00000,3.00000,-77.00000,173.00000,2458.00000,5491.00000
2011-12-31,1791.00000,526.00000,69.00000,328.00000,2806.00000,547.00000,2118.00000,181.00000,2890.00000,5696.00000,2397.00000,534.00000,418.00000,1034.00000,3431.00000,3.00000,-477.00000,190.00000,2265.00000,5696.00000
2011-09-30,1499.00000,562.00000,90.00000,320.00000,2568.00000,532.00000,2116.00000,174.00000,2867.00000,5435.00000,1854.00000,529.00000,428.00000,1041.00000,2895.00000,3.00000,-272.00000,258.00000,2540.00000,5435.00000
