,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,30657.00000,343091.00000,3585.00000,131732.00000,34333.00000,35697.00000,205347.00000,548438.00000,441679.00000,31172.00000,14776.00000,45948.00000,487627.00000,6634.00000,25344.00000,-12350.00000,60811.00000,548438.00000
2022-06-30,30993.00000,334106.00000,3682.00000,139359.00000,33300.00000,34676.00000,211017.00000,545123.00000,438495.00000,30319.00000,13310.00000,43629.00000,482124.00000,6632.00000,24500.00000,-9240.00000,62999.00000,545123.00000
2022-03-31,37364.00000,327442.00000,3662.00000,146415.00000,32990.00000,33470.00000,216537.00000,543979.00000,433475.00000,33773.00000,11687.00000,45460.00000,478935.00000,6657.00000,23687.00000,-6535.00000,65044.00000,543979.00000
2021-12-31,28746.00000,318636.00000,3700.00000,154617.00000,32139.00000,32149.00000,222605.00000,541241.00000,421780.00000,35913.00000,14277.00000,50190.00000,471970.00000,6639.00000,22998.00000,-1604.00000,69271.00000,541241.00000
2021-09-30,28718.00000,314671.00000,3719.00000,151038.00000,30405.00000,30051.00000,215213.00000,529884.00000,411083.00000,37837.00000,12064.00000,49901.00000,460984.00000,6674.00000,22114.00000,-1538.00000,68900.00000,529884.00000
2021-06-30,33744.00000,315108.00000,3699.00000,142888.00000,29270.00000,30999.00000,206856.00000,521964.00000,403931.00000,37969.00000,11728.00000,49697.00000,453628.00000,6674.00000,21139.00000,-1048.00000,68336.00000,521964.00000
2021-03-31,38575.00000,330092.00000,3787.00000,123807.00000,29546.00000,30305.00000,187445.00000,517537.00000,401451.00000,37753.00000,10457.00000,48210.00000,449661.00000,6724.00000,20184.00000,-1516.00000,67876.00000,517537.00000
2020-12-31,24485.00000,324443.00000,3870.00000,120788.00000,29454.00000,30673.00000,184785.00000,509228.00000,387169.00000,39597.00000,11550.00000,51147.00000,438316.00000,6745.00000,19455.00000,716.00000,70912.00000,509228.00000
2020-09-30,43078.00000,349364.00000,3968.00000,86132.00000,28700.00000,31019.00000,149819.00000,499183.00000,376991.00000,41008.00000,11211.00000,52219.00000,429210.00000,6741.00000,18834.00000,470.00000,69973.00000,499183.00000
2020-06-30,46366.00000,361812.00000,4002.00000,77805.00000,28975.00000,31742.00000,142524.00000,504336.00000,381935.00000,42133.00000,11385.00000,53518.00000,435453.00000,6738.00000,18373.00000,847.00000,68883.00000,504336.00000
2020-03-31,42007.00000,360835.00000,3999.00000,78398.00000,29245.00000,33752.00000,145394.00000,506229.00000,362875.00000,65662.00000,11631.00000,77293.00000,440168.00000,6737.00000,18076.00000,898.00000,66061.00000,506229.00000
2019-12-31,26215.00000,332881.00000,3712.00000,74727.00000,29926.00000,31832.00000,140197.00000,473078.00000,352945.00000,41339.00000,12236.00000,53575.00000,406520.00000,6711.00000,19806.00000,-844.00000,66558.00000,473078.00000
2019-09-30,3018.00000,152300.00000,2022.00000,54765.00000,11429.00000,16234.00000,84450.00000,236750.00000,178927.00000,25520.00000,,25520.00000,204447.00000,3832.00000,19440.00000,-1026.00000,32303.00000,236750.00000
2019-06-30,2701.00000,154929.00000,2029.00000,45289.00000,11512.00000,17113.00000,75943.00000,230872.00000,176468.00000,22640.00000,,22640.00000,199108.00000,3830.00000,19050.00000,-1119.00000,31764.00000,230872.00000
2019-03-31,2972.00000,151302.00000,2078.00000,46410.00000,11580.00000,16313.00000,76381.00000,227683.00000,172071.00000,24729.00000,,24729.00000,196800.00000,3830.00000,18518.00000,-1421.00000,30883.00000,227683.00000
2018-12-31,4378.00000,152821.00000,2118.00000,45590.00000,11698.00000,13470.00000,72876.00000,225697.00000,166377.00000,23709.00000,5433.00000,29142.00000,195519.00000,3817.00000,18118.00000,-1715.00000,30178.00000,225697.00000
2018-09-30,3153.00000,149327.00000,2154.00000,45368.00000,11800.00000,14236.00000,73558.00000,222885.00000,169642.00000,23236.00000,,23236.00000,192878.00000,3853.00000,17673.00000,-1852.00000,30007.00000,222885.00000
2018-06-30,3053.00000,149321.00000,2154.00000,45668.00000,11407.00000,14131.00000,73360.00000,222681.00000,168768.00000,24081.00000,,24081.00000,192849.00000,3872.00000,17197.00000,-1706.00000,29832.00000,222681.00000
2018-03-31,3111.00000,145819.00000,2078.00000,47407.00000,11415.00000,14010.00000,74910.00000,220729.00000,167657.00000,23410.00000,,23410.00000,191067.00000,3899.00000,16712.00000,-1645.00000,29662.00000,220729.00000
