,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1019.00000,1891.00000,741.00000,301.00000,3952.00000,56038.00000,2375.00000,1412.00000,61497.00000,65449.00000,5520.00000,31648.00000,1785.00000,47766.00000,53286.00000,2782.00000,58887.00000,-582.00000,12163.00000,65449.00000
2022-09-30,1313.00000,2052.00000,794.00000,246.00000,4405.00000,55689.00000,2314.00000,1232.00000,60938.00000,65343.00000,5712.00000,31744.00000,1973.00000,47888.00000,53600.00000,2782.00000,58047.00000,-832.00000,11743.00000,65343.00000
2022-06-30,834.00000,2052.00000,790.00000,300.00000,3976.00000,55315.00000,2287.00000,1156.00000,60464.00000,64440.00000,6002.00000,29673.00000,1983.00000,45728.00000,51730.00000,2781.00000,56958.00000,-841.00000,12710.00000,64440.00000
2022-03-31,955.00000,1958.00000,726.00000,237.00000,3876.00000,55064.00000,2279.00000,1105.00000,60175.00000,64051.00000,5462.00000,30680.00000,1982.00000,46692.00000,52154.00000,2782.00000,55937.00000,-878.00000,11897.00000,64051.00000
2021-12-31,1006.00000,1722.00000,621.00000,202.00000,3551.00000,54871.00000,2241.00000,1075.00000,59974.00000,63525.00000,5744.00000,27563.00000,1953.00000,43620.00000,49364.00000,2781.00000,55049.00000,-914.00000,14161.00000,63525.00000
2021-09-30,1240.00000,1679.00000,664.00000,227.00000,3810.00000,54362.00000,2273.00000,285.00000,58550.00000,62360.00000,5111.00000,27560.00000,2010.00000,43332.00000,48443.00000,2781.00000,54094.00000,-1533.00000,13917.00000,62360.00000
2021-06-30,1161.00000,1666.00000,688.00000,249.00000,3764.00000,54148.00000,2277.00000,249.00000,58309.00000,62073.00000,4357.00000,27702.00000,2066.00000,43413.00000,47770.00000,2781.00000,53116.00000,-1551.00000,14303.00000,62073.00000
2021-03-31,1243.00000,1610.00000,659.00000,207.00000,3719.00000,54062.00000,2167.00000,264.00000,58074.00000,61793.00000,4871.00000,25117.00000,2073.00000,40668.00000,45539.00000,2781.00000,52019.00000,-1594.00000,16254.00000,61793.00000
2020-12-31,1859.00000,1505.00000,638.00000,212.00000,4214.00000,54161.00000,2164.00000,249.00000,58184.00000,62398.00000,4173.00000,25660.00000,2077.00000,41267.00000,45440.00000,2781.00000,51326.00000,-1593.00000,16958.00000,62398.00000
2020-09-30,2661.00000,1565.00000,649.00000,255.00000,5130.00000,54375.00000,2071.00000,496.00000,58584.00000,63714.00000,4841.00000,26080.00000,1973.00000,41674.00000,46515.00000,2781.00000,50600.00000,-1351.00000,17199.00000,63714.00000
2020-06-30,2766.00000,1388.00000,668.00000,261.00000,5083.00000,54270.00000,2042.00000,460.00000,58472.00000,63555.00000,5279.00000,26439.00000,1894.00000,41824.00000,47103.00000,2781.00000,49892.00000,-1372.00000,16452.00000,63555.00000
