,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,81.40000,1698.70000,419.30000,2199.40000,10439.60000,,14593.60000,1168.40000,26201.60000,28401.00000,3163.80000,11180.40000,3084.60000,15746.70000,18910.50000,3.20000,7166.80000,-10.60000,9490.50000,28401.00000
2022-06-30,119.40000,1654.70000,366.50000,2140.60000,10395.80000,,14565.00000,1111.50000,26072.30000,28212.90000,2934.60000,11589.50000,3040.40000,16062.30000,18996.90000,3.20000,6907.10000,-13.40000,9216.00000,28212.90000
2022-03-31,39.00000,1306.10000,350.70000,1695.80000,9191.10000,,13090.70000,902.50000,23184.30000,24880.10000,2258.10000,9608.90000,2775.50000,13637.30000,15895.40000,3.20000,6681.40000,-13.50000,8984.70000,24880.10000
2021-12-31,29.00000,1271.40000,410.40000,1710.80000,9232.10000,,13085.50000,926.60000,23244.20000,24955.00000,2415.60000,9546.20000,2784.00000,13559.70000,15975.30000,3.20000,6475.60000,-14.60000,8979.70000,24955.00000
2021-09-30,40.10000,1265.00000,264.30000,1569.40000,8938.90000,,12964.40000,956.20000,22859.50000,24428.90000,2333.40000,9257.00000,2740.80000,13216.60000,15550.00000,3.20000,6309.40000,-9.60000,8878.90000,24428.90000
2021-06-30,34.00000,1163.90000,283.00000,1480.90000,8816.30000,,12685.60000,939.30000,22441.20000,23922.10000,2314.80000,8833.90000,2707.70000,12823.90000,15138.70000,3.20000,6106.00000,-10.80000,8783.40000,23922.10000
2021-03-31,23.20000,1095.40000,324.50000,1443.10000,8679.20000,,12228.70000,901.60000,21809.50000,23252.60000,2148.80000,8594.20000,2616.60000,12465.50000,14614.30000,3.20000,5911.20000,-11.30000,8638.30000,23252.60000
2020-12-31,38.20000,1091.30000,392.30000,1521.80000,8726.20000,,12219.50000,966.50000,21912.20000,23434.00000,2282.00000,8766.10000,2658.30000,12663.20000,14945.20000,3.20000,5751.80000,-12.40000,8488.80000,23434.00000
2020-09-30,406.40000,1097.20000,270.70000,1774.30000,8527.50000,,11839.60000,968.70000,21335.80000,23110.10000,2190.80000,8594.50000,2728.30000,12545.20000,14736.00000,3.50000,5652.80000,-15.50000,8374.10000,23110.10000
2020-06-30,269.70000,1066.50000,232.60000,1568.80000,8499.10000,,11800.20000,958.20000,21257.50000,22826.30000,2066.10000,8598.00000,2744.50000,12529.30000,14595.40000,3.50000,5529.20000,-16.50000,8230.90000,22826.30000
2020-03-31,281.60000,1095.30000,377.00000,1753.90000,8442.00000,,11797.50000,915.50000,21155.00000,22908.90000,1980.60000,8952.20000,2664.00000,12808.10000,14788.70000,3.50000,5433.60000,-17.60000,8120.20000,22908.90000
2019-12-31,47.10000,1125.90000,433.00000,1606.00000,8383.50000,,11767.30000,927.00000,21077.80000,22683.80000,3064.60000,7758.60000,2559.10000,11498.30000,14562.90000,3.50000,5317.30000,2.20000,8120.90000,22683.80000
2019-09-30,55.60000,1162.90000,255.40000,1473.90000,8257.60000,,11774.60000,823.00000,20855.20000,22329.10000,2997.40000,7705.80000,2572.80000,11353.20000,14350.60000,3.50000,5155.90000,-8.50000,7978.50000,22329.10000
