,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,285.00000,11634.00000,11919.00000,941.00000,50661.00000,2707.00000,3058.00000,59882.00000,71801.00000,49761.00000,4356.00000,4729.00000,9085.00000,58846.00000,4.00000,16598.00000,-4414.00000,12955.00000,71801.00000
2022-06-30,348.00000,11722.00000,12070.00000,970.00000,52392.00000,2724.00000,2080.00000,60332.00000,72402.00000,49110.00000,4355.00000,4711.00000,9066.00000,58176.00000,4.00000,16388.00000,-3262.00000,14226.00000,72402.00000
2022-03-31,306.00000,11413.00000,11719.00000,995.00000,55951.00000,2746.00000,2194.00000,63533.00000,75252.00000,49159.00000,4354.00000,5842.00000,10196.00000,59355.00000,4.00000,16077.00000,-1699.00000,15897.00000,75252.00000
2021-12-31,337.00000,10968.00000,11305.00000,1027.00000,57749.00000,2769.00000,2577.00000,65273.00000,76578.00000,48136.00000,4944.00000,5655.00000,10599.00000,58735.00000,4.00000,15764.00000,172.00000,17843.00000,76578.00000
2021-09-30,397.00000,10845.00000,11242.00000,1047.00000,57574.00000,2792.00000,2543.00000,65048.00000,76290.00000,47933.00000,4943.00000,5552.00000,10495.00000,58428.00000,4.00000,15169.00000,307.00000,17862.00000,76290.00000
2021-06-30,308.00000,10839.00000,11147.00000,1067.00000,56787.00000,2815.00000,1913.00000,63585.00000,74732.00000,47165.00000,4354.00000,4969.00000,9323.00000,56488.00000,4.00000,14813.00000,570.00000,18244.00000,74732.00000
2021-03-31,280.00000,10570.00000,10850.00000,1092.00000,55727.00000,2838.00000,2662.00000,63351.00000,74201.00000,46820.00000,4353.00000,5326.00000,9679.00000,56499.00000,4.00000,14036.00000,264.00000,17702.00000,74201.00000
2020-12-31,239.00000,10279.00000,10518.00000,1122.00000,56532.00000,2861.00000,2243.00000,63593.00000,74111.00000,45823.00000,4352.00000,5380.00000,9732.00000,55555.00000,4.00000,13918.00000,1170.00000,18556.00000,74111.00000
2020-09-30,270.00000,10118.00000,10388.00000,1144.00000,54778.00000,2884.00000,2268.00000,61931.00000,72319.00000,45428.00000,4351.00000,4738.00000,9089.00000,54517.00000,4.00000,13503.00000,856.00000,17802.00000,72319.00000
2020-06-30,372.00000,10235.00000,10607.00000,1135.00000,53028.00000,2907.00000,2371.00000,60383.00000,70990.00000,45144.00000,4350.00000,4424.00000,8774.00000,53918.00000,4.00000,13167.00000,479.00000,17072.00000,70990.00000
2020-03-31,301.00000,10154.00000,10455.00000,1161.00000,50359.00000,2941.00000,2488.00000,58269.00000,68724.00000,44779.00000,4349.00000,4330.00000,8679.00000,53458.00000,4.00000,12819.00000,-957.00000,15266.00000,68724.00000
2019-12-31,262.00000,9911.00000,10173.00000,1181.00000,53030.00000,2983.00000,2366.00000,60644.00000,70817.00000,45042.00000,4348.00000,5157.00000,9505.00000,54547.00000,4.00000,12685.00000,52.00000,16270.00000,70817.00000
2019-09-30,290.00000,9913.00000,10203.00000,1194.00000,52577.00000,3039.00000,2095.00000,60053.00000,70256.00000,44917.00000,4346.00000,4915.00000,9261.00000,54178.00000,4.00000,12251.00000,214.00000,16078.00000,70256.00000
2019-06-30,283.00000,10120.00000,10403.00000,1222.00000,50769.00000,3104.00000,2637.00000,59069.00000,69472.00000,44871.00000,4050.00000,5259.00000,9309.00000,54180.00000,4.00000,11836.00000,-198.00000,15292.00000,69472.00000
2019-03-31,104.00000,8501.00000,8605.00000,1145.00000,47895.00000,1934.00000,2136.00000,54719.00000,63324.00000,40344.00000,3767.00000,4873.00000,8640.00000,48984.00000,4.00000,11572.00000,-885.00000,14340.00000,63324.00000
2018-12-31,121.00000,8352.00000,8473.00000,1006.00000,46790.00000,1947.00000,2173.00000,53834.00000,62307.00000,40133.00000,4265.00000,4808.00000,9073.00000,49206.00000,4.00000,11055.00000,-1579.00000,13101.00000,62307.00000
2018-09-30,102.00000,7956.00000,8058.00000,997.00000,46134.00000,1941.00000,2393.00000,53379.00000,61437.00000,39529.00000,4263.00000,4916.00000,9179.00000,48708.00000,4.00000,10973.00000,-1519.00000,12729.00000,61437.00000
2018-06-30,147.00000,7913.00000,8060.00000,1013.00000,45648.00000,1959.00000,2151.00000,52715.00000,60775.00000,39391.00000,4262.00000,4576.00000,8838.00000,48229.00000,4.00000,10649.00000,-1353.00000,12546.00000,60775.00000
2018-03-31,228.00000,8033.00000,8261.00000,1018.00000,44432.00000,1977.00000,159100.00000,208405.00000,216666.00000,39554.00000,4755.00000,159214.00000,163969.00000,203523.00000,4.00000,10156.00000,-239.00000,13143.00000,216666.00000
2017-12-31,180.00000,7971.00000,8151.00000,1034.00000,45146.00000,1949.00000,167166.00000,217109.00000,225260.00000,39458.00000,4678.00000,167630.00000,172308.00000,211766.00000,4.00000,9642.00000,663.00000,13494.00000,225260.00000
2017-09-30,333.00000,27127.00000,27460.00000,962.00000,72993.00000,567.00000,117828.00000,196751.00000,224211.00000,78478.00000,4818.00000,123682.00000,128500.00000,206978.00000,4.00000,13434.00000,585.00000,17233.00000,224211.00000
2017-06-30,362.00000,27111.00000,27473.00000,974.00000,73780.00000,567.00000,118553.00000,198390.00000,225863.00000,78354.00000,4817.00000,125404.00000,130221.00000,208575.00000,4.00000,13282.00000,494.00000,17288.00000,225863.00000
2017-03-31,337.00000,27169.00000,27506.00000,984.00000,72189.00000,567.00000,119344.00000,197882.00000,225388.00000,78530.00000,4817.00000,125032.00000,129849.00000,208379.00000,4.00000,13406.00000,-207.00000,17009.00000,225388.00000
