,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,18942.00000,1674.00000,5567.00000,26183.00000,3221.00000,1129.00000,9142.00000,3380.00000,16872.00000,43055.00000,17178.00000,9034.00000,1473.00000,10507.00000,27685.00000,33.00000,25492.00000,-1304.00000,15370.00000,43055.00000
2022-09-30,26682.00000,1609.00000,5420.00000,33711.00000,3218.00000,1113.00000,9096.00000,3627.00000,17054.00000,50765.00000,25051.00000,7798.00000,1599.00000,9397.00000,34448.00000,33.00000,25606.00000,-1467.00000,16317.00000,50765.00000
2022-06-30,18190.00000,3369.00000,5658.00000,27217.00000,3121.00000,554.00000,8911.00000,7017.00000,19603.00000,46820.00000,17839.00000,11290.00000,2181.00000,13471.00000,31310.00000,33.00000,24511.00000,-1051.00000,15510.00000,46820.00000
2022-03-31,17956.00000,3174.00000,5710.00000,26840.00000,3189.00000,530.00000,11139.00000,4610.00000,19468.00000,46308.00000,17532.00000,11285.00000,2149.00000,13434.00000,30966.00000,33.00000,23915.00000,-572.00000,15342.00000,46308.00000
2021-12-31,16586.00000,1814.00000,6493.00000,24893.00000,3073.00000,921.00000,11092.00000,4379.00000,19465.00000,44358.00000,15331.00000,10541.00000,2383.00000,12924.00000,28255.00000,33.00000,23086.00000,42.00000,16103.00000,44358.00000
2021-09-30,18023.00000,1879.00000,5913.00000,25815.00000,2898.00000,1238.00000,10806.00000,4563.00000,19505.00000,45320.00000,15027.00000,11466.00000,2545.00000,14011.00000,29038.00000,33.00000,23191.00000,145.00000,16282.00000,45320.00000
2021-06-30,16849.00000,2438.00000,6503.00000,25790.00000,2690.00000,2422.00000,4914.00000,2254.00000,12280.00000,38070.00000,15051.00000,6063.00000,2113.00000,8176.00000,23227.00000,33.00000,21751.00000,216.00000,14843.00000,38070.00000
2021-03-31,17128.00000,2196.00000,6202.00000,25526.00000,2507.00000,2325.00000,4602.00000,2455.00000,11889.00000,37415.00000,15300.00000,6062.00000,1863.00000,7925.00000,23225.00000,33.00000,21252.00000,108.00000,14190.00000,37415.00000
2020-12-31,17227.00000,1138.00000,5276.00000,23641.00000,2371.00000,2382.00000,4447.00000,2128.00000,11328.00000,34969.00000,13394.00000,6060.00000,1787.00000,7847.00000,21241.00000,33.00000,20517.00000,391.00000,13728.00000,34969.00000
2020-09-30,20726.00000,1135.00000,5170.00000,27031.00000,2228.00000,2265.00000,4443.00000,2510.00000,11446.00000,38477.00000,14905.00000,6059.00000,1745.00000,7804.00000,22709.00000,33.00000,20872.00000,370.00000,15768.00000,38477.00000
2020-06-30,19999.00000,2238.00000,5631.00000,27868.00000,2118.00000,1511.00000,4443.00000,2515.00000,10587.00000,38455.00000,16455.00000,6058.00000,1526.00000,7584.00000,24039.00000,33.00000,19616.00000,317.00000,14416.00000,38455.00000
