,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,232.00000,2259.00000,439.00000,278.00000,3233.00000,6441.00000,52599.00000,77.00000,4186.00000,68738.00000,76709.00000,10820.00000,25145.00000,16026.00000,48596.00000,59416.00000,6167.00000,7295.00000,-47.00000,17293.00000,76709.00000
2022-06-30,122.00000,1547.00000,438.00000,50.00000,3496.00000,5653.00000,51695.00000,58.00000,3974.00000,67641.00000,75045.00000,9262.00000,25143.00000,15461.00000,48108.00000,57370.00000,6129.00000,7716.00000,-48.00000,17675.00000,75045.00000
2022-03-31,231.00000,1312.00000,434.00000,258.00000,3038.00000,5273.00000,51000.00000,54.00000,3943.00000,67598.00000,74720.00000,8342.00000,24967.00000,16256.00000,48746.00000,57088.00000,6090.00000,7716.00000,-52.00000,17632.00000,74720.00000
2021-12-31,390.00000,1398.00000,420.00000,258.00000,3025.00000,5491.00000,50700.00000,51.00000,3919.00000,67322.00000,74745.00000,8609.00000,24170.00000,16591.00000,48347.00000,56956.00000,6071.00000,7894.00000,-54.00000,17789.00000,74745.00000
2021-09-30,524.00000,1612.00000,412.00000,327.00000,3153.00000,6028.00000,49754.00000,48.00000,3400.00000,65463.00000,73023.00000,8962.00000,23342.00000,16745.00000,47319.00000,56281.00000,6033.00000,7636.00000,-63.00000,16742.00000,73023.00000
2021-06-30,84.00000,1314.00000,406.00000,57.00000,3060.00000,4921.00000,48983.00000,79.00000,3430.00000,65188.00000,71162.00000,7815.00000,22891.00000,16155.00000,46034.00000,53849.00000,6013.00000,8229.00000,-65.00000,17313.00000,71162.00000
2021-03-31,389.00000,1696.00000,416.00000,163.00000,2664.00000,5328.00000,48284.00000,59.00000,3457.00000,64106.00000,70505.00000,9497.00000,20165.00000,16736.00000,43785.00000,53282.00000,5989.00000,8163.00000,-67.00000,17223.00000,70505.00000
2020-12-31,87.00000,1838.00000,405.00000,281.00000,2450.00000,5061.00000,47839.00000,53.00000,3378.00000,63223.00000,69372.00000,10277.00000,19632.00000,16710.00000,43146.00000,53423.00000,5962.00000,8155.00000,-69.00000,15949.00000,69372.00000
2020-09-30,92.00000,2314.00000,387.00000,338.00000,2724.00000,5855.00000,46470.00000,85.00000,3938.00000,61589.00000,68556.00000,8616.00000,18958.00000,18629.00000,44291.00000,52907.00000,5930.00000,7881.00000,-63.00000,15649.00000,68556.00000
2020-06-30,524.00000,1044.00000,382.00000,49.00000,2797.00000,4796.00000,45553.00000,84.00000,4852.00000,61583.00000,67051.00000,5899.00000,19238.00000,18910.00000,44706.00000,50605.00000,5908.00000,8410.00000,-65.00000,16446.00000,67051.00000
2020-03-31,1337.00000,926.00000,363.00000,158.00000,2127.00000,4911.00000,44820.00000,74.00000,4977.00000,60432.00000,66026.00000,6248.00000,19125.00000,18663.00000,44234.00000,50482.00000,5085.00000,8333.00000,-67.00000,15544.00000,66026.00000
2019-12-31,68.00000,906.00000,364.00000,214.00000,2008.00000,3560.00000,44285.00000,64.00000,5130.00000,60129.00000,64382.00000,5523.00000,17864.00000,19134.00000,43363.00000,48886.00000,4990.00000,8382.00000,-69.00000,15496.00000,64382.00000
2019-09-30,547.00000,1226.00000,348.00000,293.00000,2248.00000,4662.00000,43235.00000,89.00000,5311.00000,58845.00000,64212.00000,6003.00000,17066.00000,19291.00000,42856.00000,48859.00000,4746.00000,8469.00000,-55.00000,15353.00000,64212.00000
2019-06-30,257.00000,922.00000,331.00000,407.00000,2019.00000,3936.00000,42414.00000,83.00000,2456.00000,54843.00000,59521.00000,5665.00000,15883.00000,18706.00000,40943.00000,46608.00000,2555.00000,8222.00000,-57.00000,12913.00000,59521.00000
2019-03-31,328.00000,908.00000,312.00000,465.00000,1986.00000,3999.00000,41764.00000,76.00000,2462.00000,53861.00000,58793.00000,5375.00000,15683.00000,18686.00000,40699.00000,46074.00000,2550.00000,8034.00000,-58.00000,12719.00000,58793.00000
2018-12-31,144.00000,921.00000,282.00000,148.00000,1864.00000,3359.00000,41348.00000,63.00000,2445.00000,53356.00000,56715.00000,5395.00000,14632.00000,18591.00000,38668.00000,44063.00000,2545.00000,7964.00000,-50.00000,12652.00000,56715.00000
