,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2017-06-30,1557.68900,1146.22400,2703.91300,14912.59000,176.50600,2642.19200,18185.38000,20889.29000,427.40100,10837.59000,800.58400,12817.66000,13245.06000,7.55600,-1524.80600,115.83900,7644.23000,20889.29000
2017-03-31,1583.00500,1135.69300,2718.69800,14861.99000,184.00900,2510.15100,18012.75000,20731.45000,451.15600,10615.44000,832.78400,12716.96000,13168.12000,7.55100,-1506.23600,119.01900,7563.32700,20731.45000
2016-12-31,1596.05900,946.23600,2542.29500,11606.31000,189.66800,2552.96800,18272.55000,20814.85000,397.13400,9446.67000,814.65800,12799.22000,13196.35000,7.54200,-1419.38200,118.97200,7618.49600,20814.85000
2016-09-30,1464.63800,1121.37600,2586.01400,14836.73000,201.45000,2767.45000,18273.36000,20859.37000,461.23400,11200.24000,877.30400,13329.15000,13790.38000,7.53700,-1951.41100,82.37400,7068.98600,20859.37000
2016-06-30,1738.69500,1087.57600,2826.27100,14734.70000,210.01000,2831.42300,18247.46000,21073.73000,480.09400,11078.77000,913.68900,13246.06000,13726.16000,7.53100,-1898.50500,72.55600,7347.57500,21073.73000
2016-03-31,1782.71300,1071.05400,2853.76700,14585.57000,218.38800,2693.85600,18019.61000,20873.37000,447.70000,11059.83000,875.70000,13126.12000,13573.82000,7.52900,-1999.99400,53.39900,7299.55600,20873.37000
2015-12-31,1943.50600,1029.30700,2972.81300,14671.87000,227.90100,2753.26800,18170.48000,21143.29000,443.95500,11091.01000,890.55900,13223.26000,13667.21000,7.52100,-1766.78000,46.92100,7476.07800,21143.29000
2015-09-30,896.10210,993.44600,1889.54800,14479.78000,241.81400,2752.66900,18082.38000,19971.93000,465.04500,10007.01000,929.96800,12062.38000,12527.43000,7.51900,-1878.71600,43.59300,7444.50100,19971.93000
2015-06-30,644.19400,966.94300,1611.13700,14326.67000,245.84600,2839.18500,17974.77000,19585.91000,437.81300,9809.77700,927.50200,11842.78000,12280.60000,7.51700,-1958.54600,50.61300,7305.31000,19585.91000
2015-03-31,1266.24000,927.13800,2193.37800,13832.26000,229.57900,2491.98000,17067.67000,19261.05000,432.97000,9564.12500,904.16400,11784.43000,12217.40000,7.50900,-2006.43900,72.60900,7043.64800,19261.05000
2014-12-31,1374.68100,897.26900,2271.95000,13660.72000,225.15500,2383.58900,18886.03000,21157.98000,447.74500,9530.33700,851.72700,13220.85000,13668.60000,7.49300,-1505.38500,93.26700,7489.38200,21157.98000
2014-09-30,1843.99000,992.53700,2853.61200,14942.83000,280.20700,2439.96700,18146.90000,21000.52000,498.56500,11153.34000,983.64200,13277.03000,13775.60000,7.48700,-1878.12500,69.58000,7224.91900,21000.52000
2014-06-30,1531.57900,968.49500,2517.49100,14726.22000,289.47500,2527.82600,18219.29000,20736.78000,452.64100,10868.79000,996.03090,13085.78000,13538.42000,7.48400,-1872.25000,92.22100,7198.35400,20736.78000
2014-03-31,1366.91100,953.86700,2363.52700,14638.92000,299.75900,2422.51600,18005.82000,20369.35000,457.85800,10344.94000,1015.12600,12502.17000,12960.03000,7.47400,-1809.60900,77.62600,7409.32700,20369.35000
