,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,456.10000,736.90000,866.30000,57.50000,,2116.80000,1275.90000,,2312.90000,297.40000,4097.90000,6214.70000,2081.80000,3237.90000,467.90000,3788.80000,5870.60000,23.30000,3163.40000,-978.80000,,344.10000,6214.70000
2022-09-30,248.80000,753.90000,962.40000,66.10000,,2031.20000,1231.00000,,2297.70000,328.00000,4043.90000,6075.10000,1877.00000,3235.70000,640.40000,3979.90000,5856.90000,23.30000,3098.30000,-1029.50000,,218.20000,6075.10000
2022-06-30,281.20000,732.80000,932.70000,64.40000,,2011.10000,1245.90000,,2321.00000,340.10000,4094.30000,6105.40000,1505.40000,3655.40000,654.00000,4400.30000,5905.70000,23.30000,2993.60000,-962.30000,,199.70000,6105.40000
2022-03-31,278.20000,775.40000,843.70000,49.70000,,1947.00000,1252.30000,,2343.10000,370.90000,4170.00000,6117.00000,1482.90000,3689.50000,662.70000,4443.70000,5926.60000,23.30000,2909.30000,-926.10000,,190.40000,6117.00000
2021-12-31,561.00000,732.80000,725.70000,50.10000,,2069.60000,1232.00000,,2342.00000,383.50000,4159.70000,6229.30000,2007.30000,3219.60000,662.50000,3973.30000,5980.60000,23.20000,2790.70000,-933.90000,,248.70000,6229.30000
2021-09-30,393.70000,766.70000,741.00000,66.20000,3.30000,1970.90000,1208.80000,,2370.70000,368.90000,4188.90000,6159.80000,1925.40000,3315.40000,704.40000,4106.70000,6032.10000,23.20000,2640.10000,-967.60000,,127.70000,6159.80000
2021-06-30,273.10000,744.49990,730.70000,58.40000,,1806.70000,1202.80000,,2383.00000,364.10000,4199.90000,6006.60000,1405.90000,3711.80000,707.70000,4506.90000,5912.80000,23.20000,2562.80000,-944.80000,,93.80000,6006.60000
2021-03-31,370.00000,690.20000,652.30000,47.00000,,1759.50000,1177.50000,,2381.40000,357.20000,4159.20000,5918.70000,1326.40000,3706.60000,704.00000,4490.90000,5817.30000,23.20000,2485.60000,-969.60000,,101.40000,5918.70000
2020-12-31,548.70000,681.70000,596.70000,54.10000,0.30000,1881.50000,1189.70000,,2393.60000,355.80000,4202.30000,6083.80000,1367.40000,3731.40000,728.30000,4543.90000,5911.30000,23.20000,2400.70000,-963.50000,,172.50000,6083.80000
2020-09-30,316.80000,663.80000,630.90000,55.20000,0.70000,1667.40000,1136.40000,,2375.30000,325.50000,4160.80000,5828.20000,1313.20000,3710.10000,694.40000,4490.50000,5803.70000,23.20000,2283.80000,-998.90000,,24.50000,5828.20000
