,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,25291.00000,320607.00000,4265.00000,75303.00000,14771.00000,29286.00000,123625.00000,444232.00000,318154.00000,54079.00000,21138.00000,75217.00000,393371.00000,7.00000,56240.00000,-10704.00000,50861.00000,444232.00000
2022-06-30,22250.00000,309629.00000,4238.00000,83022.00000,14778.00000,28621.00000,130659.00000,440288.00000,308658.00000,58498.00000,19722.00000,78220.00000,386878.00000,7.00000,54836.00000,-6916.00000,53410.00000,440288.00000
2022-03-31,27085.00000,298877.00000,4238.00000,89076.00000,14784.00000,27220.00000,135318.00000,434195.00000,314284.00000,44764.00000,18802.00000,63566.00000,377850.00000,7.00000,53099.00000,-4093.00000,56345.00000,434195.00000
2021-12-31,22054.00000,295312.00000,4210.00000,95261.00000,14782.00000,22816.00000,137069.00000,432381.00000,312081.00000,42266.00000,17005.00000,59271.00000,371352.00000,7.00000,51006.00000,374.00000,61029.00000,432381.00000
2021-09-30,26858.00000,284393.00000,4204.00000,98149.00000,14652.00000,23979.00000,140984.00000,425377.00000,307004.00000,36676.00000,18153.00000,54829.00000,361833.00000,7.00000,48944.00000,1360.00000,63544.00000,425377.00000
2021-06-30,35088.00000,280233.00000,4227.00000,101766.00000,14654.00000,22540.00000,143187.00000,423420.00000,307454.00000,35498.00000,15844.00000,51342.00000,358796.00000,7.00000,46461.00000,1792.00000,64624.00000,423420.00000
2021-03-31,52274.00000,285664.00000,4277.00000,99165.00000,14654.00000,21415.00000,139511.00000,425175.00000,311458.00000,37608.00000,14921.00000,52529.00000,363987.00000,7.00000,43167.00000,1783.00000,61188.00000,425175.00000
2020-12-31,40771.00000,281012.00000,4287.00000,100445.00000,14653.00000,21205.00000,140590.00000,421602.00000,306462.00000,39871.00000,15065.00000,54936.00000,361398.00000,7.00000,40088.00000,3494.00000,60204.00000,421602.00000
2020-09-30,45001.00000,282079.00000,4333.00000,99853.00000,14648.00000,20970.00000,139804.00000,421883.00000,306759.00000,42093.00000,14607.00000,56700.00000,363459.00000,7.00000,37653.00000,3833.00000,58424.00000,421883.00000
2020-06-30,56558.00000,293523.00000,4324.00000,87859.00000,14645.00000,20945.00000,127773.00000,421296.00000,305191.00000,44327.00000,15733.00000,60060.00000,365251.00000,7.00000,35361.00000,3981.00000,56045.00000,421296.00000
2020-03-31,25300.00000,276960.00000,4336.00000,81423.00000,14645.00000,19514.00000,119918.00000,396878.00000,270447.00000,55282.00000,14319.00000,69601.00000,340048.00000,7.00000,36552.00000,3679.00000,56830.00000,396878.00000
2019-12-31,13749.00000,274508.00000,4378.00000,79213.00000,14653.00000,17613.00000,115857.00000,390365.00000,263450.00000,55383.00000,13521.00000,68904.00000,332354.00000,7.00000,40340.00000,1156.00000,58011.00000,390365.00000
2019-09-30,17537.00000,262727.00000,4311.00000,80062.00000,14624.00000,17086.00000,116083.00000,378810.00000,257982.00000,49685.00000,12908.00000,62593.00000,320575.00000,7.00000,39476.00000,453.00000,58235.00000,378810.00000
2019-06-30,15821.00000,256521.00000,4243.00000,81133.00000,14545.00000,17177.00000,117098.00000,373619.00000,255331.00000,48874.00000,13647.00000,62521.00000,317852.00000,7.00000,38386.00000,170.00000,55767.00000,373619.00000
2019-03-31,19438.00000,254918.00000,4205.00000,82391.00000,14546.00000,17131.00000,118273.00000,373191.00000,255824.00000,50023.00000,13863.00000,63886.00000,319710.00000,7.00000,37030.00000,-660.00000,53481.00000,373191.00000
2018-12-31,13489.00000,254974.00000,4191.00000,82921.00000,14544.00000,15908.00000,117564.00000,372538.00000,250574.00000,58553.00000,11743.00000,70296.00000,320870.00000,7.00000,35875.00000,-1263.00000,51668.00000,372538.00000
2018-09-30,11628.00000,246090.00000,4149.00000,82015.00000,14513.00000,16142.00000,116819.00000,362909.00000,247970.00000,51821.00000,12480.00000,64301.00000,312271.00000,7.00000,34883.00000,-1877.00000,50638.00000,362909.00000
2018-06-30,13296.00000,245025.00000,4095.00000,84155.00000,14531.00000,16183.00000,118964.00000,363989.00000,249228.00000,52757.00000,12078.00000,64835.00000,314063.00000,7.00000,33626.00000,-1793.00000,49926.00000,363989.00000
2018-03-31,14317.00000,258000.00000,4055.00000,70230.00000,14536.00000,16036.00000,104857.00000,362857.00000,251856.00000,50037.00000,11761.00000,61798.00000,313654.00000,7.00000,31996.00000,-1599.00000,49203.00000,362857.00000
2017-12-31,14352.00000,263830.00000,4033.00000,66639.00000,14533.00000,16658.00000,101863.00000,365693.00000,244691.00000,59705.00000,12567.00000,72272.00000,316963.00000,7.00000,30700.00000,-926.00000,48730.00000,365693.00000
2017-09-30,8788.00000,256784.00000,3955.00000,68392.00000,14532.00000,17739.00000,104618.00000,361402.00000,240130.00000,58691.00000,12427.00000,71118.00000,311248.00000,7.00000,31946.00000,-622.00000,50154.00000,361402.00000
2017-06-30,7015.00000,246270.00000,3825.00000,68840.00000,14524.00000,17134.00000,104323.00000,350593.00000,241097.00000,48996.00000,11363.00000,60359.00000,301456.00000,7.00000,31086.00000,-683.00000,49137.00000,350593.00000
2017-03-31,9801.00000,245508.00000,3727.00000,67430.00000,14521.00000,17363.00000,103041.00000,348549.00000,242488.00000,47393.00000,10628.00000,58021.00000,300509.00000,7.00000,30326.00000,-934.00000,48040.00000,348549.00000
2016-12-31,12493.00000,253970.00000,3675.00000,66449.00000,14519.00000,18420.00000,103063.00000,357033.00000,238087.00000,59468.00000,11964.00000,71432.00000,309519.00000,7.00000,29766.00000,-949.00000,47514.00000,357033.00000
2016-09-30,9381.00000,243387.00000,3561.00000,66530.00000,14493.00000,17090.00000,101674.00000,345061.00000,227297.00000,58741.00000,10810.00000,69551.00000,296848.00000,7.00000,29245.00000,121.00000,48213.00000,345061.00000
2016-06-30,7414.00000,238592.00000,3556.00000,65080.00000,14495.00000,17394.00000,100525.00000,339117.00000,222359.00000,58182.00000,10468.00000,68650.00000,291009.00000,7.00000,28479.00000,241.00000,48108.00000,339117.00000
2016-03-31,6195.00000,230864.00000,3542.00000,65172.00000,14492.00000,16276.00000,99482.00000,330346.00000,222913.00000,49580.00000,10146.00000,59726.00000,282639.00000,7.00000,27808.00000,-41.00000,47707.00000,330346.00000
2015-12-31,9040.00000,235854.00000,3584.00000,63680.00000,14480.00000,16450.00000,98194.00000,334048.00000,219001.00000,58134.00000,9629.00000,67763.00000,286764.00000,6.00000,27045.00000,-616.00000,47284.00000,334048.00000
2015-09-30,7423.00000,217572.00000,3629.00000,63142.00000,13983.00000,15374.00000,96128.00000,313700.00000,214122.00000,41757.00000,10136.00000,51893.00000,266015.00000,6.00000,26407.00000,-142.00000,47685.00000,313700.00000
2015-06-30,7409.00000,214560.00000,3602.00000,62804.00000,13984.00000,15560.00000,95950.00000,310510.00000,210930.00000,43878.00000,9043.00000,52921.00000,263851.00000,6.00000,25540.00000,-397.00000,46659.00000,310510.00000
2015-03-31,9125.00000,211107.00000,3684.00000,62562.00000,13978.00000,14893.00000,95117.00000,306224.00000,211568.00000,40096.00000,8830.00000,48926.00000,260494.00000,6.00000,24925.00000,-212.00000,45730.00000,306224.00000
2014-12-31,7476.00000,213114.00000,3685.00000,62008.00000,13978.00000,15382.00000,95053.00000,308167.00000,206682.00000,47577.00000,8855.00000,56432.00000,263114.00000,6.00000,23973.00000,-430.00000,45053.00000,308167.00000
2014-09-30,6553.00000,205628.00000,3752.00000,61847.00000,13970.00000,15005.00000,94574.00000,300202.00000,206843.00000,39913.00000,9428.00000,49341.00000,256184.00000,6.00000,23162.00000,-559.00000,44018.00000,300202.00000
2014-06-30,7093.00000,203805.00000,3764.00000,61801.00000,13977.00000,14970.00000,94512.00000,298317.00000,208229.00000,37084.00000,9189.00000,46273.00000,254502.00000,6.00000,22270.00000,-371.00000,43815.00000,298317.00000
2014-03-31,6732.00000,197159.00000,3807.00000,60871.00000,13974.00000,14689.00000,93341.00000,290500.00000,210127.00000,28574.00000,8998.00000,37572.00000,247699.00000,6.00000,21259.00000,-710.00000,42801.00000,290500.00000
2013-12-31,7165.00000,201685.00000,3839.00000,60932.00000,13978.00000,16499.00000,95248.00000,296933.00000,205745.00000,39739.00000,9817.00000,49556.00000,255301.00000,6.00000,20292.00000,-872.00000,41632.00000,296933.00000
